French	Aromanian	probability
a	i	0.395
a	ˈa	0.116
a	ˈi	0.112
a	-	0.096
a	ə	0.095
a	o̯ˈa	0.071
a	e̯ˈa	0.068
b	b	0.691
b	ɡ	0.309
d	ʣ	0.436
d	d	0.285
d	n	0.087
d	ʃ	0.087
d	-	0.053
d	ʤ	0.052
e	r_i	0.346
e	-	0.233
e	i	0.092
e	ˈo	0.089
e	a	0.076
e	ˈa	0.065
f	f	0.506
f	ç	0.259
f	w	0.12
f	-	0.079
i	ˈi	0.376
i	-	0.193
i	ˈə	0.09
i	i	0.082
i	ˈu	0.051
i	u	0.05
j	-	0.329
j	k_ʎ	0.146
j	ʎ	0.126
j	ˈe	0.122
j	ˈɨ	0.079
j	j	0.063
k	k	0.789
k	p	0.109
k	ʦ	0.102
l	l	0.574
l	ʎ	0.216
l	r	0.08
l	ˈə	0.07
m	m	0.647
m	ɲ	0.224
m	-	0.113
n	n	0.982
o	ˈe	0.405
o	ˈa	0.313
o	i	0.161
o	ˈo	0.081
p	p	0.645
p	k	0.126
p	t	0.111
p	ʧ	0.086
s	s	0.325
s	ʃ	0.254
s	ʦ	0.235
s	ʧ	0.057
t	t	0.458
t	-	0.258
t	ʃ_t	0.14
t	l_t	0.053
u	ˈu	0.371
u	ˈo	0.328
u	u	0.212
u	ʎ_u	0.089
v	j	0.322
v	v	0.318
v	p	0.2
v	-	0.094
w	e̯ˈa	0.286
w	-	0.257
w	ˈu	0.156
w	ʦ	0.113
w	d_e̯ˈa	0.098
w	j	0.052
y	ˈu	0.884
z	ʦ	0.588
z	ʃ	0.412
ø	ˈo	0.641
ø	ˈə	0.157
ø	u	0.101
ø	o̯ˈa	0.051
œ	ˈo	0.419
œ	o̯ˈa	0.228
œ	ˈɨ	0.129
œ	-	0.104
œ	u	0.068
œ	ˈa	0.051
ɑ̃	ˈi	0.299
ɑ̃	i	0.29
ɑ̃	u	0.178
ɑ̃	ɨ	0.156
ɔ	ˈo	0.302
ɔ	u	0.289
ɔ	o̯ˈa	0.1
ɔ	ˈu	0.096
ɔ	ɨ	0.082
ɔ	a	0.082
ɔ̃	ˈu	0.801
ɔ̃	i	0.134
ɔ̃	-	0.065
ə	i	0.612
ə	ˈo	0.142
ə	-	0.097
ə	ɲ	0.066
ə	o̯ˈa	0.064
ɛ	ˈa	0.371
ɛ	e̯ˈa	0.25
ɛ	ˈɨ	0.115
ɛ	-	0.073
ɛ	ə	0.066
ɛ	ˈe	0.065
ɛ̃	ˈi	0.513
ɛ̃	ˈɨ	0.181
ɛ̃	m	0.164
ɛ̃	e	0.131
ɡ	ɡ	0.361
ɡ	k	0.34
ɡ	m	0.147
ɡ	ŋ_ɡ	0.078
ɡ	b	0.073
ɥ	o̯ˈa	0.56
ɥ	-	0.203
ɥ	ʦ	0.137
ɥ	j	0.051
ɲ	ɲ	1.0
ʁ	r	0.682
ʁ	-	0.155
ʁ	i_r	0.111
ʃ	k	0.876
ʃ	w	0.102
ʒ	ʣ	0.295
ʒ	ʤ	0.246
ʒ	-	0.134
ʒ	k	0.12
ʒ	ɡ	0.107
ʒ	ʃ	0.098
