Romagnol	Latin	probability
θ_ˈi	k	1.0
ˈɛ_l	ˈiː_lʲː	1.0
ˈou̯_l	ˈʊ_ɫ	1.0
ˈẽ_n	n	1.0
ˈeː_t	ˈoː_s	1.0
ˈeə̯_r	ˈa_r	1.0
ˈeə̯_l	ˈa_ɫ	1.0
ˈa_s	ˈa_sː	1.0
ʤ	ɡ	1.0
ɡ_v	ɡʷ	1.0
ŋ	ŋ	1.0
ð_ɐ	ɡ_ɛ	1.0
z_ɐ	k_ɛ̃ː	1.0
t_#>	t_ʊ̃ː_#>	1.0
r_ɐ	r	1.0
r_k	r_k	1.0
r_#>	#>	1.0
p	p	1.0
o	-	1.0
m	m	1.0
k_ɐ	k_a	1.0
k_v	kʷ	1.0
k_#>	k_ʊ̃ː_#>	1.0
j̃	n	1.0
j_ˈʌ̃	ɫ_ˈa	1.0
j_ɐ	ɫ_ãː	1.0
f	f	1.0
d_ɐ	t_ãː	1.0
a	-	1.0
<#_θ	<#	1.0
<#_ˈɔ	<#_ˈɔ	1.0
<#_ˈeə̯	<#_ˈa	1.0
<#_ɡ	<#_ɡ	1.0
<#_ð	<#_j	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_ɫ	1.0
<#_k	<#_k	1.0
<#_d	<#_d	1.0
s	s	0.909
ˈɛə̯	ˈɛ	0.889
t	t	0.875
b	b	0.875
r	r	0.852
n	n	0.8
ɐ_r	ɛ_r	0.778
d	d	0.765
v	w	0.686
ð	ɡ	0.667
ˈa	ˈa	0.636
ɐ	ãː	0.617
ˈõũ̯	ˈoː_n	0.6
ˈɔə̯	ˈɔ	0.579
ˈɔ	ˈɔ	0.556
ˈẽ	ˈiː	0.556
ˈʌ̃	ˈa	0.545
z	s	0.545
k	kː	0.5
k	k	0.5
i	iː	0.5
#>	ʊ̃ː_#>	0.482
ɡ	k	0.467
j	ɫ	0.462
ˈu	ˈuː	0.455
ˈeː	ˈɛ	0.455
z	k_ɛ̃ː	0.455
ˈou̯	ˈoː	0.444
ˈẽ	ˈɛ	0.444
ʧ	k_ʊ	0.429
l	ɫ	0.425
θ	k	0.417
ˈõũ̯	ˈɔ_n	0.4
ˈo	ˈʊ	0.391
ˈi	ˈiː	0.375
ˈeː	ˈeː	0.364
ˈa	ˈa_k	0.364
ˈɛ	ˈɪ	0.355
ˈou̯	ˈʊ	0.333
ɡ	k_ʊ̃ː	0.333
ð	-	0.333
u	-	0.333
l	lʲː	0.325
ˈeə̯	ˈaː_r	0.32
j	lʲ_i	0.308
ʧ	ɫ	0.286
ʧ	k_ɫ	0.286
ˈeə̯	ˈaː	0.28
u	ɔ	0.278
ˈu	ˈɔ	0.273
ˈu	-	0.273
ˈo	ˈɔ	0.261
ˈo	ˈuː	0.261
ˈɛ	ˈɛ	0.258
θ	t_i	0.25
ɲ	ɡ_n	0.25
ɲ	ŋ_n	0.25
ɲ	n_i	0.25
ɲ	n_e	0.25
i	ɪ	0.25
i	e	0.25
ˈeə̯	ˈa	0.24
#>	ɛ̃ː_#>	0.237
d	t	0.235
j	-	0.231
ˈʌ̃	ˈaː_n	0.227
ˈʌ̃	ˈaː	0.227
ˈɔ	ˈɔ_k	0.222
ˈɔ	k_ʊ	0.222
ɐ_r	ɔ_r	0.222
u	ʊ	0.222
ˈɔə̯	ˈau̯	0.211
ˈɔə̯	-	0.211
#>	ɛ_#>	0.209
ˈi	ˈiː_r	0.208
ɡ	ɡ	0.2
ˈeː	-	0.182
θ	t_e	0.167
θ	k_ɛ̃ː	0.167
ˈi	ˈɛ	0.167
ˈi	-	0.167
u	oː	0.167
ˈɛ	ˈeː	0.161
l	lʲ	0.15
v	p	0.143
ɐ	ɛ̃ː	0.138
ˈɛ	ˈiː	0.129
t	tː	0.125
b	-	0.125
v	b	0.114
ˈɛə̯	ˈɛ_k	0.111
ˈou̯	ˈɔ	0.111
ˈou̯	ˈuː	0.111
r	ɛ_r	0.111
n	ŋ	0.1
ˈɛ	-	0.097
s	sː	0.091
ˈo	ˈoː	0.087
ɐ	a	0.085
ˈi	ˈi	0.083
ˈeə̯	ˈaː_t	0.08
ˈeə̯	ˈa_r	0.08
v	p_ɛ	0.057
ɐ	aː	0.053
