Limburgish	Standard German	probability
β	v	1.0
ˈʏː	-	1.0
ˈʏ	-	1.0
ˈɛːi̯_#>	ˈaɪ̯_#>	1.0
ˈɛː_l	ˈɪ_l	1.0
ˈɔu̯	ˈaʊ̯	1.0
ˈœː	ˈʊ	1.0
ˈœi̯	ˈɔʏ̯	1.0
ˈyː	-	1.0
ˈuː	ˈaʊ̯	1.0
ˈu	ˈoː	1.0
ˈiː	ˈaɪ̯	1.0
ʃ	ʃ	1.0
ʀ_ə	ɐ	1.0
ʀ_d̥	ɐ_t	1.0
ɪ	ɪ	1.0
ɦ	h	1.0
ɣ_ʀ	ɡ_ʁ	1.0
ɣ	ɡ	1.0
ɡ	ɡ	1.0
ə_ʀ	ɐ	1.0
ə_v̥	f	1.0
ə_l	l	1.0
ə_k	ç	1.0
ŋ_k	ŋ	1.0
v̥	b̥	1.0
v	f	1.0
s_t	ʃ_t	1.0
p_ə	f_n	1.0
n_d	n	1.0
n_#>	#>	1.0
n	n	1.0
m	m	1.0
l	l	1.0
k_ə	k_n	1.0
j_ə	t_n	1.0
b	b	1.0
<#_ˈeː	<#_ˈɛ	1.0
<#_ʀ	<#_ʁ	1.0
<#_n	<#_n	1.0
ˈɛː	ˈaɪ̯	0.867
#>	ə_#>	0.857
ˈɑ	ˈa	0.846
ˈɪː	ˈɪ	0.833
ˈɒː	ˈaː	0.818
ŋ	ŋ	0.778
z	z	0.769
ˈɑː	ˈa	0.714
ˈœ	ˈʏ	0.667
ˈæː	ˈɛ	0.667
s	ʃ	0.632
ʀ	ɐ	0.612
ˈøː	ˈyː	0.6
v_ə	b_n	0.6
j_#>	ə_#>	0.6
ˈaː	ˈa	0.591
ˈɔ	ˈɔ	0.583
p	f	0.583
z̥	z̥	0.556
d	d	0.541
d̥	d̥	0.538
ə	n	0.531
ˈɛ	ˈɪ	0.5
ˈɛ	-	0.5
ˈɔː	ˈɔ	0.5
ˈɔː	ˈaʊ̯	0.5
ˈæ	ˈa	0.5
ˈæ	-	0.5
ˈoː	ˈuː	0.5
ˈoː	ˈoː	0.5
k	kʰ	0.5
j	l	0.5
j	j	0.5
t	s	0.462
d̥	t	0.462
ˈeː	ˈiː	0.452
z̥	z_ə	0.444
ˈʊː	ˈʊ	0.417
ˈɔ	-	0.417
ˈi	ˈeː	0.417
p	p͡f	0.417
t	ʦ	0.41
d	tʰ	0.405
ˈøː	-	0.4
v_ə	b	0.4
j_#>	#>	0.4
ˈɪ	ˈɛ	0.375
ˈɪ	-	0.375
ʀ	ʁ	0.347
ˈœ	-	0.333
ˈæː	ˈa	0.333
ˈɑː	-	0.286
x	ɡ̊	0.273
s	s_t	0.263
ˈʊː	ˈuː	0.25
ˈɪ	ˈɪ	0.25
ˈi	ˈɪ	0.25
z	ʃ	0.231
ˈaː	ˈaː	0.227
ˈeː	ˈeː	0.226
ŋ	ç	0.222
ˈʊː	ˈɔ	0.208
k	ç	0.188
ə	ə_n	0.184
ˈɒː	ˈoː	0.182
x	ç_t	0.182
x	ç	0.182
ˈɪː	-	0.167
ˈi	ˈaɪ̯	0.167
ˈi	-	0.167
k	k	0.156
ˈɑ	ˈɛ	0.154
ə	-	0.143
#>	n_#>	0.143
x	x_t	0.136
x	x	0.136
ˈɛː	ˈɪ	0.133
ˈeː	ˈɪ	0.129
t	t	0.128
ˈʊː	-	0.125
s	k_s	0.105
ˈeː	ˈɛ	0.097
ˈeː	-	0.097
k	x	0.094
ˈaː	ˈa_l	0.091
ˈaː	-	0.091
x	ɡ_ə	0.091
k	x_ə	0.062
ə	ɪ	0.061
d	-	0.054
