German	Bokmål Norwegian	probability
a	ə	1.0
b	b	0.697
b	-	0.247
b	tʰ	0.055
d	tʰ	0.51
d	-	0.377
d	d	0.066
eː	ə	1.0
f	f	0.627
f	p	0.208
f	-	0.079
f	ʋ	0.066
h	h	0.851
h	j	0.149
j	-	1.0
k	ɡː	0.401
k	kː	0.255
k	ɡ	0.143
k	-	0.135
k	k	0.067
kʰ	kʰ	0.862
kʰ	ɕ	0.126
l	l	0.705
l	lː	0.235
m	m	0.742
m	mː	0.106
m	-	0.079
m	ʂ	0.05
n	n	0.399
n	nː	0.351
n	-	0.201
p	ʋ	0.927
p	-	0.073
p͡f	p	0.66
p͡f	pʰ	0.275
p͡f	d	0.065
s	t	0.455
s	s	0.378
s	-	0.064
s	sː	0.052
t	-	0.336
t	t	0.335
t	d	0.329
tʰ	d	0.906
tʰ	tʰ	0.094
v	ʋ	0.745
v	-	0.255
x	tː	0.414
x	k	0.266
x	-	0.243
x	j	0.077
z	s	0.868
z	ʂ	0.086
ç	k	0.494
ç	j	0.135
ç	-	0.135
ç	ŋ	0.128
ç	s	0.107
ŋ	ŋː	0.824
ŋ	-	0.176
ɐ	ɾ	0.667
ɐ	ə_ɾ	0.135
ɐ	ˈæː	0.076
ɐ	-	0.074
ə	ə	0.858
ə	-	0.142
ɡ	ɡ	0.481
ɡ	-	0.266
ɡ	j	0.253
ɪ	i	0.513
ɪ	ŋ	0.187
ɪ	ɪ	0.187
ɪ	ə	0.112
ʁ	ɾ	0.929
ʃ	s	0.688
ʃ	ʃ	0.224
ʃ	f	0.088
ʦ	tʰ	0.616
ʦ	tː	0.174
ʦ	ʈː	0.071
ˈa	ˈɑ	0.733
ˈa	ˈɑː	0.088
ˈaɪ̯	ˈiː	0.305
ˈaɪ̯	ˈæɪ̯	0.267
ˈaɪ̯	ˈɛ	0.242
ˈaɪ̯	ˈeː	0.127
ˈaɪ̯	ˈuː	0.058
ˈaʊ̯	ˈʉː	0.447
ˈaʊ̯	ˈøː	0.184
ˈaʊ̯	ˈeː	0.129
ˈaʊ̯	ˈœ	0.082
ˈaʊ̯	ˈuː	0.052
ˈaː	ˈoː	0.401
ˈaː	ˈɑː	0.281
ˈaː	ˈɑ	0.124
ˈaː	ˈeː	0.051
ˈaː	ˈɛ	0.051
ˈaː	ˈæɪ̯	0.05
ˈeː	ˈæɪ̯	0.225
ˈeː	ˈoː	0.205
ˈeː	ˈiː	0.163
ˈeː	ˈeː	0.137
ˈeː	ˈøː	0.111
ˈeː	j	0.107
ˈeː	ˈɛː	0.051
ˈiː	ˈyː	0.468
ˈiː	ˈiː	0.234
ˈiː	ˈʉː	0.205
ˈoː	ˈøː	0.309
ˈoː	ˈoː	0.304
ˈoː	ˈʊ	0.128
ˈoː	ˈœ	0.123
ˈoː	ˈɔ	0.079
ˈoː	ˈʉː	0.057
ˈuː	ˈuː	0.68
ˈuː	ˈʉː	0.183
ˈuː	ˈøː	0.137
ˈyː	ˈœ	0.428
ˈyː	ˈøː	0.31
ˈyː	ˈɔ	0.196
ˈyː	ˈoː	0.066
ˈøː	ˈøː	0.599
ˈøː	ˈʊ	0.401
ˈœ	ˈʉ	0.566
ˈœ	ˈɔ	0.434
ˈɔ	ˈuː	0.324
ˈɔ	ˈɔ	0.239
ˈɔ	ˈʉ	0.168
ˈɔ	ˈʉː	0.151
ˈɔ	ˈœ	0.082
ˈɔʏ̯	ˈyː	0.393
ˈɔʏ̯	ˈiː	0.188
ˈɔʏ̯	ˈʉ	0.143
ˈɔʏ̯	ˈœ	0.105
ˈɔʏ̯	ˈɛ	0.096
ˈɔʏ̯	ˈʉː	0.062
ˈɛ	ˈɛ	0.556
ˈɛ	j	0.12
ˈɛ	ˈøː	0.076
ˈɛ	ˈeː	0.065
ˈɛ	ˈœ	0.057
ˈɛ	ˈʉː	0.057
ˈɛː	ˈøː	0.505
ˈɛː	ˈoː	0.495
ˈɪ	ˈɪ	0.55
ˈɪ	ˈiː	0.146
ˈɪ	ˈʏ	0.081
ˈɪ	ˈœ	0.063
ˈʊ	ˈʉ	0.746
ˈʊ	ˈɔ	0.124
ˈʊ	ˈʊ	0.079
ˈʏ	ˈʏ	0.681
ˈʏ	ˈɛ	0.183
ˈʏ	ˈœ	0.137
