Pennsylvania German	Old English	probability
b	b	1.0
d	d	0.492
d	θ	0.391
eː	iːy̯	1.0
f	f	0.674
f	p	0.243
h	h	1.0
j	j	0.657
j	ɣ	0.191
j	i	0.152
k	ʤ	0.358
k	k	0.356
k	kː	0.101
k	j	0.08
k	ɣ	0.057
kʰ	ʧ	0.601
kʰ	k	0.387
l	l	0.601
l	ɫ	0.329
m	m	0.859
m	mː	0.071
m	-	0.07
n	n	0.75
n	nː	0.101
n	-	0.092
p	f	0.633
p	v	0.251
p	p	0.105
pʰ	p	1.0
p͡f	p	1.0
s	s	0.573
s	t	0.371
t	d	0.531
t	t	0.315
t	θ	0.119
v	v	0.752
v	bː	0.213
x	ç	0.364
x	k	0.252
x	ʧ	0.235
x	x	0.149
ç	ʧ	0.225
ç	j	0.196
ç	x	0.154
ç	k	0.091
ç	d	0.083
ç	ɣ	0.083
ç	ç	0.064
ç	ɡ	0.06
ŋ	ŋ	1.0
ɑ	e	0.39
ɑ	r	0.287
ɑ	o	0.157
ɑ	rː	0.074
ə	ɑ	0.822
ə	-	0.107
ɡ	ɡ	0.642
ɡ	j	0.308
ɡ	k	0.05
ɣ	j	0.304
ɣ	n	0.269
ɣ	ʤː	0.269
ɣ	ɣ	0.158
ɪ	i	0.535
ɪ	-	0.281
ɪ	o	0.137
ɾ	r	0.911
ɾ	r̥	0.064
ʃ	s	0.517
ʃ	ʃ	0.422
ʃ	ʃː	0.061
ʋ	w	0.94
ʋ	ʍ	0.06
ʦ	t	0.914
ʦ	d	0.07
ˈa	ˈɑ	0.458
ˈa	ˈæɑ̯	0.143
ˈa	ˈoː	0.09
ˈa	ˈæ	0.073
ˈa	ˈi	0.07
ˈa	ˈo	0.064
ˈa	ˈeː	0.063
ˈaɪ̯	ˈiː	0.459
ˈaɪ̯	ˈeːo̯	0.278
ˈaɪ̯	ˈiːy̯	0.083
ˈaɪ̯	ˈyː	0.065
ˈaɪ̯	o	0.052
ˈaʊ̯	ˈuː	0.762
ˈaʊ̯	ˈeː	0.163
ˈaʊ̯	ˈyː	0.051
ˈaː	ˈo	0.512
ˈaː	ˈæɑ̯	0.322
ˈaː	ˈy	0.136
ˈeː	ˈɑː	0.565
ˈeː	ˈiːy̯	0.165
ˈeː	ˈæː	0.071
ˈeː	ˈeːo̯	0.061
ˈeː	ˈy	0.061
ˈiː	ˈeːo̯	0.715
ˈiː	ˈeː	0.285
ˈoː	ˈæːɑ̯	0.435
ˈoː	ˈæː	0.241
ˈoː	ˈoː	0.241
ˈoː	ˈɑː	0.068
ˈuː	ˈoː	0.613
ˈuː	ˈuː	0.203
ˈuː	ˈeː	0.183
ˈɔ	ˈo	0.485
ˈɔ	ˈu	0.349
ˈɔ	ˈi	0.121
ˈɔɪ̯	ˈæː	1.0
ˈɔː	ˈæːɑ̯	0.453
ˈɔː	ˈæ	0.202
ˈɔː	ˈæɑ̯	0.082
ˈɔː	ˈe	0.068
ˈɔː	ˈɑ	0.066
ˈɔː	ˈoː	0.058
ˈɛ	ˈe	0.463
ˈɛ	ˈɛ	0.129
ˈɛ	ˈi	0.107
ˈɛ	ˈæ	0.068
ˈɛ	ˈeo̯	0.062
ˈɛ	ˈu	0.054
ˈɛ	ˈo	0.054
ˈɛː	ˈeo̯	0.699
ˈɛː	ˈi	0.106
ˈɛː	rː	0.063
ˈɛː	ˈe	0.057
ˈɛː	ˈiːy̯	0.053
ˈɪ	ˈi	0.653
ˈɪ	ˈy	0.134
ˈʊ	ˈu	0.724
ˈʊ	ˈuː	0.106
ˈʊ	ˈoː	0.105
