Neapolitan	Neapolitan	probability
ˈɛ_ɾ	ˈɛ	1.0
ˈɛ_#>	ˈe_#>	1.0
ˈɛ	ˈɛ	1.0
ˈɔ_kː	ˈɛ	1.0
ˈu_ɾ	ˈy	1.0
ˈo_ɾ	ˈu	1.0
ˈi_n	ˈi	1.0
ˈa_#>	ˈa_#>	1.0
ʧː	-	1.0
ʧ	ʦ	1.0
ʦː	ʦ	1.0
ʦ	s	1.0
ʤː	-	1.0
ʃ_ˈɛ	s_ˈɛ	1.0
ʃ_ə	ʦ	1.0
ɾ_ə	e	1.0
ɾ_t	ʀ_t	1.0
ɾ_n	ʀ	1.0
ɲ	ɲ	1.0
ə_#>	#>	1.0
ŋ	ŋ	1.0
z	z	1.0
w_ˈɔ	ˈɔ	1.0
v_ə_#>	w_#>	1.0
t_ɾ	j_ɾ	1.0
s_t	s_t	1.0
s	s	1.0
rː	ʀ	1.0
p_ə	s	1.0
n_ˈe	n_ˈɛ	1.0
n_ə_#>	#>	1.0
n_t_ə_#>	n_#>	1.0
n	n	1.0
mː_ə_#>	m_#>	1.0
m_ə	m_ɔ	1.0
m	m	1.0
lː	l	1.0
l	l	1.0
kː_ə	k_ɔ	1.0
kː_j	l	1.0
k_ə_#>	k_#>	1.0
k_w	k	1.0
k_j	p_l	1.0
j_ˈɛ	ˈɛ	1.0
j_ˈe	ʤ_ˈɛ	1.0
fː	f	1.0
f	f	1.0
dː	t	1.0
d_ə_#>	t_#>	1.0
d	d	1.0
bː	-	1.0
b_w	b_ˈu	1.0
b	b	1.0
a	a	1.0
<#_ˈi	<#_ˈe	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_j	<#_ʤ	1.0
ˈa	ˈa	0.941
p	p	0.879
k	k	0.85
ˈe	ˈe	0.846
ɲː	ɲ	0.8
u	u	0.8
r	ɾ	0.727
v	b	0.72
<#_a	<#_a	0.714
ˈi	ˈi	0.706
ˈu	ˈu	0.667
ʃː	j_s	0.667
nː	n	0.667
mː	m	0.667
ʤ	ʤ	0.625
ə	ɔ	0.625
ˈo	ˈu	0.615
o	-	0.6
e	e	0.6
ɡ	ɡ	0.545
tː	ʧ	0.538
ˈɔ	ˈɔ	0.5
ʎː	ʎ	0.5
ʎː	l	0.5
ə_ɾ	e	0.5
ə_ɾ	d_ɾ	0.5
#>	t_#>	0.5
#>	e_#>	0.5
i	e	0.474
tː	t	0.462
w	ɥ	0.455
t	ð	0.444
ɾ	ɾ	0.429
ʃ	s	0.421
i	-	0.421
j	j	0.412
t	t	0.407
o	u	0.4
e	-	0.4
ʤ	-	0.375
j	l	0.353
ˈu	ˈy	0.333
ʃː	s	0.333
nː	-	0.333
mː	nː	0.333
ʃ	e_s	0.316
ˈi	ˈe	0.294
ɾ	ʀ	0.286
<#_a	<#	0.286
ɡ	ɣ	0.273
w	w	0.273
w	-	0.273
r	ʀ	0.273
ə	e	0.25
ɾ	-	0.238
ˈo	-	0.231
ˈɔ	ˈa_w	0.2
ɲː	-	0.2
v	β	0.2
u	y	0.2
ɡ	k	0.182
ˈɔ	-	0.167
ʃ	-	0.158
ˈo	ˈe	0.154
ˈe	ˈe_j	0.154
t	-	0.148
ˈɔ	ɥ_ˈɛ	0.133
p	β	0.121
j	ʤ	0.118
j	-	0.118
ʃ	f_l	0.105
i	i	0.105
k	ɣ	0.1
v	w	0.08
ə	s	0.068
ˈa	a	0.059
