Alsatian	Old Norse	probability
b̥	b	0.859
b̥	v	0.107
d̥	d	0.482
d̥	θ	0.27
d̥	-	0.147
d̥	ð	0.101
e	mː	1.0
eː	ɑː	1.0
f	f	0.571
f	p	0.183
f	v	0.11
f	-	0.082
h	h	0.87
h	ç	0.13
i	u	0.499
i	-	0.328
i	ɑ	0.173
j	ɣ	0.519
j	-	0.481
k	ɡː	0.343
k	k	0.15
k	cː	0.149
k	kː	0.149
k	ɟː	0.149
k	rː	0.06
kʰ	kʰ	0.799
kʰ	cʰ	0.101
kʰ	h	0.101
l	l	0.837
l	lː	0.078
m	m	0.892
m	v	0.095
n	n	0.563
n	-	0.226
n	nː	0.126
n	u	0.07
p͡f	p	0.5
p͡f	v	0.5
s	s	0.588
s	t	0.375
t	ð	0.584
t	d	0.22
t	t	0.098
t	-	0.055
v	-	0.34
v	ʝː	0.34
v	ɣ	0.201
v	v	0.119
w	ˈy	0.724
w	v	0.276
x	tː	0.54
x	j	0.19
x	k	0.176
x	-	0.094
ŋ	ŋ	0.903
ŋ	-	0.097
ə	ɑ	0.405
ə	-	0.289
ə	i	0.201
ə	a	0.082
ɡ̊	ɡ	0.676
ɡ̊	ɟ	0.196
ɡ̊	ɣ	0.087
ʁ	r	0.809
ʁ	-	0.085
ʁ	rː	0.06
ʃ	s	0.401
ʃ	k	0.306
ʃ	c	0.18
ʃ	-	0.078
ʋ	v	0.547
ʋ	w	0.19
ʋ	-	0.174
ʋ	ˈøː	0.054
ʦ	tʰ	0.602
ʦ	tː	0.189
ʦ	t	0.185
ˈai̯	ˈøy̯	1.0
ˈaː	ˈe	0.678
ˈaː	ˈɑ	0.322
ˈe	ˈɛ	0.246
ˈe	ˈe	0.201
ˈe	ˈu	0.114
ˈe	-	0.113
ˈe	j	0.097
ˈe	ˈy	0.097
ˈe	ˈo	0.077
ˈe	ˈi	0.053
ˈei̯	ˈyː	0.576
ˈei̯	ˈiː	0.274
ˈei̯	ˈeː	0.15
ˈeː	ˈiː	0.295
ˈeː	ˈeː	0.171
ˈeː	j_ˈoː	0.133
ˈeː	ˈɛː	0.133
ˈeː	ˈøy̯	0.091
ˈeː	ˈɑ	0.087
ˈeː	ˈɑː	0.052
ˈi	ˈi	0.523
ˈi	ˈe	0.114
ˈi	ˈo	0.071
ˈi	ˈy	0.071
ˈiː	ˈiː	0.328
ˈiː	ˈyː	0.207
ˈiː	j_ˈoː	0.183
ˈiː	ˈøː	0.125
ˈiː	j	0.063
ˈo	ˈo	0.676
ˈo	ˈu	0.217
ˈo	ˈɔ	0.107
ˈoː	ˈɑː	0.598
ˈoː	ˈo	0.195
ˈoː	ˈɑu̯	0.108
ˈu	ˈu	0.74
ˈu	ˈy	0.112
ˈu	ˈo	0.083
ˈyː	ˈuː	0.939
ˈyː	ˈu	0.061
ˈæ	ˈe	0.62
ˈæ	ˈɛ	0.264
ˈæ	ˈɑ	0.085
ˈæː	j	0.437
ˈæː	ˈu	0.378
ˈæː	ˈe	0.186
ˈø	ˈo	1.0
ˈøi̯	ˈuː	1.0
ˈøː	ˈoː	1.0
ˈœ	ˈɑu̯	1.0
ˈɒ	ˈɑ	0.592
ˈɒ	ˈa	0.153
ˈɒ	ˈɑː	0.1
ˈɒ	u	0.055
ˈɒː	ˈɑ	0.562
ˈɒː	ˈɔ	0.223
ˈɒː	ˈɑː	0.148
ˈɒː	ˈɛ	0.068
ˈɔi̯	a	1.0
ˈəi̯	ˈɛi̯	0.863
ˈəi̯	ˈɛ	0.137
ˈɛ	ˈɛ	0.904
ˈɛ	ˈɔ	0.096
ˈʊː	ˈoː	0.334
ˈʊː	ˈɑu̯	0.252
ˈʊː	ˈɔː	0.174
ˈʊː	ˈyː	0.078
ˈʊː	ˈɑ	0.071
ˈʊː	ˈøː	0.053
