Occitan	Franco-Provençal	probability
a	a	1.0
b	b	1.0
d	d	1.0
f	f	1.0
p	p	1.0
v	v	1.0
ð	-	1.0
ŋ	-	1.0
ʎ	ʎ	1.0
ʤ	ð	1.0
ʦ	ʃ	1.0
ɥ	-	0.241
ʒ	ʒ	0.451
ˈa	ˈaː	0.071
ˈy	ˈu	0.581
e	o	0.442
j	j	0.242
l	ʎ	0.132
u	o	0.762
ɡ	-	0.32
ˈu	ˈu	0.062
ˈu	w	0.112
ˈu	ˈɔ̃	0.32
ˈɔ	ˈo	0.152
l	-	0.063
ɣ	ɡ	0.273
ɲ	ɲ	0.583
ˈe	-	0.243
ˈu	ˈɔ	0.123
i	j	0.364
j	ˈe	0.174
j	-	0.584
k	ʃ	0.484
m	-	0.224
n	n	0.624
z	z	0.784
ɔ	i	0.054
ˈi	ˈi	0.424
ˈu	ˈoː	0.14
ˈɛ	j_ˈe	0.064
ˈɛ	ˈɛ	0.24
k	-	0.05
k	k	0.465
s	-	0.055
t	t	0.975
ɾ	ʁ	0.545
ˈa	ˈɑ̃	0.135
ˈe	ˈi	0.065
ˈe	ˈɛ̃	0.085
ˈu	w_ˈɛː	0.065
ˈu	ˈo	0.135
ˈɔ	ˈa	0.155
β	b	0.055
i	o	0.636
l	l	0.806
m	m	0.776
n	-	0.376
r	ʁ	0.96
z	-	0.216
ɔ	ə	0.236
ɔ	a	0.676
ˈɔ	w	0.096
e	ə	0.467
w	-	0.647
ɣ	-	0.727
ɲ	ˈɛ̃	0.417
ɾ	-	0.067
ˈi	ˈe	0.317
β	-	0.057
s	s	0.928
u	ˈo	0.238
ɡ	ɡ	0.68
ɾ	ð	0.388
ˈa	ˈe	0.08
ˈa	-	0.098
ˈa	ˈɑː	0.118
ˈa	ˈa	0.498
ˈe	ˈɛː	0.378
ˈɔ	ˈɔ	0.078
ˈɔ	ˈoː	0.518
ˈɛ	ˈe	0.418
β	v	0.888
w	o	0.279
ɥ	w	0.759
ʒ	ð	0.549
ˈe	ˈɛ	0.229
ˈi	ˈĩ	0.259
ˈy	w	0.419
ˈɛ	ˈi	0.089
ˈɛ	ˈɛː	0.189
