Palatine German	East Low German	probability
β_ə	m	1.0
ˈɪ_ɡ̊	ˈʏ_ç	1.0
ˈɛ_ɐ	ˈaː	1.0
ˈɑː_ɐ	ˈaː	1.0
ˈeː_ʃ	ˈae̯_k	1.0
ˈeː	ˈeː	1.0
ˈau̯	ˈuː	1.0
ɪ	ɪ	1.0
ɡ̊_s	s	1.0
ɡ̊_n	kʰ_n	1.0
ɐ_d̥	æ_t	1.0
ɐ	æ	1.0
ŋ	ŋ	1.0
s_ə	t_n	1.0
n_ə	n	1.0
m_ə	m	1.0
m	m	1.0
l_b̥	l_f	1.0
l	l	1.0
kʰ	kʰ	1.0
j_ə	ŋ	1.0
j	j	1.0
h	h	1.0
b̥_#>	f_#>	1.0
#>	n_#>	1.0
n	n	0.935
b̥	b	0.864
β	v	0.862
ˈu	ˈʊ	0.846
ə	n	0.824
r	r	0.824
ˈuː	ˈaʊ̯	0.818
f	f	0.771
ˈɑ	ˈa	0.759
ˈɪ	ˈɪ	0.741
ˈɛː	ˈae̯	0.727
ʃ	ʃ	0.596
d̥	d	0.592
ʣ̥	tʰ	0.562
ˈaɪ̯	ˈiː	0.55
ˈiː	ˈae̯	0.529
ˈɔ	ˈɔ	0.5
ˈoː	ˈɒː	0.5
r_ə	æ_n	0.5
r_ə	d_n	0.5
s	z	0.465
ʣ̥	t	0.438
x	x	0.429
ɡ̊	ɡ	0.417
x	k	0.357
d̥	t	0.355
ˈɛ	ˈɛ	0.35
ˈɑː	ˈaʊ̯	0.333
ˈoː	ˈaʊ̯	0.312
s	t	0.302
ˈɛː	ˈɛ	0.273
ˈɔ	ˈʊ	0.25
ˈɔ	ˈuː	0.25
ɡ̊	k	0.25
ʃ	ç	0.234
s	s	0.233
f	p	0.229
x	ɡ	0.214
ˈɛ	ˈɛː	0.2
ˈɑː	ˈɒː	0.2
ˈɑː	ˈa	0.2
ˈaɪ̯	ˈɪ	0.2
ˈoː	ˈoː	0.188
ˈuː	ˈɔʏ̯	0.182
ˈiː	ˈɔʏ̯	0.176
ˈiː	ˈiː	0.176
ə	-	0.176
r	ɾ	0.176
ɡ̊	j	0.167
ˈu	ˈɔ	0.154
ˈɛ	ˈiː	0.15
ˈaɪ̯	ˈyː	0.15
β	w	0.138
b̥	p	0.136
ˈɑː	ˈoː	0.133
ˈɑː	ˈaː	0.133
ˈiː	ˈɪ	0.118
ˈɪ	ˈʏ	0.111
ˈɑ	ˈɒː	0.103
ˈɛ	ˈʏ	0.1
ˈɛ	ˈœː	0.1
ˈɛ	ˈœ	0.1
ˈaɪ̯	ˈʏ	0.1
ʃ	s	0.085
ʃ	k	0.085
ɡ̊	ç	0.083
ɡ̊	x	0.083
ˈɪ	ˈɛ	0.074
ˈɪ	ˈœː	0.074
ˈɑ	ˈɔ	0.069
ˈɑ	ˈaʊ̯	0.069
n	ŋ	0.065
d̥	-	0.053
