Spanish	Italian	probability
a	a	0.847
a	-	0.126
b	v	0.617
b	b	0.218
b	-	0.127
d	d	0.964
e	e	0.524
e	-	0.133
e	a	0.101
e	i	0.07
f	f	1.0
i	i	0.714
i	e	0.182
i	u	0.062
j	ˈɛ	0.523
j	j	0.181
j	-	0.147
j	ˈi	0.083
k	k	0.815
k	kː	0.154
l	l	0.804
l	j	0.104
l	lː	0.065
m	m	0.836
m	mː	0.069
m	-	0.059
n	n	0.929
n	-	0.053
o	o	0.896
o	-	0.062
p	p	0.874
p	pː	0.054
r	r	0.713
r	-	0.287
s	s	0.823
s	z	0.109
t	t	0.709
t	tː	0.166
u	l	0.39
u	u	0.39
u	i	0.22
w	ˈɔ	0.457
w	w	0.418
w	ˈo	0.083
x	ʤ	0.245
x	kː	0.222
x	-	0.191
x	ʎː	0.163
x	k	0.067
ð	t	0.694
ð	d	0.191
ð	bː	0.059
ŋ	ŋ	0.902
ŋ	-	0.098
ɟ͡ʝ	p	0.336
ɟ͡ʝ	ʤ	0.202
ɟ͡ʝ	k	0.199
ɟ͡ʝ	f	0.131
ɟ͡ʝ	l	0.093
ɡ	ɡ	0.97
ɣ	ɡ	0.504
ɣ	k	0.352
ɲ	ɲː	0.545
ɲ	nː	0.251
ɲ	j	0.138
ɾ	r	0.747
ɾ	-	0.179
ʝ	lː	0.762
ʝ	j	0.115
ʝ	-	0.076
ʧ	tː	0.867
ʧ	t	0.133
ˈa	ˈa	0.937
ˈe	-	0.441
ˈe	ˈe	0.227
ˈe	ˈɛ	0.092
ˈe	e	0.068
ˈe	rː	0.063
ˈe	ˈɔ	0.057
ˈi	ˈi	0.816
ˈi	e	0.059
ˈi	ˈɛ	0.058
ˈo	ˈo	0.551
ˈo	ˈɔ	0.305
ˈo	ˈu	0.077
ˈu	ˈu	0.789
ˈu	ˈɔ	0.123
ˈu	ˈo	0.06
β	v	0.412
β	p	0.3
β	-	0.202
θ	ʧ	0.527
θ	ʃː	0.127
θ	-	0.099
θ	ʧː	0.074
θ	f	0.056
