Québécois French	Québécois French	probability
ʦ	t	1.0
ʣ	d	1.0
ʏ	ˈy	1.0
ʊ	ˈu	1.0
ʃ	k	1.0
ʁ_w	ɾ	1.0
ɲ	ɲ	1.0
ɪ	ˈi	1.0
ɡ	ɡ	1.0
ɛɪ̯	ˈɛ_s	1.0
ɛ_#>	#>	1.0
ɑɔ̯_ʁ	ʀ	1.0
ɑ	ˈa	1.0
œ̃ʏ̯̃	ˈỹ_ŋ	1.0
æɛ̯_ʁ	ˈɛ_ʀ	1.0
z	z	1.0
w_ɛ_ʁ_#>	ˈe_#>	1.0
v_ʁ	b_ɾ	1.0
u_ʁ	ˈu_ʀ	1.0
t_#>	t_ɔ_#>	1.0
s_w	s	1.0
s	s	1.0
p	p	1.0
o	ˈe_s	1.0
l_#>	w_#>	1.0
j_ɛ	ˈɛ	1.0
i_ʁ_#>	ˈi_#>	1.0
d	d	1.0
b	b	1.0
aœ̯_ʁ_#>	ˈu_#>	1.0
<#_ʁ	<#_ʀ	1.0
<#_l	<#_l	1.0
<#_a	<#_a	1.0
m	m	0.964
l	l	0.935
v	v	0.929
n	n	0.926
k	k	0.917
f	f	0.852
ʒ	ʤ	0.85
t	t	0.826
e_#>	ˈa_#>	0.81
ɑɔ̯	w_ˈe	0.778
y	ˈy	0.75
s_#>	s_ɔ_#>	0.75
ʁ	ɾ	0.737
ɒ̃ʊ̯̃	ˈũ	0.615
øʏ̯	k	0.6
e	e_s	0.583
oʊ̯	ˈa_w	0.538
u	ˈu	0.529
ʁ_#>	e_#>	0.5
ʁ_#>	#>	0.5
ɔ	w_ˈe	0.5
ɔ	u	0.5
w_ɛ	i	0.5
w_ɛ	e	0.5
w	ˈe	0.5
a	ˈa	0.5
a	a	0.5
j	j	0.476
ã	ˈẽ_ŋ	0.474
oʊ̯	ˈɛ_w	0.462
#>	ɔ_#>	0.456
ɥ	ɥ	0.444
øʏ̯	ˈu_ɔ	0.4
ã	ˈã_ŋ	0.368
ẽɪ̯̃	ˈã_ŋ	0.364
æɛ̯	ˈa	0.357
u	u	0.353
ɛ	ˈe	0.348
ɥ	-	0.333
ɒ̃ʊ̯̃	w_ˈẽ	0.308
œ	e	0.3
ʁ	ʀ	0.263
æɛ̯	ˈa_j	0.25
y	-	0.25
s_#>	#>	0.25
i	ˈi	0.25
e	ˈa	0.25
#>	e_#>	0.248
j	-	0.238
ẽɪ̯̃	ˈĩ_ŋ	0.227
ɥ	ɥ_ˈe	0.222
ɑɔ̯	w	0.222
ɛ	j	0.217
i	j	0.2
e_#>	#>	0.19
w	ˈɛ	0.188
w	ˈũ	0.188
ẽɪ̯̃	ŋ	0.182
e	ˈi	0.167
ã	ã	0.158
ʒ	-	0.15
i	ˈe_ʧ	0.15
i	j_ˈe	0.15
i	i	0.15
æɛ̯	ˈe	0.143
æɛ̯	a	0.143
j	ˈɛ	0.143
j	ˈe	0.143
ɛ	ˈɛ	0.13
ɛ	ˈa	0.13
w	ˈu_s	0.125
u	w	0.118
æɛ̯	j	0.107
œ	ˈu	0.1
œ	ˈe	0.1
œ	ɥ_ˈe	0.1
œ	ɥ	0.1
œ	w	0.1
œ	a	0.1
œ	-	0.1
i	ˈe	0.1
ẽɪ̯̃	ˈã	0.091
ẽɪ̯̃	ɲ	0.091
ɛ	e	0.087
ɛ	-	0.087
t	ŋ_t	0.087
t	s	0.087
k	k_w	0.083
#>	ŋ_#>	0.08
ɒ̃ʊ̯̃	ũ	0.077
n	n_w	0.074
f	ˈɔ	0.074
f	ˈe_w	0.074
v	b	0.071
l	lː	0.065
#>	w_#>	0.064
#>	s_#>	0.056
