Mecklenburgisch-Vorpommersch	Mecklenburgisch-Vorpommersch	probability
ˈɪ_n	n	1.0
ˈɛɪ̯	ˈæː	1.0
ˈœː	-	1.0
ˈœ	-	1.0
ˈøː	ˈøː	1.0
ˈyː	ˈyː	1.0
ˈeː	ˈeː	1.0
ˈae̯_n_#>	#>	1.0
ˈae̯_#>	#>	1.0
ɪ	i	1.0
ɣ̊	ɡ̊	1.0
ɣ	ˈyː	1.0
ɡ̊	ɡ̊	1.0
ɡ	ɡ̊	1.0
z̥_#>	z̥_#>	1.0
z	z̥	1.0
x	χː	1.0
w	ʋ	1.0
v̥_#>	b̥_#>	1.0
tʰ	ʦ	1.0
r	r	1.0
pʰ	-	1.0
n_d̥_#>	ŋ_#>	1.0
n_#>	#>	1.0
kʰ	ɣ̊	1.0
h	h	1.0
f_#>	fː_#>	1.0
f	v̥	1.0
d_n	tː_ə	1.0
d	tː	1.0
ae̯	æ	1.0
<#_ˈɛ	<#_ˈe	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_d	<#_d̥	1.0
l	l	0.957
v	ʋ	0.909
b	b̥	0.909
ˈa	ˈɒ	0.818
ˈʊ	ˈu	0.8
ç_#>	ɡ̊_#>	0.778
ˈɪ	ˈi	0.75
m	m	0.75
ˈɛ	ˈæ	0.727
ʃ	ʒ̊	0.72
s	ʃː	0.714
æ	r	0.711
ˈoː	-	0.667
p	fː	0.636
ˈuː	ˈuː	0.611
j	ɡ̊	0.6
ˈɔʏ̯	-	0.556
ˈɔ	ˈo	0.545
d̥	tː	0.545
ŋ	ŋ	0.538
ˈae̯	ˈæi̯	0.524
ˈɛː	-	0.5
ˈiː	ˈiː	0.5
ɾ	ə	0.5
ɾ	tː_ə	0.5
n	n	0.491
ˈʏ	ˈy	0.455
ˈaʊ̯	ˈuə̯	0.455
d̥	d̥	0.455
ˈɔʏ̯	ˈyə̯	0.444
k	χː	0.444
t	sː	0.439
n	ə	0.436
ç	kː	0.429
t	tː	0.415
j	j	0.4
ˈɒː	ˈɒː	0.389
ˈaː	ˈɒː	0.375
ˈaː	r	0.375
ˈoː	ˈɒː	0.333
ŋ	ɡ̊_ə	0.308
æ	ə_r	0.289
ˈae̯	ˈyː	0.286
ç	χː_tː	0.286
ç	χː	0.286
s	χː_sː	0.286
ʃ	ʃː	0.28
ˈɒː	ˈoː	0.278
k	kː	0.278
ˈʏ	ˈu	0.273
ˈʏ	-	0.273
ˈɛ	-	0.273
ˈɔ	ˈu	0.273
p	p͡f	0.273
ˈɛː	ˈɒ	0.25
ˈɛː	ˈæ	0.25
ˈaː	ˈɒ_r	0.25
#>	ɡ̊_#>	0.25
#>	tː_#>	0.25
#>	i_#>	0.25
#>	d̥_#>	0.25
ˈaʊ̯	ˈoː	0.227
ˈaʊ̯	ˈau̯	0.227
ˈɒː	ˈɒ	0.222
ç_#>	#>	0.222
ˈʊ	ˈo	0.2
ˈɔ	ˈɒ	0.182
ˈɪ	-	0.167
ˈuː	ˈo	0.167
ˈiː	ˈiə̯	0.167
ˈiː	-	0.167
k	χː_ə	0.167
ŋ	ŋ_ə	0.154
t	ʦ	0.146
ˈɒː	ˈo	0.111
ˈuː	ˈoː	0.111
ˈuː	-	0.111
ˈiː	ˈæ	0.111
k	-	0.111
ˈae̯	ˈy	0.095
ˈae̯	-	0.095
m	fː	0.094
m	b̥_ə	0.094
ˈaʊ̯	ˈɒ	0.091
ˈa	ˈɒː	0.091
ˈa	ˈæ	0.091
v	ʋ_ˈu	0.091
p	pː	0.091
b	-	0.091
ˈɪ	ˈiə̯	0.083
m	-	0.062
ˈiː	ˈei̯	0.056
