Campidanese	Campidanese	probability
ˈɛ_ɖː	ˈɛ	1.0
ˈɛ_n	ˈe_ŋ	1.0
ˈɔ_z	ˈu	1.0
ˈi_ɭː	ˈi	1.0
ˈi_s	ˈe	1.0
ˈa_ʃ	ˈa_s	1.0
ˈa_i	ˈa_r	1.0
ʧ	s	1.0
ʦ	s	1.0
ʃ	s	1.0
ɾ_ˈɔ	j_ˈo	1.0
ɾ_ˈo	ˈɔ_r	1.0
ɾ_u	r	1.0
ɾ_i	r	1.0
ɲ	ɲ	1.0
ɛ	e	1.0
ɖː_u	o	1.0
ɖː	ɰ	1.0
ɔ̆_#>	#>	1.0
ɔ_z	i	1.0
ɔ	o	1.0
ŋ	ŋ	1.0
z_u	z_o	1.0
w	w	1.0
ŭ_#>	#>	1.0
u_#>	#>	1.0
t_ɛ	l_t	1.0
s_ˈa	s_ˈa	1.0
s_u	s_o	1.0
s	s	1.0
p_u	p_o	1.0
p	p	1.0
n_ʤ	ɲ	1.0
n_u	ŋ	1.0
n_i_#>	#>	1.0
n_a	n	1.0
l_i	l	1.0
i_ɾ	e_r	1.0
i_n	e	1.0
i_#>	#>	1.0
f	f	1.0
e	-	1.0
ă	e	1.0
a_ð	a	1.0
<#_ˈu	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʤ	<#_z	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#	1.0
<#_i	<#_i	1.0
<#_a_r	<#_r	1.0
<#_a	<#	1.0
<#	<#_z	1.0
m	m	0.941
a	a	0.94
k	k	0.929
t	t	0.917
u	o	0.859
d	d	0.857
ˈa	ˈa	0.848
z	-	0.818
l	ɰ	0.808
ʒ	z	0.8
ˈe	ˈɛ	0.706
ʤ	z	0.667
ɾ_a	r_a	0.667
ɡ	ɡ	0.667
nː	n	0.667
j	j	0.667
i	e	0.618
ð	d	0.6
ɾ	r	0.583
r	r	0.571
b	v	0.545
ɣ	ɡ	0.529
n	n	0.528
ˈɔ	ˈɔ	0.52
ˈi	ˈi	0.514
ɭː	ʤ	0.5
ɭː	-	0.5
o	o_r	0.5
o	-	0.5
ˈɔ	ˈo	0.48
n	ŋ	0.472
b	b	0.455
ˈu	ˈu	0.441
ˈo	ˈo	0.435
r	r_n	0.429
ˈɛ	ˈɛ	0.423
ˈu	ˈo	0.412
ˈi	ˈe	0.4
ɣ	ʧ	0.353
ˈo	ˈɔ	0.348
β	v_a	0.333
β	v	0.333
β	-	0.333
ʤ	-	0.333
ɾ_a	a	0.333
ɡ	ʤ	0.333
nː	ɲ	0.333
j	-	0.333
ˈɛ	ˈe	0.308
ˈe	ˈe	0.294
ʒ	s	0.2
ð	t	0.2
ð	-	0.2
z	i	0.182
ɾ	-	0.167
ˈɛ	ˈi	0.154
ˈa	-	0.152
ˈu	ˈɔ	0.147
d	-	0.143
ˈo	-	0.13
ɣ	-	0.118
ˈɛ	j_ˈɛ	0.115
l	-	0.115
i	e_r	0.091
ˈo	ˈo_v	0.087
ˈi	-	0.086
ɾ	j	0.083
t	-	0.083
l	l	0.077
i	i	0.073
i	-	0.073
k	-	0.071
u	-	0.064
m	ŋ	0.059
ɾ	v	0.056
ɾ	l	0.056
ɾ	a_r	0.056
i	ˈi	0.055
i	e_ɡ	0.055
u	a	0.051
