Eastern Lombard	Eastern Lombard	probability
ˈɛ_r	ˈɛ_ʀ	1.0
ˈø_ʧ	ˈu_l	1.0
ˈu_#>	ˈu_#>	1.0
ˈi_#>	ˈi_#>	1.0
ˈe_t	ˈɛ_n	1.0
ˈe_l	ˈi_l	1.0
ˈe_#>	ˈe_#>	1.0
ˈa_l	ˈa_l	1.0
ˈa_d	ˈa_j	1.0
ˈa_#>	ˈa_#>	1.0
y	y	1.0
w	-	1.0
u	u	1.0
t_m	mː	1.0
t_a	t_ɔ	1.0
t_#>	#>	1.0
s_#>	#>	1.0
r_ˈɛ	ɾ_ˈe	1.0
r_ˈa	ɾ_ˈa	1.0
n	n	1.0
m_n	nː	1.0
m_#>	m_#>	1.0
m	m	1.0
l_ˈɛ	l_ˈe	1.0
l_t	t	1.0
l_a	ɔ	1.0
l_#>	l_#>	1.0
k_#>	k_#>	1.0
k	k	1.0
j_ˈø	ˈi	1.0
e_#>	#>	1.0
d_a	ð_ɔ	1.0
b_j	β_l	1.0
a_#>	#>	1.0
<#_ˈo	<#_ˈa_w	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_r	<#_ʀ	1.0
<#_o	<#_a_w	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_a	<#_a	1.0
p	p	0.946
ˈa	ˈa	0.907
ˈu	ˈu	0.889
l	l	0.846
b	b	0.824
ɲ	ɲ	0.818
o	u	0.818
s	s	0.806
ˈy	ˈy	0.8
a	ɔ	0.773
f	f	0.767
d	d	0.68
ʋ	b	0.667
t	t	0.647
ˈi	ˈi	0.625
ŋ	ŋ	0.625
z	ʤ	0.625
r_#>	e_#>	0.611
e	e	0.567
<#	<#_b	0.567
j	l	0.55
ˈɛ	ˈɛ	0.536
ˈo	ˈu	0.526
r	ɾ	0.514
ɡ	ɣ	0.5
i	i	0.5
i	e	0.5
r	ʀ	0.486
ˈe	ˈɛ	0.478
ˈɔ	ˈɔ	0.474
#>	e_#>	0.412
ˈø	ˈy	0.4
ɡ	ɡ	0.4
r_#>	#>	0.389
ŋ	-	0.375
e	ɾ	0.367
ʧ	ʧ	0.333
ʋ	β	0.333
ˈe	ˈe	0.304
ˈø	ˈɔ	0.3
<#	<#_e	0.3
ˈi	ˈe	0.292
ˈo	ˈa_w	0.263
ʤ	ʤ	0.25
ʤ	ʎ	0.25
ʤ	ɡ_l	0.25
ʤ	-	0.25
z	-	0.25
a	a	0.227
ʧ	ˈɛ_l	0.222
ʧ	k_l	0.222
ʧ	-	0.222
ˈɔ	ɥ_ˈɛ	0.211
ˈo	ˈɔ	0.211
#>	s_#>	0.206
ˈø	ɥ_ˈɔ	0.2
ˈy	-	0.2
ɲ	n	0.182
o	-	0.182
b	β	0.176
f	w	0.167
l	-	0.154
j	ʎ	0.15
t	ʧ	0.147
t	ð	0.147
#>	ɔ_#>	0.147
ˈɛ	ˈe	0.143
ˈɛ	j_ˈɛ	0.143
ˈe	ˈi	0.13
z	z	0.125
s	ʦ	0.125
d	ʤ	0.12
d	ð	0.12
#>	w_#>	0.118
ˈu	ˈɔ	0.111
ˈɛ	ˈe_j	0.107
ˈɔ	ˈu	0.105
ˈɔ	ˈa_w	0.105
ˈɔ	-	0.105
ˈø	ɥ	0.1
ɡ	-	0.1
j	ʤ	0.1
j	j	0.1
j	-	0.1
ˈe	-	0.087
ˈi	-	0.083
d	j_ɾ	0.08
ˈɛ	j	0.071
f	w_ɾ	0.067
e	-	0.067
<#	<#_ˈa	0.067
<#	<#_a	0.067
t	n	0.059
#>	ˈi_#>	0.059
#>	n_#>	0.059
p	-	0.054
