Romansch	Aragonese	probability
a	a	1.0
o	o	1.0
u	o	1.0
ŋ	ŋ	1.0
ʒ	-	1.0
ʧ	θ	1.0
ˈaː	ˈa	1.0
ˈeː	ˈe	1.0
ˈiə̯	j_ˈe	1.0
ˈo	ˈu	1.0
k	k	0.901
l	l	0.791
m	m	0.981
v	b_j	0.081
v	β	0.351
ə	e	0.141
ɲ	ɲ_o	0.251
ˈi	ˈi	0.761
ˈɛ	j_ˈe	0.421
b	-	0.082
t	t_o	0.102
v	p	0.072
ɡ	ɡ	0.482
ʃ	s	0.422
ˈa	ˈa	0.622
ˈe	ˈe	0.932
ˈiː	ˈu	0.322
d	ð	0.383
e	e	0.593
r	ɾ_o	0.063
w	β	0.133
ə	ˈe	0.053
ɲ	ɲ	0.353
ʃ	ʃ	0.123
d	d	0.584
l	ʎ	0.074
ˈu	w_ˈe	0.064
ˈuː	ˈo	0.654
ˈɔ	ˈe	0.144
ˈɔː	ˈe	0.754
ˈɛː	ˈe_ʎ	0.724
f	-	0.075
f	f	0.925
j	j	0.155
l	l_o	0.075
n	-	0.055
w	w	0.475
ɡ	-	0.145
ɡ	ɣ	0.265
ʥ	ʧ	0.15
ʥ	-	0.85
ʨ	k	0.835
ˈa	a	0.065
v	b	0.496
w	-	0.146
w	o	0.246
ɲ	n	0.396
ˈu	ˈo	0.496
ˈuː	ˈe	0.346
ˈɔ	ˈa	0.856
ˈɔː	ˈo	0.246
ˈɛː	ˈe	0.276
e	i	0.407
j	-	0.387
j	ˈe	0.457
p	p	0.967
ə	a	0.77
ʎ	ʎ_o	0.487
ˈa	j	0.167
b	b	0.638
n	n_o	0.198
n	n	0.698
r	r	0.088
ʃ	θ	0.428
ˈa	-	0.068
ˈa	e	0.078
ˈe	-	0.068
ˈiː	ˈi	0.678
b	b_w	0.269
k	k_w	0.099
r	ɾ	0.809
s	θ	0.069
s	s	0.859
t	ð	0.279
t	t	0.619
ɡ	b	0.109
ʎ	ʎ	0.49
ˈi	ˈu	0.239
ˈu	ˈe	0.169
ˈu	ˈu	0.239
ˈɛ	ˈe	0.579
