Galician	Logudorese	probability
f	f	1.0
p	p	1.0
ʧ	f_r	1.0
ˈɑ	ˈa	1.0
a	ˈa	0.21
m	-	0.111
o	o	0.411
w	o	0.201
ɐ	n_a	0.051
ɾ	r	0.511
ˈe	ˈi	0.311
ˈu	ˈu	0.871
β	-	0.421
β	β	0.481
θ	-	0.051
e	i	0.382
i	i	0.792
m	m	0.82
n	-	0.052
ʃ	ɡ	0.072
ʎ	k_r	0.392
θ	ɣ	0.222
d	d	0.933
e	ˈi	0.073
l	-	0.063
n	nː	0.053
t	t	0.953
ð	t	0.193
ŋ	-	0.3
ɲ	ɲː	0.13
ɾ	e_r	0.053
ʎ	ʣ	0.3
ˈa	l_ˈa	0.053
ˈa	-	0.093
ˈa	ˈa	0.83
ˈo	ˈo	0.543
b	b	0.954
j	j	0.484
r	rː	0.054
s	-	0.064
w	u	0.334
ŋ	n_u	0.124
ɡ	b	0.404
ɣ	ɣ	0.884
ʃ	b	0.504
ˈi	ˈi	0.94
ˈo	ˈu	0.204
ˈɔ	ˈo	0.94
ˈɛ	ˈe	0.924
θ	ɣ_e	0.274
a	-	0.205
k	b	0.055
l	sː	0.075
o	ˈo	0.455
ɐ	a	0.825
ɪ	i	0.055
ʊ	u_z	0.055
a	a	0.586
j	-	0.516
l	l_e	0.06
o	-	0.076
w	-	0.466
ɡ	ɡ	0.596
ɪ	n_e	0.086
ɪ	u	0.176
ɪ	e	0.616
ɾ	-	0.096
ˈe	ˈe	0.406
ˈo	e_#>	0.06
ˈɔ	ˈu	0.06
ˈɛ	ˈi	0.076
θ	k	0.426
d	ɖ	0.067
e	-	0.137
e	e	0.407
k	k	0.867
l	ɖː	0.177
l	l	0.597
n	ŋ	0.057
ð	ð	0.807
ɣ	-	0.057
ɪ	e_n	0.067
ɾ	r_e	0.277
ʃ	s	0.177
ˈe	ˈa	0.07
ˈe	e	0.17
i	-	0.208
k	-	0.078
n	n	0.838
o	u	0.058
r	-	0.208
r	r	0.738
s	s	0.8
ŋ	m	0.228
ŋ	n_e	0.348
ʃ	-	0.198
β	p	0.078
m	m_i	0.069
s	z	0.119
ɣ	ɡ	0.059
ɲ	nː	0.09
ɲ	n	0.779
ʊ	u	0.929
ʎ	-	0.309
ˈo	ˈo_n	0.069
ˈu	<#_a	0.129
