East Frisian Low Saxon	Middle High German	probability
χ	x	1.0
ˈʏə̯	ˈy	1.0
ˈʊə̯	-	1.0
ˈɪə̯	ˈi	1.0
ˈɔː	ˈɑː	1.0
ˈɔ_l	ˈɑ_l	1.0
ˈɒːɒ̯	ˈɑ	1.0
ˈɒː_t	ˈɑ_s̻ː	1.0
ˈɑːʊ̯	-	1.0
ˈɑːɑ̯	ˈɑ	1.0
ˈœːy̯	ˈuə̯	1.0
ˈœy̯	ˈyə̯	1.0
ˈøy̯_k	xː	1.0
ˈæː	ˈiə̯	1.0
ˈyː	ˈyː	1.0
ˈuːu̯	ˈuː	1.0
ˈuː	ˈuː	1.0
ˈiːi̯	ˈiː	1.0
ˈeːe̯	ˈɛ	1.0
ʊ	ˈuə̯	1.0
ɡ̊	-	1.0
ə	ə	1.0
ɑɪ̯	ɛ_h	1.0
z̥	s_ə	1.0
w	w	1.0
s_t	s_t	1.0
s_k	ʃː	1.0
s	ʃ	1.0
r_ˈɪ	r_ˈi	1.0
r	r	1.0
j	j	1.0
h	h	1.0
f	v	1.0
b	b	1.0
ˈɑ	ˈɑ	0.934
m	m	0.923
l	l	0.913
ɡ	ɡ	0.897
z	s	0.862
ˈʊ	ˈu	0.86
n	n	0.831
ˈɑʊ̯	ˈuə̯	0.818
v̥	b̥	0.812
ˈɪ	ˈi	0.806
ˈeː	ˈɛ	0.8
v	w	0.797
ˈæːɪ̯	-	0.796
ˈɔ	ˈo	0.75
ˈɑː	ˈɑ	0.742
ˈiː	ˈiː	0.735
d	d	0.687
ˈøːø̯	-	0.667
ˈæɪ̯	ˈei̯	0.605
ɐ	r	0.59
ˈɒː	ˈɑː	0.575
d̥	t	0.555
ˈʏ	ˈy	0.545
ɣ̊	ɡ̊	0.539
ŋ	ŋ	0.537
ˈœ	-	0.512
ˈɛːɪ̯	ˈiː	0.5
ˈɛːɪ̯	ˈeː	0.5
ˈœ	ˈo	0.488
ŋ	ŋ_ɡ	0.463
ˈʏ	-	0.455
d̥	d̥	0.445
ˈɒː	ˈɑ	0.425
ˈøː	-	0.409
t	s̻	0.398
p	f_ə	0.355
ˈɛ	ˈɛ	0.338
ˈøː	ˈy	0.335
ˈøːø̯	rː	0.333
t	t	0.33
k	-	0.318
ɣ̊	kː	0.304
ˈoː	ˈoː	0.28
ˈoː	ˈo	0.271
p	f	0.271
k	xː	0.268
ˈæɪ̯	ˈiə̯	0.267
ˈiː	ˈi_r	0.265
ɐ	ə_r	0.262
p	p͡f	0.261
ˈɑː	ˈɛ	0.258
ˈɔ	ˈu	0.25
ˈɛ	ˈi	0.247
ˈɛ	-	0.247
ˈoː	ˈou̯	0.229
k	k	0.214
ˈæːɪ̯	ˈæː	0.204
v	b_ə	0.203
d	t	0.203
ˈøː	ˈu	0.201
ˈeː	-	0.2
k	kː	0.2
v̥	b_ə	0.188
ˈɑʊ̯	-	0.182
ˈoː	-	0.179
ˈɛ	ˈɑ	0.169
ɣ̊	ɡ_ə	0.157
ˈɪ	-	0.142
ˈʊ	ˈo	0.14
z	s_ə	0.138
ˈæɪ̯	-	0.127
t	s̻ː	0.121
ɡ	-	0.103
ɐ	r_ə	0.102
t	ʦ	0.085
n	nː_ə	0.081
d	tː	0.08
p	p	0.078
t	ʦː	0.067
l	l_ˈiə̯	0.067
ˈɑ	-	0.066
n	n_d	0.059
ˈøː	ˈøː	0.056
ˈɪ	ˈiː	0.052
