Ligurian	Latin	probability
b	b	1.0
d	d	1.0
f	f	1.0
m	m	1.0
o	ʊ̃ː	1.0
ˈɔ	ˈɔ	1.0
a	ãː	0.651
j	ˈiː	0.051
j	ɛ_r	0.161
s	t	0.071
s	-	0.261
ʧ	-	0.171
ˈu	ˈoː	0.191
ˈy	ˈoː	0.071
ˈø	ˈɔ_k	0.261
a	i_ãː	0.052
e	ɪ	0.072
r	r	0.92
t	k_t	0.122
t	t	0.752
u	oː	0.072
u	ʊ̃ː	0.722
ŋ	n	0.522
ˈa	ˈaː	0.412
ˈaː	ˈa	0.352
ˈaː	ˈaː_r	0.412
ˈy	ˈuː	0.732
ˈøː	ˈɔ	0.872
ˈɔː	ˈau̯	0.062
e	ɛ	0.143
i	iː	0.443
j	-	0.353
p	p	0.973
w	t	0.173
ɡ	ɡ	0.213
ɲ	n_i	0.53
ˈaː	ˈa_ɫ	0.073
ˈaː	ˈaː	0.093
ˈe	ˈeː	0.223
ˈe	ˈɪ	0.283
ˈiː	ˈiː	0.783
ˈu	ˈɔ	0.403
ˈuː	ˈʊ	0.523
ˈɔː	ˈɔ	0.903
k	k	0.904
n	n	0.934
t	tː	0.064
v	b	0.164
w	ʊ	0.094
w	-	0.144
ʃ	s	0.154
ʃ	<#_h	0.214
ʒ	-	0.224
ʤ	b	0.074
ˈi	ˈiː	0.934
ˈyː	ˈuː_r	0.054
ˈɛː	ˈɛ	0.754
e	ɛ_r	0.165
j	i	0.125
l	ɫ	0.415
ŋ	n_ɛ̃ː	0.055
ŋ	ŋ	0.135
ʃ	s_k	0.485
ʤ	ɫ	0.115
ˈeː	ˈɪ	0.085
ˈɛ	ˈiː	0.165
ˈɛ	ˈɛ	0.725
a	a	0.086
i	ɪ	0.466
k	kʷ	0.066
z	ɡ	0.786
ʒ	k	0.776
ʤ	-	0.446
ˈi	ˈeː	0.066
ˈy	ˈʊ	0.196
ˈyː	ˈuː	0.946
e	ɛ̃ː	0.527
l	lʲː	0.347
v	w	0.657
z	s	0.077
ɡ	k	0.787
ɲ	n	0.47
ʃ	f_ɫ	0.147
ʤ	d_i	0.067
ˈe	ˈɛ	0.457
ˈøː	ɛ_#>	0.067
ˈɛː	ˈa	0.107
j	ɪ	0.238
l	l	0.178
s	s	0.628
v	p	0.18
z	j	0.088
ŋ	n_ʊ̃ː	0.178
ʤ	ʊ_ɫ	0.268
ˈa	ˈa	0.588
ˈeː	ˈɛ	0.838
ˈiː	ˈoː	0.088
ˈiː	ˈiː_r	0.128
ˈuː	ˈoː	0.388
i	oː	0.069
n	nː	0.059
w	ɔ	0.589
ŋ	-	0.089
ʧ	p	0.829
ˈu	ˈʊ	0.389
ˈuː	ˈɔ	0.089
ˈø	ˈɔ	0.739
ˈɛ	ˈeː	0.109
ˈɛː	ˈaː_t	0.139
