Auvergnat	Auvergnat	probability
ˈɪ̃	-	1.0
ˈɛ	ˈe	1.0
ˈɔ_ʀ	r_t	1.0
ˈœ	ˈu	1.0
ˈỹ	ˈu	1.0
ˈũ_ŋ	ˈo	1.0
ˈũ	ˈɔ	1.0
ˈĩ	ˈi	1.0
ˈi	ˈi	1.0
ˈe_ʀ	ˈɛ_r	1.0
ˈe_s	ˈɛ_w	1.0
ˈã	ˈa	1.0
ˈa_w	ˈa_l	1.0
ˈa_l	ˈɛ_l	1.0
ʧ_ə	ʤ_ə	1.0
ʤ_ɔ	ɣ_ə	1.0
ʒ_ˈĩ	ˈi	1.0
ʃ	s	1.0
ʀ_ˈa	ɾ_ˈa	1.0
ʀ_ə_#>	#>	1.0
ɪ	ə_s	1.0
ɥ	s_ˈi	1.0
ə_#>	#>	1.0
ɔ_#>	#>	1.0
ɔ	ə	1.0
ɒ	ə	1.0
ŋ_t	n_t	1.0
ŋ_k	ŋ	1.0
y	-	1.0
w_ˈɔ	ˈɔ	1.0
w_ˈẽ	ˈu	1.0
w_ʀ	w_ɾ	1.0
w_#>	w_#>	1.0
vʲ	b	1.0
v_ə	b_ə	1.0
ũ	u	1.0
u	u	1.0
t	t	1.0
s_#>	w_#>	1.0
pʲ	ə_β	1.0
p	p	1.0
mʲ	m	1.0
m_#>	m_#>	1.0
lː	ʎ	1.0
k_ʀ	k_ɾ	1.0
k_#>	k_#>	1.0
j_ˈɔ	ˈɔ	1.0
j_ʀ	ɾ	1.0
j_s	ʃ	1.0
ĩ	i	1.0
fʲ	f	1.0
f	f	1.0
e	ə	1.0
dʲ	d	1.0
d_ɔ	ð_ə	1.0
ã	ə	1.0
a	ə	1.0
<#_ʀ	<#_r	1.0
<#_ɒ	<#_ə	1.0
<#_œ	<#_u	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_ʎ	1.0
<#	<#_u	1.0
m	m	0.955
s	s	0.949
k	k	0.882
ˈa	ˈa	0.875
ʎ	ʎ	0.864
n	n	0.824
ʧ	k	0.8
ˈy	ˈu	0.75
ɲ	ɲ	0.75
v	b	0.75
w	ˈɔ	0.733
d	d	0.722
ʀ	ɾ	0.721
ʤ	ʒ	0.706
ˈɪ	ˈɛ	0.7
ˈu	ˈo	0.68
ə	ə	0.676
ˈɔ	-	0.667
j_#>	#>	0.667
ˈe	ˈe	0.645
ɡ	ɡ	0.636
l	l	0.625
z	-	0.6
l_ɔ	l_ə	0.6
i	i	0.6
ŋ_#>	#>	0.579
b	b	0.545
ˈẽ	ˈɛ	0.5
ˈẽ	ˈe	0.5
w_ˈɔ̃	ˈɔ	0.5
w_ˈɔ̃	ˈo	0.5
<#_ˈa	<#_ˈa	0.5
<#_ˈa	<#	0.5
b	β	0.455
ŋ_#>	n_#>	0.421
ŋ	n	0.4
z	z	0.4
l_ɔ	l	0.4
i	-	0.4
l	ʎ	0.375
ˈɔ	s	0.333
j_#>	j_#>	0.333
#>	ʧ_#>	0.333
ˈɪ	ˈe	0.3
ŋ	ɲ	0.3
ŋ	ŋ	0.3
j	j	0.3
j	-	0.3
d	ð	0.278
ˈy	ˈu_j	0.25
ɲ	n	0.25
v	β	0.25
ʀ	r	0.233
#>	w_#>	0.222
#>	n_#>	0.222
#>	k_#>	0.222
ʧ	t	0.2
j	ˈa	0.2
j	w	0.2
ɡ	ɣ_w	0.182
ɡ	ɣ	0.182
ʤ	-	0.176
n	-	0.176
ˈe	ˈɛ	0.161
w	w	0.133
w	-	0.133
ˈu	ˈɔ	0.12
ˈu	ˈu	0.12
ʤ	ɡ	0.118
k	k_w	0.118
ə	ɾ_ə	0.108
ə	i	0.108
ə	-	0.108
ˈe	ˈe_s	0.097
ˈe	-	0.097
ʎ	ɡ_l	0.091
ˈa	-	0.083
ˈu	ˈɛ	0.08
s	ʃ	0.051
