Portuguese	Aragonese	probability
d	d	1.0
ẽ	e	1.0
f	f	1.0
ĩ	i	1.0
j̃	j	1.0
p	p	1.0
ɐ̃	e	1.0
ɔ	o	1.0
ɫ	l	1.0
ʁ	r	1.0
ˈa	ˈa	1.0
ˈũ	ˈu	1.0
ˈɨ	ˈe	1.0
i	e	0.731
m	m_b	0.141
w̃	n	0.701
ɐ	a	0.951
ɡ	ɡ	0.91
ɨ	ɾ_e	0.1
ˈe	ˈe	0.751
ˈo	ˈu	0.11
ˈõ	w_ˈe	0.821
ˈɔ	ˈo	0.591
b	b	0.892
w	-	0.202
w	w	0.462
ʃ	s	0.512
ʎ	ˈe_ʎ	0.2
ˈi	ˈi	0.912
ˈɐ	ˈe	0.732
ˈɛ	j_ˈe	0.862
s	θ	0.293
v	-	0.053
ɣ	ɣ	0.943
ˈe	ˈi	0.113
ˈẽ	ˈe	0.233
ˈo	l_ˈo	0.073
ˈɐ	-	0.093
β	β	0.813
k	k	0.974
l	l	0.634
n	n	0.974
s	-	0.194
s	s	0.464
t	n_t	0.184
v	b_e	0.054
z	θ	0.464
ð	-	0.114
ɨ	w	0.064
ɨ	e	0.604
ɲ	ɲ	0.304
ˈu	ˈo	0.054
ˈɐ	ˈa	0.174
ˈɐ̃	ˈa_n	0.314
ɨ	i	0.095
ɲ	n	0.535
ʃ	ʃ	0.095
ʃ	θ	0.25
ˈĩ	ˈi	0.335
ˈĩ	ŋ	0.665
ˈo	w	0.165
ˈo	w_ˈe	0.475
j	-	0.326
j	j	0.506
l	ʎ	0.366
w	o	0.336
z	s	0.536
ð	ð	0.836
ɲ	ŋ_ɡ	0.16
ɾ	ɾ	0.966
ʒ	ʧ	0.956
ˈe	ʝ_ˈe	0.136
ˈu	ˈu	0.946
t	-	0.087
v	b	0.457
ɣ	ˈe_ɣ	0.057
ˈẽ	j_ˈe	0.767
ˈɐ̃	ˈo	0.137
β	p	0.187
b	m_b	0.108
v	β	0.408
ɨ	-	0.138
ʃ	-	0.128
ʎ	ʎ	0.8
ˈi	ˈe	0.088
ˈo	ˈo	0.178
ˈɛ	ˈe	0.138
i	i	0.269
j	ˈe	0.059
j	e	0.109
m	m	0.859
t	t	0.699
u	o	0.929
w̃	n_o	0.299
ɡ	ŋ_ɡ	0.09
ˈõ	ˈo_n	0.179
ˈɐ̃	ˈa	0.549
ˈɔ	w_ˈe	0.409
