Taiwanese Hokkien	Taiwanese Hokkien	probability
⁵⁵	²⁴	1.0
⁵³	⁵²	1.0
⁵	²	1.0
⁴⁴	³³	1.0
⁴	⁴	1.0
ʨʰ	ʦʰ	1.0
ʨ	ʦ	1.0
ʦ	ʦ	1.0
ʔ	ʔ	1.0
ɤ	w	1.0
ɡ	ɡ	1.0
ɛ	e	1.0
ɕ	s	1.0
ɔ̃	o	1.0
ɔ_ŋ	õ	1.0
¹¹	²¹³	1.0
³²	²	1.0
²⁴	⁵⁵	1.0
²²	¹¹	1.0
w_e	o_j	1.0
t̚	k̚	1.0
tʰ	tʰ	1.0
t	t	1.0
s	s	1.0
pʰ	pʰ	1.0
p	p	1.0
m	m	1.0
k̚	k̚	1.0
kʰ	kʰ	1.0
j̃	a_j	1.0
j_ɪ	e	1.0
ĩ	-	1.0
b	b	1.0
<#_ɡ	<#	1.0
<#	<#_n	1.0
#>	³⁵_#>	1.0
a	a	0.895
k	k	0.889
i	i	0.87
ʦʰ	ʦʰ	0.857
h	h	0.85
n	ŋ	0.846
w	w	0.826
ã	ã	0.778
j	j	0.76
ŋ	ŋ	0.733
u	u	0.727
o	o	0.727
l	l	0.533
³³	¹¹	0.474
l	ʣ	0.467
e	e	0.462
ɔ	o_w	0.4
ŋ̍	ɯ_ŋ	0.385
e	w_e	0.385
³³	³⁵	0.368
ŋ̍	u_ŋ	0.308
o	e	0.273
ɔ	w	0.267
ŋ	a_ŋ	0.267
ŋ̍	ŋ	0.231
ã	-	0.222
ɔ	o	0.2
u	-	0.182
w	ũ	0.174
n	n	0.154
e	j	0.154
h	-	0.15
ʦʰ	ʨʰ	0.143
ɔ	a	0.133
i	-	0.13
j	ĩ	0.12
j	-	0.12
k	kʰ	0.111
³³	ʔ_⁴	0.105
a	-	0.105
u	ɯ	0.091
ŋ̍	ŋ̍	0.077
³³	⁴⁴	0.053
