Alsatian	Alsatian	probability
ˈøː	-	1.0
ˈøi̯	ˈuː_z	1.0
ˈø	ˈuː	1.0
ˈæː	-	1.0
ˈyː	ˈuː	1.0
ˈoː_t	ˈoː_d	1.0
ˈaː	j	1.0
ˈai̯	ˈeː	1.0
ʦ	t	1.0
ʋ_ˈɒ	v	1.0
ʃ_#>	#>	1.0
ŋ	ŋ	1.0
z̥_#>	s_#>	1.0
z̥	z	1.0
x	x	1.0
w	v	1.0
t_ʁ	d_r	1.0
s_ˈe	s	1.0
p͡f	p	1.0
p	p	1.0
m	m	1.0
l_t	l_d	1.0
kʰ	s	1.0
k_s	k_s	1.0
k	x	1.0
i	ɪ_x	1.0
h	h	1.0
eː	i	1.0
e	w	1.0
d̥_ʁ	t_r	1.0
d̥_ə	ˈuː	1.0
<#_ʁ	<#_r	1.0
<#_n	<#_n	1.0
<#_kʰ	<#_k	1.0
<#_d̥	<#	1.0
<#	<#_j	1.0
l	l	0.947
d̥	d	0.917
ə	ə	0.911
ʋ	v	0.9
ʁ	r	0.878
f	f	0.864
b̥	b	0.857
ˈɒː	-	0.75
ʃ_t	s_t	0.75
ˈəi̯	ˈeː	0.714
ˈeː	ˈeː	0.714
n	n	0.698
ˈʊː	ˈoːu̯	0.6
ˈæ	-	0.6
ˈei̯	ˈɛɪ̯	0.6
ɡ̊	ɣ	0.6
f_#>	p_#>	0.6
ʃ	s_k	0.526
t	d	0.5
s	t	0.5
j	ˈoː_ɣ	0.5
j	j	0.5
s	s	0.423
ˈi	ˈɪ	0.407
ˈʊː	ˈoː	0.4
ˈu	ˈʊ	0.4
ˈei̯	-	0.4
f_#>	#>	0.4
ˈe	ˈeː	0.375
ˈe	-	0.375
ˈoː	-	0.364
ˈu	ˈuː	0.35
ˈo	ˈʊ	0.333
ˈo	ˈɔ	0.333
ˈo	ˈoːu̯	0.333
t	t	0.318
ʃ	s	0.316
ˈɒ	ˈɔː	0.292
ˈəi̯	-	0.286
ˈeː	-	0.286
ˈoː	ˈoː	0.273
ˈi	ˈiː	0.259
ˈɒː	ˈoː	0.25
ˈe	ˈɔː	0.25
ʃ_t	t	0.25
ˈi	-	0.222
ˈɒ	ˈoː	0.208
ˈæ	ˈiːu̯	0.2
ˈæ	ˈeːu̯	0.2
ˈiː	ˈi	0.2
ˈiː	j	0.2
ɡ̊	ɡ	0.2
ɡ̊	-	0.2
ˈoː	ˈoːu̯	0.182
ˈoː	ˈiː	0.182
t	-	0.182
ˈɒ	ˈoːu̯	0.167
ˈɒ	-	0.167
ʃ	k	0.158
ˈu	ˈɛː	0.15
ˈiː	ˈɛɪ̯	0.15
ˈiː	ˈiː	0.15
ˈiː	j_ˈuː	0.15
ˈiː	-	0.15
b̥	-	0.143
f	p	0.136
ˈu	ˈɔː	0.1
ʋ	-	0.1
n	-	0.093
ˈɒ	ˈaː	0.083
ˈɒ	ˈa	0.083
d̥	t	0.083
s	t_ə	0.077
ˈi	ˈyː	0.074
n	ˈɔ_n	0.07
n	ə	0.07
n	n_ə	0.07
ʁ	ˈiː_r	0.061
ʁ	-	0.061
l	l_ˈɛɪ̯	0.053
