Portuguese	Nuorese	probability
ˈɐ_j	ˈe	1.0
ˈũ	ˈu_n	1.0
ˈi_ɣ	ˈi_k	1.0
ʒ	ɡ	1.0
ʃ_t	s_t	1.0
ʃ_p	s_p	1.0
ʃ_k	s_k	1.0
ʁ	r	1.0
ɾ_ˈu	ɾ_ˈu	1.0
ɾ_u	u	1.0
ɾ_n	r	1.0
ɾ_#>	ɛ_#>	1.0
ɐ̃	-	1.0
ɐ_ʃ	a_z	1.0
ɐ_ð	a_t	1.0
ð	t	1.0
z	k	1.0
t_ˈa	ð_ɛ	1.0
t_ɨ	t_ɛ	1.0
s_u	u	1.0
p	p	1.0
o	-	1.0
m	m	1.0
j̃	ɛ	1.0
j_t	t	1.0
ĩ	-	1.0
i	i	1.0
f	f	1.0
ẽ	-	1.0
d	d	1.0
b	b	1.0
<#_ˈo	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʒ	<#_ʣ	1.0
<#_ʃ	<#_p	1.0
<#_ɔ	<#	1.0
<#_ɐ	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_k	<#	1.0
<#_i	<#	1.0
ˈa	ˈa	0.946
k	k	0.938
ˈi	ˈi	0.893
ˈu	ˈu	0.889
ɾ	ɾ	0.871
ɐ	a	0.865
u	u	0.802
ɡ	ɡ	0.778
t	t	0.773
ɾ_ɐ	ɾ_a	0.75
l	l	0.75
ˈɛ	ˈɛ	0.65
w	-	0.615
ˈɐ̃	ˈa	0.611
β	p	0.6
<#_ʁ	<#_ɾ	0.6
ɣ	k	0.583
v	b	0.576
<#	<#_i	0.571
#>	ɛ_#>	0.569
w̃	n_u	0.556
ˈɔ	ˈɔ	0.55
s	s	0.55
ɨ	ɛ	0.545
ˈõ	ˈɔ_n	0.5
ˈõ	ˈo_n	0.5
ˈĩ	ˈi_n	0.5
ˈĩ	ˈi	0.5
n	nː	0.5
n	n	0.5
ɲ	n	0.438
ˈẽ	ˈɛ_n	0.429
ɫ	-	0.429
<#	<#_a	0.429
v	β	0.424
ʎ	ʣ	0.417
<#_ʁ	<#	0.4
w	ˈa	0.385
ˈɛ	ˈe	0.35
s	k	0.35
ˈɐ	ˈa	0.333
ˈo	ˈɔ	0.333
ˈo	ˈu	0.333
ˈe	ˈi	0.333
ˈe	ɛ_ɾ	0.333
ʎ	k_ɾ	0.333
j	-	0.32
ˈɐ	-	0.286
ˈẽ	ˈe_n	0.286
ˈẽ	ˈe	0.286
ʃ	z	0.286
ʃ	k_ɛ	0.286
ɫ	ɾ	0.286
ɫ	l_ɛ	0.286
ˈo	ˈo	0.278
ˈɔ	ˈo	0.25
ʎ	-	0.25
ɾ_ɐ	a	0.25
ɲ	n_ʣ	0.25
ɣ	ɣ	0.25
ɨ	i	0.242
ˈɐ	ˈɛ	0.238
ˈɐ̃	n	0.222
ɡ	-	0.222
w̃	ɛ	0.222
w̃	n_ɛ	0.222
ˈe	ˈɛ	0.208
#>	u_#>	0.207
β	p_ɛ	0.2
β	-	0.2
j	ɛ	0.2
j	n	0.2
l	ɖː	0.194
ɲ	nː	0.188
ˈɐ̃	ˈa_n	0.167
ɣ	-	0.167
ˈɐ	ˈe	0.143
ʃ	s	0.143
t	ʦ	0.136
ˈe	ˈe	0.125
ɲ	-	0.125
ɨ	-	0.121
#>	ɔ̆_#>	0.121
j	j	0.12
ˈu	-	0.111
ˈi	-	0.107
ˈɔ	ˈɔ_j	0.1
ˈɔ	ˈu	0.1
s	ʦ	0.1
ʃ	ɔ_z	0.095
ʃ	k_ɾ	0.095
ʃ	f_ɾ	0.095
ɨ	a	0.091
t	n_t	0.091
j	ɣ_ɛ	0.08
j	z	0.08
ɐ	-	0.068
k	k_a	0.062
u	ɔ	0.058
ˈo	ˈɔ_n	0.056
l	-	0.056
ˈa	ɾ	0.054
