Slovak	Lower Sorbian	probability
<#_c	<#_ɕ	1.0
<#_d	<#_d	1.0
<#_j	<#_j	1.0
<#_k	<#_k	1.0
<#_l	<#_l	1.0
<#_n	<#_n	1.0
<#_r	<#_r	1.0
<#_s	<#_s	1.0
<#_t	<#_t	1.0
<#_v	<#_vʲ	1.0
<#_x	<#_k	1.0
<#_z	<#_z	1.0
<#_ɟ	<#_ʑ	1.0
<#_ɦ	<#_ɡ	1.0
<#_ʋ	<#_vʲ	1.0
<#_ʒ	<#_ʐ	1.0
<#_ʧ	<#_ʦ	1.0
a_#>	a	1.0
c	ʨ	1.0
c_#>	ɕ_#>	1.0
d	d	1.0
i	i	1.0
i_#>	ɨ_#>	1.0
iː_#>	ɨ	1.0
k	k	1.0
k_#>	k_#>	1.0
k_iː	kʲ_i_#>	1.0
m	mʲ	1.0
n	n	1.0
n_iː	n_ɨ	1.0
p	p	1.0
p_#>	p_#>	1.0
s	s	1.0
s_#>	s_#>	1.0
t_#>	t_#>	1.0
t_a	t_a	1.0
v	v	1.0
x	x	1.0
x_#>	k_#>	1.0
z	z	1.0
ɔ	-	1.0
ɔ_#>	ɔ	1.0
ɛ	ɛ	1.0
ɛ_#>	ɔ	1.0
ɛ_m	ɨ_m	1.0
ɛ_n	e_n	1.0
ɟ	ʑ	1.0
ɦ	ɡ	1.0
ɫ_#>	w_#>	1.0
ɲ_#>	ɲ	1.0
ʃ	ʂ	1.0
ʋ_ˈɛ	vʲ_ˈɪ	1.0
ʎ	l	1.0
ʎ_#>	l_#>	1.0
ʦ	ʦ	1.0
ʦ_#>	ʦ_#>	1.0
ˈa_#>	ˈa_#>	1.0
ˈu	ˈu	1.0
ˈuː	ˈu	1.0
ˈæ	ˈɪ	1.0
ˈɛ_s	ˈa_s	1.0
ˈɫ̩	w	1.0
<#_p	<#_pʲ	0.571
l	l	0.571
r	ʂ	0.1
r	ɕ	0.1
ɪ̯ˈɛ	ˈa	0.222
ɫ	l	0.2
ˈa	ˈa	0.312
ˈa	ˈɔ	0.562
ɫ	-	0.133
ˈɛ	ˈa	0.143
ˈɛ	ˈe	0.333
<#_m	<#_mʲ	0.444
b	bʲ	0.4
t	t	0.714
ʋ	vʲ	0.364
ˈr̩	ˈe	0.4
ˈɔ	ˈɛ	0.444
<#_ˈɔ	<#_ˈɔ	0.5
<#_ˈɔ	<#_v_ˈɛ	0.5
r	rʲ	0.35
r	r	0.45
ˈa	ˈɪ	0.125
ˈi	ˈi	0.5
ˈi	ˈɨ	0.5
ˈɛ	ˈɛ	0.095
<#_m	<#_m	0.556
b	b	0.6
t	-	0.286
ʋ	v	0.636
ˈr̩	r	0.6
ˈɔ	ˈɔ	0.556
ɫ	w	0.667
ɪ̯ˈɛ	ˈɪ	0.778
ˈɛ	ˈɪ	0.238
<#_p	<#_p	0.429
l	w	0.429
ˈɛ	ˈɔ	0.19
