Lombard	Italian	probability
a	a	0.89
a	e	0.055
ã	e	0.452
ã	m	0.122
b	b	1.0
d	d	0.635
d	t	0.286
d	-	0.051
e	e	0.64
e	i	0.17
e	-	0.081
e	ˈe	0.061
ẽ	e	0.519
f	f	0.749
f	v_e	0.097
f	v_o	0.058
i	i	0.538
i	e	0.242
i	o	0.166
ĩ	i	0.667
ĩ	n	0.333
j	j	0.524
j	-	0.235
j	ʎ	0.068
j	i	0.053
j	ʎ_o	0.053
k	k	0.81
k	ɡ_o	0.068
k	ŋ_k	0.067
l	l	0.977
m	m	0.837
m	i_m	0.06
n	n	0.975
o	o	1.0
p	p	0.899
p	p_o	0.094
r	r	0.817
r	r_o	0.124
s	s	0.653
s	ʧ_e	0.154
s	ʃ	0.055
t	t	0.469
t	t_o	0.153
t	t_e	0.141
t	d_e	0.068
t	n_t	0.062
t	t_t	0.053
u	o	0.747
u	e	0.118
u	ˈe	0.07
u	u	0.068
ũ	o	0.269
v	v	0.519
w	w	1.0
y	o	0.5
y	u	0.5
z	ʧ	0.561
z	z	0.192
z	ʤ	0.135
ɛ	e	0.393
ɛ	a	0.204
ɡ	ɡ	0.687
ɡ	v	0.137
ɡ	-	0.079
ɡ	b	0.069
ɲ	ɲ	0.506
ɲ	n	0.299
ɲ	ɲ_o	0.178
ʃ	ʧ	0.74
ʃ	s	0.151
ʋ	v	0.753
ʋ	-	0.207
ʋ_ˈɛ	ˈe	0.14
ʤ	ʤ	0.671
ʤ	ɡ	0.182
ʤ	-	0.091
ʤ	k	0.063
ʦ	ʧ	0.411
ʦ	ʦ	0.23
ʦ	ʣ	0.132
ʦ	ʤ	0.101
ʦ	-	0.082
ʧ	j	0.313
ʧ	ʧ	0.292
ʧ	t_t	0.225
ʧ	t_e	0.06
ʧ	d	0.058
ʧ	k	0.055
ˈa	ˈa	0.919
ˈaː	ˈa	0.894
ˈaː	a	0.092
ˈãː	ˈa_n	0.879
ˈãː	ˈa	0.094
ˈe	ˈe	0.606
ˈe	ˈɛ	0.278
ˈe	-	0.103
ˈeː	ˈe	0.594
ˈeː	ˈɛ	0.392
ˈẽː	ˈɛ	0.562
ˈẽː	n	0.173
ˈẽː	ŋ	0.173
ˈi	ˈi	0.517
ˈi	ˈi_r	0.267
ˈi	ˈu	0.107
ˈi	ˈi_ʎ	0.062
ˈi	ˈe	0.056
ˈiː	ˈi	1.0
ˈĩː	ˈi_n	0.477
ˈĩː	ˈe	0.203
ˈĩː	ˈi	0.203
ˈo	ˈo	0.393
ˈo	ˈɔ	0.204
ˈu	ˈo	0.769
ˈu	ˈɔ	0.178
ˈu	ˈu	0.057
ˈuː	ˈa	0.519
ˈũː	ˈo_n	0.413
ˈũː	ˈu	0.39
ˈũː	w	0.153
ˈy	ˈu	0.718
ˈy	o	0.153
ˈy	ˈe	0.105
ˈyː	ˈo	0.653
ˈyː	ˈu	0.346
ˈỹː	ˈu	0.519
ˈø	ˈɔ	0.491
ˈø	ˈɔ_k	0.381
ˈø	ˈo	0.09
ˈøː	w	0.805
ˈøː	ˈɔ	0.164
ˈɔ	ˈɔ	0.757
ˈɔ	ˈa	0.06
ˈɔ	ˈe	0.06
ˈɔ	ˈo	0.06
ˈɔ	ˈu	0.06
ˈɛ	ˈɛ	0.675
ˈɛ	ˈe	0.161
ˈɛ	ˈe_r	0.083
ˈɛ	ˈɛ_t	0.071
ˈɛ̃ː	ˈɛ	1.0
ˈˈi	e	1.0
