North Frisian	Gothic	probability
#>	#>	0.831
#>	n_#>	0.101
<#	<#	0.989
b	b	0.847
b	p	0.069
b	-	0.063
d	d	0.448
d	θ	0.434
d	t	0.071
d	ð	0.053
dʲ	θ_s	0.574
dʲ	θ	0.292
f	f	0.827
f	f_s	0.159
h	h	1.0
i	a_x	0.45
i	j	0.229
i	-	0.134
j	-	0.407
j	ɡ	0.308
j	ˈi	0.157
j	j	0.07
j_ə	ɡ	0.509
k	k	0.803
k	h	0.191
l	l	0.824
l	h_l	0.079
l	lː_s	0.062
lʲ	l	0.77
lʲ	n	0.229
m	m	0.648
m	m_s	0.325
n	n	0.633
n	nː	0.102
n	-	0.094
n	n_d	0.082
n	n_s	0.08
nʲ	n	1.0
p	p	0.654
p	p_s	0.32
r	r	0.829
r	-	0.109
r_#>	#>	0.259
s	s	0.761
s	s_w	0.087
s	u_s	0.076
s	n_s	0.05
t	t	0.641
t	t_s	0.163
t	θ	0.064
tʲ	t	1.0
v	w	0.455
v	f	0.216
v	β	0.182
v	ʍ	0.094
w	ˈiu̯	0.66
w	ɣ	0.171
x	h	1.0
z	t	0.66
z	s	0.171
ŋ	ŋ_ɡ	0.423
ŋ	ŋ	0.273
ŋ	h	0.157
ŋ	-	0.083
ə	a	0.521
ə	-	0.225
ə	oː	0.089
ə	u	0.082
ɡ	ɡ	1.0
ʃ	s_k	0.661
ʃ	k_s	0.275
ˈa	ˈa	0.486
ˈa	ˈi	0.184
ˈa	ˈɛ	0.17
ˈa	ˈɛː	0.129
ˈai̯	ˈi	0.683
ˈai̯	j	0.229
ˈaː	ˈi	0.683
ˈaː	ˈu	0.229
ˈeː	ˈa	0.274
ˈeː	ˈeː	0.203
ˈeː	ˈi	0.203
ˈeː	ˈɛ	0.203
ˈeː	ˈiː	0.092
ˈi	ˈiː	0.566
ˈi	ˈi	0.345
ˈi	ˈɛː	0.076
ˈiː	ˈɛː	0.204
ˈiː	ˈiu̯	0.193
ˈiː	ˈɔː	0.124
ˈiː	ˈɛ	0.124
ˈiː	ˈiː	0.104
ˈiː	ˈi	0.082
ˈiː	ˈoː	0.082
ˈuː	ˈɔː	0.476
ˈuː	ˈa	0.388
ˈuː	ˈuː	0.067
ˈuː	ˈɔ	0.054
ˈyː	ˈu	0.239
ˈyː	ˈuː	0.22
ˈyː	ˈɔ	0.177
ˈyː	-	0.102
ˈyː	ˈa	0.092
ˈyː	j	0.082
ˈyː	ˈɔː	0.061
ˈøː	ˈu	0.509
ˈœ	ˈa	0.344
ˈœ	ˈoː	0.336
ˈœ	ˈi	0.102
ˈœ	ˈu	0.102
ˈœ	ˈɔ	0.102
ˈɒ	ˈa	0.66
ˈɒ	ˈɛː	0.322
ˈɒː	ˈa	0.784
ˈɒː	ˈeː	0.134
ˈɔ	ˈɔ	1.0
ˈɔi̯	a	0.509
ˈɔu̯	w	0.24
ˈɔu̯	ˈoː	0.182
ˈɔu̯	ˈa	0.128
ˈɔu̯	ˈu	0.128
ˈɔu̯	ˈeː	0.122
ˈɔu̯	ˈɔː	0.122
ˈɔː	ˈa	0.292
ˈɔː	ˈu	0.229
ˈɔː	ˈi	0.199
ˈɔː	ˈɔ	0.088
ˈɔː	ˈɔː	0.088
ˈɔː	ˈɛ	0.088
ˈɛ	ˈi	0.336
ˈɛ	ˈɛ	0.171
ˈɛi̯	ˈa	0.239
ˈɛi̯	ˈi	0.239
ˈɛi̯	ˈu	0.239
ˈɛi̯	ˈeː	0.108
ˈɛi̯	ˈiu̯	0.108
ˈɛː	ˈa	0.409
ˈɛː	ˈɛː	0.092
ˈʊ	ˈu	0.395
ˈʊ	w_ˈu	0.132
ˈʊ	ˈuː	0.132
ˈʊ	ˈa	0.102
ˈʊ	ˈɛː	0.099
ˈʊ	ˈɛ	0.076
ˈʏ	ˈi	1.0
