Latin	Romansch	probability
a	ə	0.624
a	-	0.151
a	a	0.114
a	u	0.073
ae̯	ə	1.0
au̯	u	0.623
au̯	ə	0.377
aː	ə	0.714
aː	-	0.186
aː	ˈa	0.099
ãː	ə	0.823
ãː	-	0.177
b	b	0.523
b	v	0.412
d	d	0.477
d	-	0.209
d	ʥ	0.127
e	-	0.65
e	ɲ	0.325
eː	ə	0.619
eː	l	0.168
eː	-	0.118
eː	ˈe	0.095
f	f	0.984
h	-	0.534
h	n	0.466
i	-	0.744
i	i	0.139
i	j	0.057
i	ˈe	0.052
iː	-	0.712
iː	ˈɛ	0.145
iː	u	0.143
j	ʥ	1.0
k	-	0.335
k	ʨ	0.25
k	ʧ	0.15
k	k	0.136
k	ʃ	0.075
kʷ	ʨ	0.479
kʷ	ʧ	0.233
kʷ	w	0.172
kʷ	k	0.116
kː	ʨ	0.869
kː	k	0.114
l	l	0.973
lʲ	ʎ	0.949
lʲ	-	0.051
lʲː	l	0.851
lʲː	-	0.149
m	m	0.908
m	-	0.08
n	n	0.674
n	-	0.144
n	w_n	0.1
n	ɲ	0.083
nː	n	0.902
nː	m	0.098
o	o	1.0
oː	ˈa	0.406
oː	o	0.266
oː	ˈɛ	0.201
oː	u	0.089
p	p	0.709
p	v	0.174
p	-	0.117
r	r	0.941
r	-	0.052
rː	ˈɛː	1.0
s	s	0.704
s	ʃ	0.148
s	j_s	0.062
sː	s	1.0
t	t	0.442
t	-	0.206
t	d	0.183
t	ʧ	0.053
tʰ	d	1.0
tː	t	1.0
u	-	1.0
uː	-	0.596
uː	ə	0.222
uː	ˈi	0.182
w	v	0.632
w	-	0.212
w	f	0.15
ŋ	n	0.355
ŋ	-	0.326
ŋ	ŋ	0.226
ŋ	w	0.093
ɔ	u	0.345
ɔ	o	0.202
ɔ	ə	0.15
ɔ	w	0.148
ɔ	ˈɔ	0.14
ɛ	ə	0.472
ɛ	i	0.322
ɛ	-	0.098
ɛ̃	ə	1.0
ɛ̃ː	ə	0.688
ɛ̃ː	-	0.156
ɛ̃ː	ˈe	0.156
ɡ	ʃ	0.248
ɡ	-	0.227
ɡ	ɡ	0.21
ɡ	j	0.199
ɡ	ʥ	0.062
ɡ	ʨ	0.054
ɡʷ	ŋ	1.0
ɪ	-	0.354
ɪ	i	0.179
ɪ	ə	0.176
ɪ	l	0.145
ɪ	eː	0.055
ɪ	w	0.053
ɪ̃	-	1.0
ɫ	l	0.809
ɫ	-	0.139
ʊ	-	0.625
ʊ	w	0.197
ʊ	ʎ	0.111
ʊ	ə	0.067
ʊ̃ː	-	1.0
ˈa	ˈa	0.614
ˈa	ˈaː	0.149
ˈa	ˈɔ	0.14
ˈae̯	ˈi	1.0
ˈau̯	ˈa_w	0.88
ˈau̯	ˈɔ	0.12
ˈaː	ˈa	0.613
ˈaː	ˈaː	0.247
ˈaː	ˈɔ	0.088
ˈe	ˈɛ	1.0
ˈeː	ˈa	0.731
ˈeː	ˈe	0.182
ˈeː	ə	0.087
ˈi	ˈi	1.0
ˈiː	ˈi	0.715
ˈiː	ˈa	0.124
ˈiː	ˈiː	0.114
ˈĩː	ˈi	1.0
ˈo	-	0.682
ˈo	ˈɔ	0.318
ˈoː	ˈu	0.661
ˈoː	-	0.138
ˈoː	ˈuː	0.134
ˈu	ˈu	1.0
ˈuː	ˈi	0.717
ˈuː	ˈu	0.16
ˈuː	ˈiː	0.084
ˈɔ	ˈu	0.375
ˈɔ	ˈɔ	0.282
ˈɔ	ˈɔː	0.156
ˈɔ	j_ˈɛ	0.051
ˈɛ	ˈɛ	0.662
ˈɛ	j	0.095
ˈɛ	-	0.086
ˈɛ	ˈi	0.077
ˈɛ	ˈeː	0.053
ˈɛ̃ː	ˈi	1.0
ˈɪ	ˈe	0.417
ˈɪ	ˈa	0.234
ˈɪ	ˈɛ	0.158
ˈɪ	-	0.094
ˈɪ	ˈeː	0.06
ˈʊ	ˈu	0.803
ˈʊ	ˈuɔ̯	0.066
ˈʊ	ˈi	0.055
