East Frisian Low Saxon	East Frisian Low Saxon	probability
χ	χː	1.0
ˈʊə̯	ˈu	1.0
ˈɪə̯	-	1.0
ˈɛːɪ̯_#>	ˈyː_#>	1.0
ˈɛə̯	ˈæ	1.0
ˈɔː	ˈɒː	1.0
ˈɒːɒ̯	-	1.0
ˈɑːɑ̯	ˈɒ	1.0
ˈɑɪ̯	-	1.0
ˈœːy̯	ˈuə̯	1.0
ˈœy̯	ˈyə̯	1.0
ˈøːø̯	-	1.0
ˈøy̯	ˈuə̯	1.0
ˈæːɪ̯	-	1.0
ˈæː	ˈiə̯	1.0
ˈyː	ˈyː	1.0
ˈuːu̯	ˈuː	1.0
ˈiːi̯	ˈiː	1.0
ˈeːe̯	ˈæ	1.0
ʊ	ˈuə̯	1.0
ɣ̊_#>	ɡ̊_#>	1.0
ɣ̊	kː	1.0
ɡ̊	i_ɡ̊	1.0
ə	-	1.0
ɑɪ̯	æ	1.0
ŋ	ŋ	1.0
z̥_#>	z̥_#>	1.0
w	ʋ	1.0
v̥_#>	b̥_#>	1.0
t_n	sː_ə	1.0
s_k	ʃː	1.0
s_#>	χː_sː_#>	1.0
r	r	1.0
o	ˈɒ	1.0
n_d̥_#>	ŋ_#>	1.0
n_#>	#>	1.0
k_n	kː_ə	1.0
k_#>	χː_#>	1.0
j	j	1.0
h	h	1.0
f_#>	fː_#>	1.0
f	v̥	1.0
d̥_#>	#>	1.0
d_r	tː_r	1.0
d_n	tː_ə	1.0
d	tː	1.0
b	b̥	1.0
<#_t	<#_ʦ	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_d	<#_d̥	1.0
<#	<#_ɡ̊	1.0
#>	ɡ̊_#>	1.0
l	l	0.98
m	m	0.923
v	ʋ	0.92
z	z̥	0.905
ɡ	ɡ̊	0.864
ˈɑʊ̯	ˈuə̯	0.8
ˈøː	-	0.8
ˈuː	ˈuː	0.8
ˈiː	ˈiː	0.8
ˈʊ	ˈu	0.778
s	ʒ̊	0.76
ˈɪ	ˈi	0.75
ˈɛːɪ̯	ˈeː	0.75
ˈʏ	ˈy	0.667
ɐ	r	0.625
ˈɔ	ˈo	0.6
ˈɑ	ˈɒ	0.6
p	fː	0.6
d̥	tː	0.577
ˈɛ	ˈæ	0.556
ˈeː	ˈæ	0.556
ˈæɪ̯	ˈæi̯	0.529
t	tː	0.512
ˈʏə̯	ˈu	0.5
ˈʏə̯	-	0.5
ˈɒː	ˈɒː	0.5
ˈœ	ˈu	0.5
ˈœ	-	0.5
ˈoː	ˈoː	0.5
k	ɣ̊	0.467
n	ə	0.464
ˈɛ	-	0.444
ˈɑː	ˈɒ	0.444
ˈeː	-	0.444
d̥	d̥	0.423
p	p͡f	0.4
n	n	0.393
ˈɒː	ˈɒ	0.357
ˈæɪ̯	-	0.353
ˈʏ	-	0.333
ˈɑː	-	0.333
ɐ	ə_r	0.333
t	sː	0.317
ˈoː	ˈau̯	0.278
ˈɪ	-	0.25
ˈɛːɪ̯	ˈei̯	0.25
s	ʃː	0.24
k	-	0.233
ˈʊ	ˈo	0.222
ˈɑː	ˈæ	0.222
ˈoː	ˈo	0.222
ˈɔ	ˈɒ	0.2
ˈɔ	ˈu	0.2
ˈɑʊ̯	ˈyə̯	0.2
ˈɑ	ˈɒː	0.2
ˈøː	ˈøː	0.2
ˈuː	-	0.2
ˈiː	-	0.2
t	ʦ	0.171
ˈɒː	ˈoː	0.143
ɡ	-	0.136
k	χː	0.133
ˈæɪ̯	ˈy	0.118
n	n_d̥	0.107
ˈɑ	ˈø	0.1
ˈɑ	-	0.1
k	kː	0.1
z	-	0.095
v	b̥_ə	0.08
m	-	0.077
k	χː_ə	0.067
