German	Danish	probability
ˈɔʏ̯	ˈyˀ	1.0
ˈøː	ˈøː	1.0
ˈoː_t	ð̞ˠ	1.0
ˈa_ɐ	ˈɑˀ	1.0
ʁ_ə	ɐ	1.0
ʁ	ʁ	1.0
ɪ	i	1.0
ə_#>	#>	1.0
ɐ_t_#>	ɐˀ_#>	1.0
ɐ_#>	#>	1.0
ç_t	t	1.0
ç_#>	#>	1.0
z	s	1.0
x_t	t	1.0
tʰ	d̥	1.0
t_n	ð̞ˠ_ə	1.0
s_n	ð̞ˠ_ə	1.0
s_#>	s_#>	1.0
p͡f	pʰ	1.0
n_d	n	1.0
n_#>	#>	1.0
m	m	1.0
l_d̥	lˀ	1.0
l_#>	l_#>	1.0
kʰ	kʰ	1.0
d̥	ð̞ˠ	1.0
d_ɐ	ɐ	1.0
d_n	ə	1.0
b̥_#>	#>	1.0
b̥	w	1.0
b_n	w_ə	1.0
<#_ˈaɪ̯	<#_ˈeˀ	1.0
<#_n	<#_n	1.0
<#_j	<#	1.0
#>	n_#>	1.0
b	b̥	0.913
ə	ə	0.885
h	h	0.864
d	ʦʰ	0.857
ˈuː	ˈoˀ	0.778
ˈɪ	ˈe	0.765
f	f	0.76
n_d̥	nˀ	0.75
l	l	0.737
s	ð̞ˠ	0.706
ç	j	0.667
v	ʋ	0.655
ɡ	ɡ̊	0.65
ˈaʊ̯	ˈuˀ	0.636
ʦ	ʦʰ	0.615
ˈʏ	ˈœ	0.6
ˈoː	ˈœˀ	0.6
ˈeː	ˈeˀ	0.6
ɐ	ɐ	0.583
ʃ	s	0.577
n	n	0.562
ˈiː	ˈyˀ	0.556
k	k	0.556
t	t	0.522
ˈʊ	ˈɔ	0.5
ˈɛ	ˈɛ	0.5
ɡ̊	w	0.5
ɡ̊	j	0.5
ŋ	ŋˀ	0.5
x	w	0.5
x	j	0.5
f_#>	b̥_#>	0.5
f_#>	#>	0.5
t	ð̞ˠ	0.478
ˈɔ	ˈu	0.455
ˈiː	ˈyː	0.444
k	ɡ̊	0.444
ʃ	s_k	0.423
ˈʏ	ˈø	0.4
ˈoː	ˈɔː	0.4
ˈeː	ˈɔˀ	0.4
ˈaː	ˈɔˀ	0.385
ʦ	t	0.385
ˈɔ	ˈo	0.364
ˈa	ˈa	0.36
v	-	0.345
ˈɛ	ˈe	0.333
ç	k	0.333
ˈaɪ̯	ˈiˀ	0.318
ˈaː	ˈa	0.308
ˈʊ	-	0.3
ŋ	ŋ	0.3
s	s	0.294
n	ə	0.292
ˈaɪ̯	ˈeˀ	0.273
l	lˀ	0.263
n_d̥	n_ə	0.25
ˈa	ˈɛ	0.24
ˈuː	ˈøː	0.222
ˈʊ	ˈu	0.2
ˈa	ˈɑ	0.2
ŋ	-	0.2
ɐ	ɐˀ	0.194
ˈɔ	ˈʌ	0.182
ˈaʊ̯	ˈʌ	0.182
ˈaʊ̯	ˈœˀ	0.182
ˈɛ	j	0.167
ɐ	ʌ	0.167
ˈaː	ˈɛː	0.154
ˈaː	-	0.154
ɡ	w	0.15
n	nˀ	0.146
d	-	0.143
ˈaɪ̯	ˈiː	0.136
h	j	0.136
ˈa	ˈʌ	0.12
f	p	0.12
f	b̥	0.12
ˈɪ	ˈi	0.118
ˈɪ	j	0.118
ə	ɐ	0.115
ɡ	jˀ	0.1
ɡ	-	0.1
ˈaɪ̯	ˈɛˀ	0.091
ˈaɪ̯	ˈɛ	0.091
ˈaɪ̯	ˈɑ	0.091
b	w	0.087
ˈa	ˈɔˀ	0.08
ɐ	-	0.056
