Afrikaans	Swabian	probability
b	b	0.98
d	d	1.0
f	f	0.791
f	b	0.209
i	eə̯	0.694
i	ʌ	0.306
j	j	0.493
j	a	0.17
j	ˈiː	0.169
j	-	0.168
k	kʰ	0.344
k	-	0.205
k	ɡ	0.165
k	x	0.147
k	ç	0.139
m	m	1.0
n	n	0.617
n	-	0.19
n	a	0.106
n	ɡ_a	0.067
p	f	0.786
p	b̥͡f	0.144
p	b	0.07
r	ʁ	0.4
r	ʕ	0.32
r	ʌ	0.125
r	-	0.079
r	d_ʌ	0.075
s	s	0.493
s	ʃ	0.441
t	d	0.376
t	s	0.29
t	ʦ	0.173
t	l_d	0.064
t	-	0.064
v	ʋ	0.903
v	b	0.073
w	ʋ	0.849
w	-	0.151
ŋ	ŋ	0.891
ŋ	ɡ	0.109
ə	ʌ	0.666
ə	a	0.096
ə	i	0.091
ə	n	0.058
ɦ	h	1.0
ɫ	l	0.978
ˈa	ˈa	0.578
ˈa	ˈaː	0.184
ˈa	ˈɛ	0.111
ˈa	ˈɔː	0.06
ˈi	ˈeː	0.264
ˈi	ˈiə̯	0.256
ˈi	ˈae̯	0.149
ˈi	ˈiː	0.118
ˈi	ˈi	0.113
ˈi	ˈəi̯	0.053
ˈoːɪ̯	ˈoː	1.0
ˈu	ˈuə̯	0.636
ˈu	ˈeə̯	0.097
ˈu	ˈiə̯	0.094
ˈu	ˈu	0.062
ˈu	ˈuː	0.062
ˈyː	ˈəi̯	0.602
ˈyː	ˈao̯	0.398
ˈæ	ˈɛ	0.529
ˈæ	ˈʌ	0.26
ˈæ	ˈi	0.112
ˈæ	ˈɛː	0.099
ˈæː	ˈɛ	0.31
ˈæː	ˈʌ	0.31
ˈæː	-	0.19
ˈæː	ˈa	0.19
ˈœ	ˈu	0.818
ˈœ	ˈɛ	0.182
ˈœu̯	ˈa	0.518
ˈœu̯	ˈao̯	0.395
ˈœu̯	ˈo	0.087
ˈœɪ̯	ˈao̯	0.818
ˈœɪ̯	ˈae̯	0.132
ˈœɪ̯	ˈəi̯	0.051
ˈɑː	ˈɔː	0.301
ˈɑː	ˈa	0.221
ˈɑː	ˈɛ	0.112
ˈɑː	ˈaː	0.096
ˈɑː	ˈoː	0.089
ˈɑː	ˈɛː	0.089
ˈɑː	ˈo	0.068
ˈɔ	ˈo	0.643
ˈɔ	ˈɔ	0.169
ˈɔ	ˈao̯	0.07
ˈɔ	ˈɔə̯	0.069
ˈɔː	ˈu	0.846
ˈɔː	ˈaː	0.154
ˈə	ˈɪ	0.306
ˈə	ˈe	0.281
ˈə	ˈi	0.233
ˈə	ˈeː	0.123
ˈə	ˈəi̯	0.058
ˈəɪ̯	ˈəi̯	0.427
ˈəɪ̯	ˈɔe̯	0.297
ˈəɪ̯	ˈae̯	0.104
ˈəɪ̯	-	0.076
ˈəɪ̯	ˈi	0.061
ˈɛ	ˈe	0.378
ˈɛ	ˈɛ	0.354
ˈɛ	ˈɪ	0.21
ˈɛ	ˈeː	0.059
ˈɛː	ˈa	0.53
ˈɛː	ˈaː	0.3
ˈɛː	ˈiː	0.17
ˈɪ	ˈa	0.714
ˈɪ	ˈi	0.286
ˈɪø̯	ˈoː	0.635
ˈɪø̯	ˈu	0.19
ˈɪø̯	ˈɔː	0.175
ˈɪə̯	ˈɛː	0.318
ˈɪə̯	ˈɔe̯	0.297
ˈɪə̯	ˈɛ	0.13
ˈɪə̯	ˈae̯	0.068
ˈɪə̯	ˈeː	0.066
ˈʊə̯	ˈoː	0.205
ˈʊə̯	ˈeː	0.187
ˈʊə̯	ˈao̯	0.154
ˈʊə̯	ˈo	0.136
ˈʊə̯	ˈae̯	0.136
ˈʊə̯	ˈɔ	0.125
ˈʊə̯	ˈi	0.057
χ	ɡ	0.835
χ	x	0.116
