American English	Faroese	probability
b	b̥	0.953
d	d̥	0.492
d	-	0.423
f	f	0.763
f	v	0.109
f	l_v	0.059
f	-	0.057
h	h	0.893
h	j	0.092
i	a	0.322
i	-	0.26
i	ɛ	0.26
i	ʊ	0.158
j	-	0.535
j	ˈuː	0.296
j	tʰ	0.14
k	k	0.479
k	ʰkː	0.129
k	ʰk	0.112
k	ʰʧ	0.112
k	ʧ	0.087
k	ɡ̊	0.052
kʰ	kʰ	1.0
l	l	0.916
l	-	0.064
m	m	0.884
m	w	0.061
n	n	0.654
n	nː	0.1
n	-	0.074
n	n̥	0.071
oʊ̯	a	0.675
oʊ̯	ʊ	0.325
p	p	0.377
p	ʰp	0.304
p	ɹ	0.168
p	v	0.109
s	s	0.865
s	ʃ	0.122
t	t	0.789
t	ʰt	0.077
t	-	0.07
t	ʰtː	0.064
tʰ	tʰ	0.939
tʰ	ʧʰ	0.061
tː	ʰtː	1.0
v	v	0.587
v	m	0.239
v	-	0.103
v	f	0.072
w	v	0.59
w	-	0.199
w	kʰ_v	0.092
z	s	1.0
ð	w	0.446
ð	v	0.204
ð	j	0.157
ð	nː	0.105
ð	tʰ	0.088
ŋ	ŋ	0.857
ŋ	ɲ	0.143
ə	-	0.821
ə	a	0.077
ə	ʊ	0.073
ɚ	ɹ	0.392
ɚ	ɹ_ʊ	0.183
ɚ	ʊ	0.166
ɚ	ɪ	0.16
ɡ	ɡ̊	0.981
ɪ	ɪ	1.0
ɫ	l	0.532
ɫ	ɡ̊_l	0.167
ɫ	t_l̥	0.16
ɫ	l̥	0.141
ɹ	ɹ	0.86
ɹ	-	0.091
ɾ	ʰt	0.644
ɾ	ʰtː	0.356
ʃ	ʃ	0.544
ʃ	s	0.281
ʃ	f	0.175
ʔ	t	0.602
ʔ	ʰtː	0.181
ʔ	ʰt	0.169
ʤ	ɡ̊ː	0.635
ʤ	ʤ̊ː	0.365
ʧ	ʧʰ	0.524
ʧ	k	0.349
ʧ	ʧ	0.097
ˈaɪ̯	ˈʊ̯iː	0.343
ˈaɪ̯	ˈɪ	0.339
ˈaɪ̯	ˈeː	0.09
ˈaɪ̯	-	0.07
ˈaʊ̯	ˈʉːu̯	0.53
ˈaʊ̯	ˈʊ	0.316
ˈaʊ̯	ˈɪ	0.154
ˈeɪ̯	ˈa	0.348
ˈeɪ̯	ˈɛːa̯	0.337
ˈeɪ̯	ˈɛ	0.167
ˈeɪ̯	ˈiː	0.077
ˈi	ˈɛːa̯	0.172
ˈi	ˈøː	0.162
ˈi	ˈɔ̯aː	0.11
ˈi	ˈʊ̯iː	0.109
ˈi	ˈɔːi̯	0.106
ˈi	ˈoː	0.071
ˈi	ˈɛːi̯	0.058
ˈi	ˈeː	0.055
ˈoʊ̯	ˈai̯	0.3
ˈoʊ̯	ˈɔ̯aː	0.199
ˈoʊ̯	ˈaːi̯	0.116
ˈoʊ̯	ˈɛ	0.105
ˈoʊ̯	ˈœ	0.067
ˈoʊ̯	ˈʊ	0.067
ˈoʊ̯	ˈiː	0.052
ˈu	ˈɔːu̯	0.285
ˈu	ˈɔ̯aː	0.167
ˈu	ˈɛːa̯	0.142
ˈu	ˈɔ	0.092
ˈu	ˈɛːi̯	0.071
ˈu	ˈɪ	0.071
ˈu	ˈʊ	0.067
ˈu	ˈœ	0.059
ˈæ	ˈɛːa̯	0.348
ˈæ	ˈa	0.325
ˈæ	ˈɔ	0.238
ˈæ	ˈœ	0.079
ˈɑ	ˈa	0.475
ˈɑ	j	0.123
ˈɑ	ˈœ	0.123
ˈɑ	ˈɛ	0.07
ˈɔ	ˈɔ	0.304
ˈɔ	ˈa	0.213
ˈɔ	ˈiː	0.122
ˈɔ	ˈoː	0.093
ˈɔ	ˈøː	0.091
ˈɔ	ˈʊ̯iː	0.091
ˈɔ	ˈœ	0.084
ˈɛ	ˈɛ	0.155
ˈɛ	ˈɛːi̯	0.12
ˈɛ	ˈeː	0.101
ˈɛ	ˈɔ	0.093
ˈɛ	ˈøː	0.075
ˈɛ	ˈa	0.073
ˈɛ	ˈɔ̯aː	0.073
ˈɛ	ˈʊ	0.071
ˈɛ	ˈœ	0.059
ˈɛ	w	0.053
ˈɝ	ˈɔ	0.35
ˈɝ	ɹ	0.243
ˈɝ	ˈɪ	0.243
ˈɝ	ˈɛ	0.084
ˈɝ	-	0.08
ˈɪ	ˈɪ	0.475
ˈɪ	ˈiː	0.106
ˈɪ	ˈɛ	0.084
ˈɪ	ˈʊ̯iː	0.067
ˈɪ	ˈʊ	0.063
ˈɪ	ˈʏ	0.056
ˈɪ	ˈeː	0.051
ˈɪ	ˈɔ	0.051
ˈʊ	ˈɔːu̯	0.539
ˈʊ	ˈʊ	0.303
ˈʊ	ˈʏ	0.158
ˈʌ	ˈʊ	0.507
ˈʌ	ˈɔ	0.112
ˈʌ	-	0.066
ˈʌ	ˈuː	0.066
ˈʌ	ˈoː	0.05
ˈʌ	ˈɔ̯aː	0.05
ˈʌɪ̯	ˈɔ	0.303
ˈʌɪ̯	ˈʊ̯iː	0.297
ˈʌɪ̯	ˈa	0.2
ˈʌɪ̯	ˈɛːa̯	0.2
θ	tʰ	0.436
θ	nː	0.155
θ	ʧʰ	0.145
θ	j	0.137
θ	-	0.101
