Québécois French	Québécois French	probability
ʦ	t	1.0
ʣ	d	1.0
ʏ	ˈu	1.0
ʊ	ˈo	1.0
ɲ	ɲ	1.0
ɥ	ˈu	1.0
ɛɪ̯	ˈe_s	1.0
ɑ	-	1.0
œ̃ʏ̯̃	ˈu_n	1.0
øʏ̯	u	1.0
z	θ	1.0
y	ˈu	1.0
t_#>	t_a_#>	1.0
o	ˈe_s	1.0
m	m	1.0
k_l	ʎ	1.0
j_#>	ʝ_a_#>	1.0
i_ʁ	ˈi_ɾ	1.0
aœ̯	ˈo	1.0
<#_ʁ	<#_r	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_l	<#_ʎ	1.0
p	p	0.923
f	f	0.875
ʒ	ʃ	0.818
ɪ	ˈi	0.8
k	k	0.789
ʁ	ɾ	0.726
w_ɛ	ˈe	0.714
b	b	0.714
l	l	0.667
i	ˈe	0.636
ɔ	ˈo	0.625
t	t	0.615
ɛ_#>	θ_#>	0.6
ɑɔ̯	w	0.6
v	b	0.6
<#	<#_ɡ	0.6
a	a	0.588
ɛ	ˈe	0.571
ɡ	ɡ	0.556
s	θ	0.526
n	n_a	0.526
ʃ	k	0.524
<#_e	<#_e_s	0.5
u	ˈo	0.471
œ	e	0.467
e	ˈa_ɾ	0.458
ɒ̃ʊ̯̃	ˈo_n	0.455
ɡ	ɣ	0.444
oʊ̯	ˈa_l	0.444
d	d	0.417
a	ˈa	0.412
#>	u_#>	0.404
ɛ_#>	j_#>	0.4
ɑɔ̯	o	0.4
w	ˈe	0.4
<#	<#_ɡ_w	0.4
ã	ˈe_n	0.389
ʃ	k_a	0.381
ɔ	o	0.375
n	n	0.368
ɒ̃ʊ̯̃	ˈo_ŋ	0.364
i	ˈi	0.364
oʊ̯	ˈo	0.333
l	ʎ	0.333
d	-	0.333
v	β	0.32
æɛ̯	ˈa	0.306
w_ɛ	e	0.286
b	β	0.286
ã	n	0.278
œ	w	0.267
s	s	0.263
j	j	0.25
j	-	0.25
d	ð	0.25
<#_e	<#_e	0.25
<#_e	<#	0.25
u	o	0.235
ẽɪ̯̃	ŋ	0.235
t	s_t	0.231
#>	e_#>	0.228
#>	a_#>	0.228
æɛ̯	ˈe	0.222
oʊ̯	ʎ_u	0.222
k	k_w	0.211
ɪ	j	0.2
ɛ	ˈa	0.19
j	ʝ_u	0.188
j	j_ˈe	0.188
ʒ	-	0.182
ɒ̃ʊ̯̃	n	0.182
u	-	0.176
ẽɪ̯̃	ˈi_ŋ	0.176
ẽɪ̯̃	ˈa_n	0.176
ẽɪ̯̃	n_u	0.176
e	ɾ	0.167
e	-	0.167
t	θ_ˈe	0.154
w	e	0.15
w	-	0.15
ɛ	a	0.143
ʁ	ˈe_ɾ	0.137
œ	w_ˈe	0.133
œ	-	0.133
j	ˈe	0.125
f	ˈe_β	0.125
e	ˈa_ð	0.125
u	w_ˈe	0.118
ẽɪ̯̃	ɲ_u	0.118
ẽɪ̯̃	t_u	0.118
æɛ̯	j_ˈe	0.111
æɛ̯	a	0.111
ã	ˈe	0.111
ã	ˈa_ŋ	0.111
ã	ˈa	0.111
s	ʃ	0.105
s	-	0.105
n	ɲ	0.105
w	ˈu_n	0.1
w	ˈu	0.1
w	ˈe_ɣ	0.1
ʃ	k_ˈa	0.095
ɛ	u	0.095
æɛ̯	e	0.083
e	ˈa	0.083
v	b_j	0.08
p	-	0.077
ʁ	ɾ_a	0.068
æɛ̯	ˈa_ð	0.056
æɛ̯	a_ʝ	0.056
æɛ̯	-	0.056
#>	s_#>	0.053
