Aragonese	Aragonese	probability
θ_j	s	1.0
ˈo_ɾ	ˈɔː	1.0
ˈi_ɾ	ˈiː	1.0
ˈe_ɾ	e	1.0
ˈe_s	s	1.0
ˈe_l	ˈeː	1.0
ˈa_ɾ	ˈaː	1.0
ˈa_s	ˈaː_z	1.0
ˈa_l	ˈaː	1.0
ʃ	ʃ	1.0
ɾ_ˈa	r_ˈa	1.0
ɾ_n	r_n	1.0
ɾ_e	e	1.0
ɾ_a	j_a	1.0
ɾ_#>	#>	1.0
ɣ	ɡ	1.0
ŋ_k	ŋ_k	1.0
ð_ˈa	ɥ	1.0
z	s_w	1.0
w_#>	e_#>	1.0
u_s	j	1.0
u	-	1.0
t_#>	#>	1.0
t	t	1.0
s_#>	j_#>	1.0
r	r	1.0
p_l	ʧ	1.0
o_s	i	1.0
o_#>	#>	1.0
n_#>	ŋ_#>	1.0
m_b	m	1.0
l_a	a	1.0
l_#>	#>	1.0
k_l	ʧ	1.0
k	k	1.0
j_t	t	1.0
f_l	ʃ	1.0
f	f	1.0
e_s	s	1.0
e_m	y	1.0
e_l	j	1.0
d	d	1.0
a_ɾ	ˈɛ	1.0
a_#>	#>	1.0
<#_ˈa	<#_ˈɛː	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_b	<#_ʒ	1.0
<#_a	<#_a	1.0
<#	<#_l	1.0
p	p	0.939
m	m	0.923
s	s	0.92
a	a	0.907
o	u	0.892
n	ŋ	0.853
ˈe_n	ŋ	0.75
ʧ	z	0.714
ɲ	ɲ	0.714
#>	e_#>	0.692
β	v	0.684
ɾ	r	0.684
ɾ_o	r_u	0.667
ŋ	ŋ	0.667
b	v	0.667
ˈa	ˈa	0.636
e	e	0.586
ˈi	ˈi	0.577
ʝ	-	0.571
ʎ	ʤ	0.56
i	-	0.556
ð	-	0.55
θ	s	0.5
ˈe_j	ˈɛ	0.5
ˈe_j	ˈeː	0.5
j_ˈe	ˈe	0.471
j	-	0.467
i	i	0.444
ˈo	ˈu	0.44
θ	ʒ	0.409
w_ˈe	ˈøː	0.4
l	-	0.4
ˈe	ˈe	0.39
ɡ	ɡ	0.375
ɡ	-	0.375
ʎ	l	0.36
ɾ_o	u	0.333
ŋ	-	0.333
l	l	0.333
b	b	0.333
#>	u_#>	0.308
w_ˈe	ˈɔː	0.3
w_ˈe	ˈø	0.3
w	ˈu	0.294
j_ˈe	ˈeː	0.294
ʧ	ʤ	0.286
ʝ	ˈe_d	0.286
ɲ	n	0.286
ˈu	ˈyː	0.259
ˈe_n	ŋ_t	0.25
ˈa	ˈaː	0.25
ɡ	k	0.25
ˈo	ˈuː	0.24
w	w	0.235
j_ˈe	ˈɛː	0.235
ˈi	ˈiː	0.231
ˈu	ˈy	0.222
ˈu	ˈu	0.222
ˈe	ˈeː	0.22
e	-	0.207
ˈo	-	0.2
ð	t	0.2
ˈi	-	0.192
ˈu	-	0.185
w	ˈɔ	0.176
w	-	0.176
β	b	0.158
β	-	0.158
ð	d	0.15
n	n	0.147
ˈe	-	0.146
ʝ	sː	0.143
e	i	0.138
l	ˈuː	0.133
l	j	0.133
j	ˈɛː	0.133
j	ˈɛ	0.133
j	ˈe	0.133
j	t_e	0.133
ˈo	ˈɔː	0.12
w	ˈøː	0.118
ˈu	ˈø	0.111
ɾ	j	0.105
ɾ	e	0.105
ð	ʤ	0.1
θ	-	0.091
ʎ	-	0.08
s	-	0.08
m	ŋ	0.077
ˈe	ˈɛː	0.073
ˈe	j	0.073
e	j	0.069
ˈa	ˈɛː	0.068
a	-	0.067
p	-	0.061
o	w	0.054
o	-	0.054
ɾ	ˈaː	0.053
ɾ	-	0.053
