Ladin	Ladin	probability
ˈɛ_n	ˈe_ŋ	1.0
ˈɛ_k	ɡ_o	1.0
ˈɛ_f	v	1.0
ˈu	ˈu	1.0
ˈo_w	ˈo	1.0
ˈo_s	ˈu	1.0
ˈi_#>	ˈi_r_#>	1.0
ˈi	ˈi	1.0
ˈe_n	ˈe_n	1.0
ˈe_j	ˈe	1.0
ˈe_#>	ˈa_r_#>	1.0
ˈa_t	ˈa_t	1.0
ˈa	ˈa	1.0
ʧ	s	1.0
ʤ	z	1.0
ʒ	z	1.0
ʃ_#>	z_e_#>	1.0
ɲ	ɲ	1.0
ŋ	ŋ	1.0
z	z	1.0
w_ˈɛ	ˈɔ	1.0
v	v	1.0
r_n	r_n	1.0
r_a	r_a	1.0
p_#>	p_o_#>	1.0
p	p	1.0
o	o	1.0
n_#>	ŋ_#>	1.0
m_#>	m_e_#>	1.0
l_ˈo	ɰ	1.0
l_ˈa	j_ˈa	1.0
l_a	a	1.0
l_#>	l_#>	1.0
k_r	k_r	1.0
j_#>	r_#>	1.0
i	i	1.0
e_r	r_o	1.0
e_n	e_n	1.0
d_l	ʧ_o	1.0
d_a	a	1.0
b	b	1.0
a_d	a	1.0
a	a	1.0
<#_ˈɔ	<#_ˈɔ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_a	<#_a	1.0
r	r	0.951
k	k	0.92
s	s	0.903
ˈo	ˈo	0.9
m	m	0.889
t	t	0.868
f	f	0.864
ʃ	s	0.857
d	d	0.833
ʨ	k	0.75
ɡ	ɡ	0.75
ˈe	ˈe	0.72
ˈɛ_l	ˈɛ_o	0.714
ˈɔ	ˈɔ	0.714
#>	o_#>	0.688
ʥ	-	0.6
ʦ	s	0.571
n	n	0.571
w	ˈo	0.533
j	j	0.522
e	e	0.517
<#_l	<#_ɰ	0.5
<#_l	<#	0.5
<#	<#_ɡ	0.5
<#	<#_v	0.5
ˈɛ	ˈɛ	0.436
ʦ	z	0.429
n	ŋ	0.429
l	ɰ	0.407
ʥ	z	0.4
ˈɛ	ˈa	0.333
j	-	0.304
ˈɛ_l	ˈɛ	0.286
ˈɔ	ˈo	0.286
w	ˈɔ	0.267
#>	e_#>	0.26
ʨ	s	0.25
ɡ	ʤ	0.25
l	l	0.222
e	e_r	0.207
ˈe	-	0.2
w	l	0.2
l	j	0.185
e	o	0.172
d	-	0.167
ʃ	z	0.143
f	v	0.136
ˈɛ	ˈe	0.128
m	ŋ	0.111
l	o	0.111
e	a	0.103
ˈo	v	0.1
s	z	0.097
j	ˈɛ	0.087
j	o	0.087
ˈe	ˈa	0.08
k	ɡ_o	0.08
t	d_o	0.079
l	-	0.074
t	s	0.053
#>	a_#>	0.052
ˈɛ	o	0.051
ˈɛ	-	0.051
