Romagnol	Romagnol	probability
ˈɛ̃	ˈɛ	1.0
ˈɛ_n	ˈɛ_n	1.0
ˈɔə̯_v	ˈo_u	1.0
ˈɔə̯_r	ɾ_ˈo	1.0
ˈou̯_n	ˈu_n	1.0
ˈeə̯_#>	ˈa_i_#>	1.0
ˈeə̯	ˈa	1.0
ˈe	ˈi	1.0
ˈa	ˈa	1.0
ʤ	ʤ	1.0
ɲ	n_ʤ	1.0
ɐ_r	ɾ	1.0
ɐ_n	a_n	1.0
ŋ	ŋ	1.0
ð	ʤ	1.0
w	t_ˈu	1.0
t_#>	t_u_#>	1.0
r_i	ŭ	1.0
r_#>	#>	1.0
p	p	1.0
o	u_z	1.0
n_ɐ	n_a	1.0
n_#>	#>	1.0
m	m	1.0
l_ˈɛ	l_ˈi	1.0
l_#>	#>	1.0
k_ˈu	k_ˈu	1.0
k	k	1.0
j̃	n_i	1.0
j_ˈeː	z_ˈa	1.0
j_ˈeə̯_t	z	1.0
i	i	1.0
f	f	1.0
e	r	1.0
a	a	1.0
<#_ˈʌ̃	<#_ˈa	1.0
<#_ˈɔ	<#_ˈo	1.0
<#_ˈeə̯	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#	1.0
<#	<#_a	1.0
s	s	0.872
n	n	0.857
z	ʒ	0.8
t	t	0.781
b	b	0.75
ˈʌ̃	ˈa	0.688
ˈo	ˈu	0.667
ʧ	ɣ	0.667
r	ɾ	0.661
ɐ	a	0.655
ˈõũ̯	n	0.625
ˈẽ	ˈi	0.556
ˈɔ	ˈɔ	0.545
j	-	0.533
ɡ	ɣ	0.529
v	b	0.514
θ	ʧ	0.5
ˈɔə̯	ˈɔ	0.5
ˈu	ˈu	0.5
ˈu	ˈo	0.5
ˈou̯	ˈɔ	0.5
ˈou̯	ˈu	0.5
d	d	0.5
#>	u_#>	0.5
ɡ	ɡ	0.471
ˈɛə̯	ˈɛ	0.467
l	l	0.455
ˈẽ	ˈɛ	0.444
ˈɛ	ˈi	0.409
ˈɛə̯	ˈe	0.4
ˈi	ˈi	0.4
ˈõũ̯	ˈo_n	0.375
#>	i_#>	0.349
ˈeː	ˈɛ	0.333
ʧ	k_ɾ	0.333
u	u	0.333
ˈʌ̃	ˈa_n	0.312
ˈɔ	ˈu	0.273
d	ð	0.269
u	o	0.267
j	ɾ	0.267
ˈeː	ˈi_ɾ	0.25
ˈeː	ˈi	0.25
b	-	0.25
l	ɖː	0.242
d	-	0.231
v	-	0.229
ˈɛ	ˈɛ	0.227
ˈɛ	ˈe	0.227
r	r	0.203
ɐ	i	0.202
ˈi	i	0.2
z	-	0.2
u	ˈɔ	0.2
u	ɔ	0.2
j	j	0.2
ˈo	ˈɔ	0.19
ˈɔ	ˈo	0.182
ˈɔə̯	ˈo	0.167
ˈɔə̯	u	0.167
ˈɔə̯	-	0.167
ˈeː	ˈe	0.167
ˈi	ˈɛ	0.16
t	ð	0.156
l	ɭː	0.152
l	-	0.152
ˈo	ˈo	0.143
v	w	0.143
n	-	0.143
ˈɛ	-	0.136
ˈɛə̯	-	0.133
s	ʃ	0.128
θ	ʦ	0.125
θ	t	0.125
θ	k	0.125
θ	-	0.125
ˈi	ˈi_ɾ	0.12
ˈi	ɾ	0.12
v	β	0.114
ɐ	u	0.095
r	-	0.068
t	ʦ	0.062
