Auvergnat	Provençal	probability
ˈɪ̃	ˈẽ	1.0
ˈɪ	ˈe	1.0
ˈɛ	ˈɛ	1.0
ˈỹ	ˈỹ	1.0
ˈy	ˈy	1.0
ˈũ	ˈũ	1.0
ˈĩ	ˈĩ	1.0
ˈi	ˈi	1.0
ˈẽ	ˈẽ	1.0
ˈe_ʀ	ˈɛ_ʀ	1.0
ˈe_j	ˈa_j	1.0
ˈa_s	ˈa_s	1.0
ˈa_l	ˈɛ_w	1.0
ʧ_ɔ	k_ɔ	1.0
ʒ	z	1.0
ʎ_ɔ	j_ɔ	1.0
ʃ	s	1.0
ʀ_ˈa	ɾ_ˈa	1.0
ʀ_ɔ	ɾ_ɔ	1.0
ɲ	ɲ	1.0
ɪ	e_s	1.0
ɥ	ɥ	1.0
ɡʲ	ɡ	1.0
ɡ	ɡ	1.0
ɔ	ɔ	1.0
ŋ	ŋ	1.0
z	z	1.0
y	y	1.0
w_ˈẽ	ˈũ	1.0
w_ʀ	w_ɾ	1.0
vʲ	v	1.0
v	v	1.0
ũ	ũ	1.0
u	u	1.0
s_ˈɪ	s_ˈe	1.0
s_ɔ	s_ɔ	1.0
pʲ	-	1.0
p	p	1.0
mʲ	m	1.0
lː	lː	1.0
l	l	1.0
k_ʀ	k_ɾ	1.0
k	k	1.0
ĩ	ĩ	1.0
i	i	1.0
fʲ	f	1.0
f	f	1.0
e	e	1.0
dʲ	d	1.0
d	d	1.0
b	b	1.0
ã	ã	1.0
a	a	1.0
m	m	0.967
s	s	0.952
ˈa	ˈa	0.939
w	w	0.938
ə	e	0.928
ˈu	ˈu	0.903
ˈã	ˈã	0.875
n	n	0.868
t	t	0.856
j	j	0.832
ʀ	ɾ	0.813
ɒ	a	0.8
ˈɔ	ˈe	0.724
ˈɔ̃	ˈẽ	0.667
ʤ	ʤ	0.657
ˈe	ˈɛ	0.649
ʧ	k	0.624
ˈœ	ɥ	0.621
ʎ	l	0.443
ˈœ	ɥ_ˈe	0.379
ˈɔ̃	-	0.333
ʎ	ˈe_j	0.316
ɒ	e	0.2
ʀ	ʀ	0.187
ˈe	ˈe	0.183
ʤ	ɡ	0.175
ʎ	j	0.17
ʤ	-	0.168
ʧ	ʤ	0.166
ˈɔ	ˈɔ	0.153
ʧ	t	0.149
j	ˈe_ʧ	0.134
n	-	0.132
ˈe	j	0.126
ˈã	ˈa	0.125
ˈu	-	0.097
t	t_ɾ	0.079
ˈɔ	-	0.074
ə	-	0.072
ʎ	ɡ_l	0.071
t	-	0.065
ʧ	s	0.062
ˈa	ˈe	0.061
