Galician	Galician	probability
θ_#>	s_#>	1.0
β_ɪ	w	1.0
ˈɑ	ˈã	1.0
ˈo_ɾ	l_ˈu	1.0
ˈo_ð	ˈu	1.0
ˈi_ɾ_#>	ˈi_#>	1.0
ˈe_ɾ	ɾ_e	1.0
ˈa_ɾ_#>	ˈa_#>	1.0
ˈa_#>	ˈa_n_ɔ_#>	1.0
ɾ_ˈa	ɾ_ˈa	1.0
ɾ_ʊ	ɾ_e	1.0
ɾ_ɐ	ɾ_ɔ	1.0
ɾ_t	ˈe_ʀ	1.0
ɾ_n	ʀ	1.0
ɲ_ʊ	ŋ	1.0
ɪ_#>	#>	1.0
ɣ_ʊ	k	1.0
ɟ_ʊ	j	1.0
ɟ	j	1.0
ɔ	-	1.0
ɑ	ã	1.0
ŋ	ŋ	1.0
w_ˈa	ˈa	1.0
v	v	1.0
t_ʊ_#>	#>	1.0
t	t	1.0
s_ˈe	s_ˈe	1.0
s_ʊ	ˈe_s	1.0
s_k	s_k	1.0
s_#>	#>	1.0
p_ˈe	p_ˈe	1.0
o_s	e	1.0
n_t	ŋ	1.0
l_ʊ	w	1.0
l_#>	w_#>	1.0
k_ˈɑ	k_ˈa	1.0
k_ʊ_#>	k_#>	1.0
k	k	1.0
j_t	ˈe_ʧ	1.0
f	f	1.0
<#_θ	<#_s	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʃ	<#_ʤ	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_e	<#_e	1.0
<#_a	<#_a	1.0
<#	<#_a	1.0
ʊ_#>	#>	0.939
ɐ	ɔ	0.938
p	p	0.931
m	m	0.906
ɪ	e	0.846
ˈɛ	ˈɛ	0.84
ɣ	ɡ	0.8
d	d	0.8
ɡ	ɡ	0.75
ˈa	ˈa	0.714
n	ŋ	0.696
w	w	0.692
s	s	0.684
ʧ	p_l	0.667
ɾ_ʊ_#>	#>	0.667
#>	e_#>	0.667
u	u	0.6
r	ɾ	0.6
a	a	0.591
ð	d	0.579
e	e	0.579
ɾ	ɾ	0.578
ˈi	ˈi	0.571
ɾ_#>	#>	0.571
b	v	0.571
β	b	0.565
l	l	0.562
ʃ	ʤ	0.556
ɲ	ɲ	0.538
o	u	0.529
θ	s	0.5
i	-	0.5
ɾ_#>	ˈi_#>	0.429
b	b	0.429
ð	-	0.421
ˈɔ	w_ˈe	0.407
ˈu	ˈy	0.4
u	-	0.4
r	ʀ	0.4
j	-	0.4
i	e	0.375
ʊ	e	0.364
ˈɔ	w	0.333
ʧ	k_l	0.333
ɾ_ʊ_#>	ʀ_#>	0.333
j	j	0.333
ˈe	ˈe	0.318
ɲ	n	0.308
w	-	0.308
θ	z	0.286
ˈo	ˈu	0.286
ʊ	w	0.273
j	ˈe	0.267
ɡ	k	0.25
l	w	0.25
ɾ	ʀ	0.244
ˈa	ˈã	0.229
ʃ	s	0.222
ʃ	j_s	0.222
θ	-	0.214
e	i	0.211
ˈu	ˈỹ	0.2
ˈu	ˈũ	0.2
ˈu	ˈu	0.2
ɣ	ˈe_k	0.2
d	-	0.2
#>	w_#>	0.2
l	-	0.188
ʊ	ˈe_w	0.182
ʊ	ʀ	0.182
a	-	0.182
ˈi	ˈĩ	0.179
ˈi	-	0.179
o	w	0.176
β	v	0.174
β	-	0.174
n	n	0.174
ˈo	w	0.167
ˈe	ˈẽ	0.159
ˈe	j	0.159
s	z	0.158
s	-	0.158
ɲ	ŋ	0.154
ɪ	w	0.154
ˈɔ	ˈu	0.148
ˈo	ˈa	0.143
ˈe	ˈɛ	0.136
a	ˈa	0.136
#>	j_#>	0.133
n	-	0.13
i	ĩ	0.125
ˈo	ɥ	0.119
o	ˈũ	0.118
o	-	0.118
ˈɔ	ˈɔ	0.111
e	ẽ	0.105
e	-	0.105
ˈo	ˈũ	0.095
a	ɔ	0.091
β	w	0.087
ˈɛ	ˈẽ	0.08
ˈɛ	ˈe	0.08
ˈo	ɥ_ˈe	0.071
ˈo	w_ˈẽ	0.071
ˈi	ˈẽ	0.071
p	-	0.069
ˈe	j_ˈe	0.068
ˈe	-	0.068
ɐ	n_ɔ	0.062
m	-	0.062
ʊ_#>	j_#>	0.061
o	ũ	0.059
ˈa	l	0.057
