Logudorese	Sicilian	probability
a	a	0.881
a	-	0.068
ă	ɪ	1.0
b	v	0.527
b	b	0.153
b	k	0.091
b	ɡ	0.054
b	ʤ	0.051
bː	kː	0.8
bː	bː	0.2
d	d	0.714
d	-	0.286
e	ɪ	0.733
e	-	0.076
e	i	0.066
e	ʊ	0.058
ĕ	j	0.5
ĕ	-	0.25
ĕ	ɪ	0.25
f	f	0.838
f	ç	0.138
i	ɪ	0.373
i	-	0.241
i	i	0.229
i	ʊ	0.117
j	-	0.534
j	v	0.246
j	j	0.114
j	sː	0.054
j	mː	0.052
k	k	0.459
k	ɕ	0.233
k	cː	0.119
k	kː	0.095
k	-	0.055
l	l	0.83
l	-	0.104
lː	lː	1.0
m	m	0.716
m	ŋ	0.136
m	mː	0.07
m	-	0.051
mː	mː	1.0
n	n	0.74
n	-	0.167
n	nː	0.066
nː	n	0.351
nː	nː	0.351
nː	ɲː	0.297
o	ɪ	0.264
o	-	0.261
o	ʊ	0.166
o	u	0.086
o	o	0.079
o	ˈu	0.065
ŏ	ʊ	1.0
p	p	0.879
p	c	0.121
r	ɾ	0.576
r	-	0.181
r	r	0.166
rː	ɾ	0.594
rː	ʐː	0.406
s	s	0.768
s	ʃː	0.102
s	z	0.07
s	-	0.06
sː	ɖː	0.772
sː	ʃː	0.155
t	t	0.557
t	tː	0.25
t	-	0.081
t	ʈ	0.07
tː	tː	1.0
u	ʊ	0.93
v	ŋ	0.828
v	bː	0.172
w	w	1.0
z	-	0.771
z	j	0.13
z	z	0.056
ð	t	0.68
ð	-	0.141
ð	ɾ	0.092
ð	ʈ	0.07
ŋ	n	0.843
ŋ	ŋ	0.097
ŋ	ɲː	0.06
ɖ	nː	1.0
ɖː	ɖː	1.0
ɡ	ɕ	0.334
ɡ	ɡ	0.332
ɡ	j	0.161
ɡ	w	0.098
ɣ	ɕ	0.463
ɣ	k	0.283
ɣ	-	0.143
ɣ	j	0.079
ɲː	ɲ	0.381
ɲː	ɲː	0.356
ɲː	nː	0.263
ʃː	ʃː	1.0
ʣ	ɟː	0.792
ʣ	-	0.208
ʦ	ʦː	0.696
ʦ	ʦ	0.304
ˈa	ˈa	1.0
ˈe	ˈɛ	0.634
ˈe	ˈi	0.301
ˈi	ˈi	0.92
ˈo	ˈɔ	0.683
ˈo	ˈu	0.183
ˈo	ˈo	0.105
ˈu	ˈu	0.89
ˈu	ˈɔ	0.076
β	p	0.406
β	v	0.357
β	ɟː	0.177
β	r	0.061
