Čakavian	Upper Sorbian	probability
ʧ	ʧ	1.0
ʒ̊	ʒ̊	1.0
ʒ	ʒ	1.0
ʃ	ʃ	1.0
ɲ	ɲ	1.0
ɡ̊	x	1.0
ɡ	ɦ	1.0
z	z	1.0
û	w_ˈu	1.0
uː	ˈu	1.0
u	u	1.0
t_i	ʨ	1.0
s	s	1.0
r̩̂	ˈe_ʀ	1.0
r̩	ˈɔ_ʀ	1.0
r̩̂	ˈɔ_ʀ	1.0
p_ǔː	p	1.0
j	j	1.0
ǐː	ˈe	1.0
ǐ	ˈi_ʥ	1.0
iː	-	1.0
ěː	ɛ	1.0
eː	-	1.0
d̥	d̥	1.0
b̥	b̥	1.0
b	b	1.0
a_r	ʀ_ɪ	1.0
a_n	ˈɔ_m	1.0
x	x	0.922
k	k	0.806
d	d	0.746
ô	ˈɔ	0.735
ʦ	ʦ	0.718
ûː	ˈu	0.705
t	t	0.705
n	n	0.689
ôː	ˈo	0.671
m	m	0.64
p	p	0.624
â	a	0.61
o	ɔ	0.594
i	i	0.579
ǎː	-	0.549
a	-	0.548
l	w	0.547
ê	-	0.544
aː	ˈɔ	0.516
âː	ˈo	0.506
ʋ	w	0.499
âː	-	0.494
aː	-	0.484
r	ʀ	0.456
l	l	0.453
a	a	0.452
ǎː	ˈa	0.451
r	ʀʲ	0.448
ʋ	ɥ	0.427
i	-	0.421
â	ˈa	0.39
p	pʲ	0.376
e	ɛ	0.372
m	mʲ	0.36
îː	ˈɪ	0.334
îː	ˈe	0.334
êː	ˈe	0.333
êː	ˈa	0.333
êː	-	0.333
îː	ˈi	0.331
ôː	ˈɔ	0.329
n	ɲ	0.311
ûː	w	0.295
t	ʨ	0.295
î	ˈe	0.286
ʦ	-	0.282
e	ɔ	0.256
d	ʥ	0.254
o	ˈɔ	0.233
ê	ˈɔ	0.228
ê	e	0.228
î	ˈɪ	0.22
î	ˈi	0.219
e	ˈɛ	0.208
ô	ɔ	0.204
k	-	0.194
o	w_ˈɔ	0.173
e	-	0.165
î	ˈɛ	0.162
î	ɛ	0.113
r	ʃ	0.095
x	xʲ	0.078
ʋ	-	0.073
ô	o	0.061
