Old Norse	Afrikaans	probability
a	-	0.535
a	ˈœu̯	0.465
b	b	0.963
c	k	0.878
c	-	0.122
cʰ	k	1.0
cː	k	1.0
d	d	0.622
d	t	0.335
f	f	0.866
f	v	0.08
f	s	0.054
h	ɦ	0.974
i	ə	0.64
i	-	0.36
j	-	0.51
j	ˈi	0.233
j	ˈɪə̯	0.192
j	ˈɔː	0.065
k	k	0.681
k	-	0.262
k	s	0.057
kʰ	k	0.885
kʰ	f	0.115
kː	k	0.666
kː	ŋ_k	0.334
l	ɫ	0.884
l	-	0.081
lː	ɫ	0.878
lː	ˈœu̯	0.122
l̥	ɫ	1.0
m	m	0.985
mː	f	0.79
mː	m	0.21
n	n	0.857
n	-	0.066
n	ə_ŋ	0.066
nː	n	1.0
p	p	1.0
pː	p	1.0
r	r	0.743
r	-	0.243
rː	r	0.963
r̥	r	1.0
s	s	0.981
sː	s	1.0
t	t	0.927
t	-	0.073
tʰ	t	0.763
tʰ	w	0.156
tʰ	b	0.081
tː	χ	0.897
tː	t	0.103
u	ə	0.853
u	n	0.089
u	-	0.057
v	v	0.437
v	f	0.218
v	-	0.167
v	w	0.126
w	-	1.0
x	v	1.0
ç	ɦ	0.894
ç	v	0.106
ð	t	0.492
ð	-	0.402
ð	d	0.107
ŋ	ŋ	0.946
ŋ	n	0.054
ɑ	-	0.738
ɑ	ə	0.262
ɑː	i	1.0
ɟ	χ	0.959
ɟː	χ	1.0
ɡ	χ	0.457
ɡ	-	0.427
ɡ	k	0.116
ɡː	χ	1.0
ɣ	χ	0.848
ɣ	-	0.152
ɾ	ə	1.0
ʝː	-	1.0
ʦ	t	1.0
ˈa	ˈa	0.795
ˈa	ˈɑː	0.205
ˈe	ˈɛ	0.241
ˈe	ˈɑː	0.224
ˈe	ˈɪə̯	0.212
ˈe	ˈa	0.099
ˈe	ˈæ	0.078
ˈe	ˈɛː	0.057
ˈeː	ˈi	0.819
ˈeː	ˈə	0.11
ˈi	ˈə	0.696
ˈi	ˈəɪ̯	0.161
ˈi	ˈɛ	0.072
ˈi	ˈɪə̯	0.071
ˈiː	ˈəɪ̯	0.617
ˈiː	ˈi	0.181
ˈiː	ˈə	0.117
ˈiː	ˈœi̯	0.064
ˈo	ˈʊə̯	0.631
ˈo	ˈɔ	0.162
ˈo	ˈœ	0.089
ˈo	ˈɪø̯	0.076
ˈoː	ˈi	0.373
ˈoː	ˈu	0.227
ˈoː	-	0.141
ˈoː	ˈə	0.086
ˈoː	r	0.064
ˈu	ˈɔ	0.602
ˈu	v_ˈɔ	0.118
ˈu	ˈɪø̯	0.092
ˈu	ˈœ	0.071
ˈuː	-	0.471
ˈuː	ˈœɪ̯	0.31
ˈuː	ˈyː	0.218
ˈy	ˈə	0.335
ˈy	ˈœ	0.306
ˈy	ˈʊə̯	0.28
ˈy	ˈɔ	0.078
ˈyː	ˈi	0.443
ˈyː	ˈyː	0.333
ˈyː	ˈuːi̯	0.111
ˈyː	ˈəɪ̯	0.066
ˈøy̯	ˈʊə̯	1.0
ˈøː	ˈu	0.652
ˈøː	ˈɛ	0.229
ˈøː	ˈuːi̯	0.119
ˈɑ	ˈa	0.569
ˈɑ	ˈɑː	0.172
ˈɑ	ˈœu̯	0.064
ˈɑ	ˈæː	0.061
ˈɑu̯	ˈʊə̯	0.793
ˈɑu̯	ˈoːi̯	0.121
ˈɑu̯	ə	0.086
ˈɑː	ˈɑː	0.57
ˈɑː	ˈʊə̯	0.21
ˈɑː	ˈa	0.143
ˈɒu̯	r	0.727
ˈɒu̯	ˈʊə̯	0.273
ˈɔ	-	0.31
ˈɔ	ˈa	0.285
ˈɔ	ˈɑː	0.196
ˈɔ	ˈɛ	0.143
ˈɔː	ˈɔ	1.0
ˈɛ	ˈa	0.396
ˈɛ	ˈɛ	0.24
ˈɛ	ˈɪə̯	0.106
ˈɛ	ˈi	0.101
ˈɛ	ˈɪø̯	0.076
ˈɛi̯	ˈəɪ̯	0.557
ˈɛi̯	ˈɪə̯	0.443
ˈɛː	w	0.542
ˈɛː	ˈɑː	0.281
ˈɛː	ˈa	0.177
θ	d	1.0
