Macedonian	Macedonian	probability
ˈ_ɛ	c	1.0
ˈ	-	1.0
ʣ	-	1.0
ʒ̊	-	1.0
ʒ	ʒ	1.0
ɾ	-	1.0
ɲ	ɲ	1.0
ɫ_#>	ʎ_#>	1.0
ɡ̊	x	1.0
ɡ	ɦ	1.0
ɟ	ɟ	1.0
ɛ_ˈ	a	1.0
ɔ_ɫ	l̩	1.0
z̥	z̥	1.0
z	z	1.0
x	x_iː	1.0
s	s	1.0
r	r	1.0
p	p	1.0
o_k	k_iː	1.0
m	m	1.0
f_#>	ʋ_#>	1.0
e	-	1.0
c	ʦ	1.0
b̥	b̥	1.0
b	b	1.0
a_ˈ	aː	1.0
<#_t	<#_c	1.0
<#_r	<#_r	1.0
<#_o	<#_ɔ	1.0
<#_n	<#_n	1.0
<#	<#_j	1.0
v	ʋ	0.885
k	k	0.857
i	i	0.818
d̥	d̥	0.8
a	a	0.758
ɔ	ɔ	0.75
j	j	0.75
t	t	0.741
ʦ	ʦ	0.714
d	d	0.714
o	ɔ	0.696
r̩	r̩	0.667
n	n	0.667
#>	i_#>	0.625
ɫ	ɫ	0.607
ʧ	ʧ	0.6
l	l	0.6
u	u	0.583
ɛ	ɛ	0.524
ɛ_#>	ɛ_#>	0.5
ɛ_#>	c_#>	0.5
f	ʋ_iː	0.5
f	x_iː	0.5
ʧ	-	0.4
l	ʎ	0.4
#>	c_#>	0.375
n	ɲ	0.333
ʦ	-	0.286
d	ɟ	0.286
t	c	0.259
ɔ	-	0.25
u	uː	0.25
j	-	0.25
r̩	r	0.222
ɫ	l	0.214
d̥	ɟ̊	0.2
i	-	0.182
ɫ	-	0.179
u	ɛ	0.167
ɛ	ɪ̯ɛ	0.159
v	x	0.115
r̩	r̩ː	0.111
o	ɫ̩	0.109
k	-	0.107
a	-	0.091
o	ʊ̯ɔ	0.087
a	u	0.076
o	-	0.065
ɛ	ɔ	0.063
ɛ	æ	0.063
