Eastphalian	North Frisian	probability
ˈʊ	ˈʊ	1.0
ˈɪ_l	ˈi_l	1.0
ˈɛɪ̯_#>	ˈiː_#>	1.0
ˈɛɪ̯	ˈiː	1.0
ˈɛ	ˈeː	1.0
ˈœ	ˈa	1.0
ˈøː	ˈiː	1.0
ˈiː_#>	ˈeː_#>	1.0
ˈaʊ̯	ˈœ	1.0
ˈa_ɐ	ˈa_r	1.0
ʃ	ʃ	1.0
ɪ_ç	i	1.0
ŋ	ŋ	1.0
ç	x	1.0
z	s	1.0
x	x	1.0
w	v	1.0
t_ə	tʲ	1.0
t_n	z_ə	1.0
t_#>	d_#>	1.0
s_w	s	1.0
r	r	1.0
p	p	1.0
n_t	n_t	1.0
m	m	1.0
l_ə_#>	l_#>	1.0
l_d	lʲ	1.0
h	h	1.0
d_r	t_r	1.0
b_m	p_ə	1.0
b	b	1.0
<#_ˈa	<#_ˈeː	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
k	k	0.913
f	f	0.889
l	l	0.88
s	s	0.857
ə	-	0.84
ˈiː	ˈi	0.818
v	v	0.778
d	d	0.731
t	t	0.723
ˈɔʏ̯	ˈɛ	0.667
ɣ	ɡ	0.615
ˈɛː	ˈɛː	0.6
j	j	0.6
ˈɔ	ˈɔː	0.571
#>	v_#>	0.571
ˈeo̯	ˈuː	0.545
ɐ	r	0.543
ˈuː	ˈyː	0.5
ɐ	ə_r	0.457
ˈeo̯	ˈyː	0.455
ˈɔ	ˈœ	0.429
ˈɒː	ˈɛi̯	0.429
n_d	nʲ	0.429
#>	d_#>	0.429
n	ə	0.41
ˈɛː	ˈɔː	0.4
j	ɡ	0.4
n	n	0.393
ˈʏ	ˈeː	0.375
ˈʏ	-	0.375
ˈɪ	ˈa	0.353
ˈɔʏ̯	ˈɛi̯	0.333
ˈuː	ˈøː	0.333
ˈoː	ˈuː	0.333
ˈɪ	ˈi	0.294
ˈɒː	ˈɛː	0.286
ˈɒː	ˈɔu̯	0.286
n_d	ˈyː_n	0.286
n_d	n	0.286
d	t	0.269
ˈa	ˈɒ	0.263
ˈʏ	ˈa	0.25
ˈɪ	ˈʊ	0.235
ɣ	j	0.231
ˈoː	ˈɔu̯	0.222
ˈoː	ˈɔ	0.222
ˈoː	ˈaː	0.222
v	-	0.222
ˈa	ˈœ	0.211
ˈiː	ˈiː	0.182
ˈuː	-	0.167
ə	ə	0.16
ˈa	ˈɒː	0.158
ˈa	ˈuː	0.158
ɣ	w	0.154
s	r_s	0.143
t	tʲ	0.128
l	ə_l	0.12
ˈɪ	ˈai̯	0.118
f	ə	0.111
ˈa	ˈʊ	0.105
ˈa	ˈɔː	0.105
k	k_ə	0.087
t	dʲ	0.085
n	n_ə	0.082
t	d	0.064
