Old High German	Pennsylvania German	probability
ˈɛ_h	ˈeː	1.0
ˈɑ_s	ˈɔː_s	1.0
ˈɑ_r	ˈaː	1.0
ˈu_r	ˈaː	1.0
ˈou̯	ˈɔː	1.0
ˈiː	ˈaɪ̯	1.0
ˈiu̯	ˈaɪ̯	1.0
ˈio̯	ˈiː	1.0
ˈeː	ˈeː	1.0
ˈe	ˈɛ	1.0
ʦː	ʦ	1.0
ɡ_ɑ	j	1.0
ɛ_r	ɑ	1.0
ɛ_h	eː	1.0
ə_n	ə	1.0
ɑ_ɡ	ɪ_ç	1.0
ɑ_r	ɑ	1.0
ɑ_n	ə	1.0
ɑ	-	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
v	ʋ	1.0
tː	d	1.0
t_r	d_ɾ	1.0
s̻ː	s	1.0
s̻	s	1.0
s_ˈi	s_ˈɪ	1.0
s_k	ʃ	1.0
s_i	s	1.0
r_ɑ	ɑ	1.0
r_o	ɑ	1.0
r_n	ɑ_n	1.0
p	p	1.0
oː	ə	1.0
ou̯	ˈɔː	1.0
nː	n	1.0
n_t	n	1.0
n_d	n	1.0
mː	m	1.0
lː	l	1.0
l	l	1.0
kː_ɑ	ɡ̊	1.0
kː	k	1.0
kʰ	k	1.0
k	k	1.0
j	j	1.0
fː	f	1.0
f	f	1.0
eː_n	ə	1.0
e_n	ə	1.0
b_ɑ	ʋ	1.0
m	m	0.962
ʦ	ʦ	0.911
i	-	0.903
d	d	0.903
o	-	0.859
n	n	0.857
w	ʋ	0.848
ˈuː	ˈaʊ̯	0.806
ˈei̯	ˈeː	0.787
b	b	0.785
h	h	0.778
ˈi	ˈɪ	0.765
ɡ	ɡ	0.764
ˈo	ˈɔ	0.734
ˈoː	ˈoː	0.676
u	-	0.675
t	d̥	0.674
ˈɑ	ˈa	0.635
ˈuo̯	ˈuː	0.582
ˈo_r	ˈaː	0.555
p͡f	b	0.555
xː	ç	0.552
x	ç	0.551
ˈɑː	ˈoː	0.546
ˈɛ	ˈɛ	0.521
s	s	0.514
r	ɑ	0.514
ˈu	ˈʊ	0.495
s	ʃ	0.486
r	ɾ	0.486
xː	x	0.448
ˈo_r	ˈa	0.445
p͡f	-	0.445
ˈɛ	ˈɛː	0.409
ˈɑː	ˈɔː	0.325
u	ɪ	0.325
ˈoː	ˈeː	0.324
ˈɑ	ˈɔː	0.292
ˈo	ˈʊ	0.266
x	x	0.263
ˈuo̯	ˈiː	0.262
t	d	0.239
h	-	0.222
ˈei̯	-	0.213
ˈu	ˈɪ	0.211
ˈuː	-	0.194
ɡ	ɣ	0.164
ˈi	-	0.162
ˈuo̯	ˈʊ	0.156
b	ʋ	0.156
w	-	0.152
n	ə	0.143
o	ə	0.141
ˈɑː	ˈɛː	0.129
ˈu	ˈaː	0.112
ˈu	ˈɛ	0.101
x	-	0.098
i	ɪ	0.097
d	d̥	0.097
ʦ	-	0.089
x	ɡ̊	0.088
t	t	0.087
ˈu	-	0.081
ˈi	ˈiː	0.074
ˈɑ	-	0.073
ɡ	ç	0.072
ˈɛ	ˈeː	0.07
b	b̥	0.059
