German	Swedish	probability
ˈʏ	ˈʏ	1.0
ˈøː	ˈøː	1.0
ˈyː	ˈøː	1.0
ˈuː_#>	ˈuː_#>	1.0
ˈiː_ɐ_#>	ˈiː_#>	1.0
ˈeː_#>	ˈøː_#>	1.0
ʃ_v	s	1.0
ʁ_ə	r	1.0
ʁ	r	1.0
ɪ	ɪ	1.0
ɡ̊_#>	ɡ_#>	1.0
ɡ̊	j	1.0
ə_n	a	1.0
ə_#>	#>	1.0
ɐ_t	ɖ	1.0
ɐ_n	ɳ	1.0
ŋ_k	kː	1.0
ŋ	ŋː	1.0
ç_t	tː	1.0
x_t	tː	1.0
x	k	1.0
v_ˈɔ	ˈɵ	1.0
tʰ_ˈiː	j_ˈʉː	1.0
tʰ	d	1.0
t_ɐ	r	1.0
t_#>	#>	1.0
s_n	t_a	1.0
s_#>	s_#>	1.0
p͡f	pʰ	1.0
n_d	nː	1.0
n_#>	#>	1.0
l_f	l_v	1.0
l_d̥	l_d	1.0
l_#>	l_#>	1.0
j	-	1.0
h	h	1.0
d̥_#>	#>	1.0
d̥	d	1.0
b̥_#>	v_#>	1.0
<#_ˈaɪ̯	<#_ˈɛ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʁ	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_j	1.0
l	l	0.892
ˈɛ	ˈɛ	0.846
ɡ	ɡ	0.833
v	v	0.815
ə	a	0.8
ˈuː	ˈuː	0.778
b	b	0.759
ʦ	tʰ	0.75
kʰ	kʰ	0.75
m	m	0.741
f	f	0.714
ˈɪ	ˈɪ	0.7
ç	k	0.7
z	s	0.7
ˈiː	ˈʉː	0.667
ˈaʊ̯	ˈʉː	0.625
ˈa	ˈa	0.607
ˈɔʏ̯	ˈyː	0.6
ˈeː	ˈɛː	0.6
d	tʰ	0.55
ˈoː	ˈoː	0.545
t	d	0.533
ɐ	r	0.525
n	n	0.508
#>	ɛ_#>	0.5
#>	n_#>	0.5
ʃ	s	0.478
ˈoː	ˈøː	0.455
s	t	0.444
ˈaɪ̯	ˈiː	0.435
ˈɔʏ̯	ˈœ	0.4
ˈeː	ˈæː	0.4
t	t	0.4
k	ɡː	0.4
k	k	0.4
ˈaɪ̯	ˈeː	0.391
ˈaː	ˈɑː	0.389
ˈaː	ˈoː	0.389
ˈʊ	ˈɵ	0.385
ˈɔ	ˈɔ	0.385
ˈiː	ˈyː	0.333
n	a	0.317
ˈʊ	ˈʊ	0.308
ç	ɡ	0.3
z	ɧ	0.3
ʃ	ɧ	0.261
ʃ	s_k	0.261
m	mː	0.259
ˈaʊ̯	ˈøː	0.25
ˈa	ˈɑː	0.25
ʦ	tː	0.25
kʰ	ɕ	0.25
d	d	0.25
ˈɔ	ˈɵ	0.231
ˈɔ	ˈuː	0.231
ɐ	ɛ_r	0.225
ˈuː	ˈøː	0.222
s	tː	0.222
s	s	0.222
f	p	0.214
ˈɪ	j	0.2
ə	ɛ	0.2
k	kː	0.2
v	-	0.185
ˈaɪ̯	ˈɛ	0.174
ɡ	j	0.167
ˈʊ	ˈɔ	0.154
ˈʊ	ˈœ	0.154
ˈɛ	ˈɛː	0.154
ˈɔ	ˈœ	0.154
ˈaʊ̯	ˈɵ	0.125
ˈaː	ˈɛː	0.111
ˈaː	ˈa	0.111
s	sː	0.111
n	nː	0.111
l	lː	0.108
b	v	0.103
ˈɪ	ˈeː	0.1
d	ɕ	0.1
d	-	0.1
ɐ	r_a	0.075
ɐ	-	0.075
ˈa	ˈɛ	0.071
ˈa	-	0.071
f	pː	0.071
b	v_ɛ	0.069
b	-	0.069
t	s	0.067
