Proto-Slavic	Čakavian	probability
a	a	1.0
aˀ	â	1.0
b	b	1.0
ê	ê	1.0
ẽ	e	1.0
ẽː	eː	1.0
ẽ̂ː	êː	1.0
ě	ê	1.0
i	i	1.0
ĭ̂	-	1.0
ǐ	î	1.0
j	-	1.0
m	m	1.0
n	n	1.0
ôː	ôː	1.0
õː	uː	1.0
ǒ	ô	1.0
p	p	1.0
s	s	1.0
t	t	1.0
x	x	1.0
z	z	1.0
ɛ	-	1.0
ɛˀ	î	1.0
ɛ̂ː	îː	1.0
ɛ̌	î	1.0
ɛ̌ː	ǐː	1.0
ɨ̌	î	1.0
ʎ	l	1.0
ʦ	ʦ	1.0
ʧ	ʧ	1.0
ǎ	â	0.661
ʒ	ʒ	0.941
d	-	0.212
e	ê	0.132
e	e	0.762
k	k	0.962
l	l	0.62
ĭ	-	0.163
ô	ôː	0.463
r	r	0.863
o	ô	0.054
ŭ	a	0.164
r	r̩̂	0.135
e	-	0.106
o	o	0.906
ŭ	-	0.836
ĭ	a	0.837
l	-	0.367
ô	ô	0.537
v	ʋ	0.977
ɡ	ɡ	0.997
d	d	0.788
ǎ	a	0.339
ʒ	ʃ	0.059
