Elfdalian	Elfdalian	probability
ˈʉ̃ːə̯	-	1.0
ˈɛː	-	1.0
ˈɔ̃ː	-	1.0
ˈɔ	-	1.0
ˈɑːu̯	ˈao̯	1.0
ˈɑː_ð	ˈa_d	1.0
ˈɑː	ˈaː	1.0
ˈœ	ˈi	1.0
ˈæː	-	1.0
ˈæ	-	1.0
ˈyːœ̯	-	1.0
ˈyœ̯	-	1.0
ˈiːe̯	ˈɔe̯	1.0
ʨː	-	1.0
ʨ_ˈyœ̯_r_ʨ	ˈʌ	1.0
ʨ	-	1.0
ʥː	-	1.0
ʥ_ˈæ	ɡ	1.0
ʏ	-	1.0
ʉ_ŋ	i	1.0
ʉ	-	1.0
ɽ_j	l	1.0
ɽ_#>	l_#>	1.0
ɽ	l	1.0
ɣ	ɡ	1.0
ɡː	ɡ	1.0
ɡ	ɡ	1.0
ɛ_r	ʌ	1.0
ɛ_n	a	1.0
ɛ	-	1.0
ɔ̃	eə̯	1.0
ɑ̃	-	1.0
ɑ_#>	#>	1.0
ŋ_ɡ	ŋ	1.0
ŋ	-	1.0
ð	d	1.0
w	ʋ	1.0
t	s	1.0
s_ʨ	ʃ	1.0
s_t	ʃ_d	1.0
s_k	ʃ	1.0
s_j	s	1.0
s_#>	s_#>	1.0
rː	ɡ_a	1.0
r_t	ʕ_ʦ	1.0
pː	-	1.0
pʰ	p͡f	1.0
p	f	1.0
n_#>	#>	1.0
mː	m	1.0
m	m	1.0
lː	l	1.0
l_d	l_d	1.0
kː	ŋ_ɡ	1.0
kʰ	kʰ	1.0
k_#>	x_#>	1.0
j_ˈʉːə̯	ˈiː	1.0
f	f	1.0
d	d	1.0
b	b	1.0
a	a	1.0
<#_ˈɑː	<#_ˈa	1.0
<#_ɡ	<#_ɡ	1.0
<#_r	<#_ʁ	1.0
ɑ	a	0.929
<#	<#_h	0.81
n	n	0.786
ˈɑːi̯	ˈəi̯	0.75
ɔ	a	0.714
ˈɑ	ˈa	0.692
v	b	0.692
k	ç	0.667
ˈʏː	ˈəi̯	0.6
ˈʉː	-	0.6
ˈʉə̯	ˈɔ	0.6
s	s	0.583
ˈʉ	ˈo	0.538
ˈʏ	ˈu	0.5
ˈʏ	-	0.5
ˈo	ˈa	0.5
ˈo	-	0.5
ˈɛ	ˈɛ	0.467
ˈɪː	-	0.444
tʰ	ʦ	0.438
tʰ	d	0.438
ˈɔː	ˈɔː	0.429
j	ˈɛ	0.429
r	ʁ	0.41
ˈʏː	-	0.4
ˈʉː	ˈoː	0.4
ˈʉə̯	-	0.4
ˈœː	ˈoː	0.375
ˈœː	-	0.375
ˈoː	ˈoː	0.375
ˈoː	ˈao̯	0.375
tː	x_d	0.375
ˈʉːə̯	ˈuə̯	0.353
ˈʉːə̯	ˈiə̯	0.353
ˈɪː	ˈi	0.333
ˈɛ	-	0.333
s	ʃ	0.333
nː	ʕ_n	0.333
nː	n	0.333
nː	-	0.333
k	-	0.333
ˈɑ	-	0.308
v	f	0.308
ˈɪ	ˈi	0.294
ˈɔː	ˈa_l	0.286
ˈɔː	-	0.286
ɔ	-	0.286
j	ˈi	0.286
j	-	0.286
r	ʌ	0.282
r	ʕ	0.256
ˈɑːi̯	-	0.25
ˈœː	ˈao̯	0.25
ˈoː	-	0.25
tː	s	0.25
tː	d	0.25
#>	ʌ_#>	0.25
#>	s_#>	0.25
ˈɪ	ˈɪ	0.235
ˈɪ	ˈe	0.235
ˈɪ	-	0.235
ˈɪː	ˈəi̯	0.222
n	-	0.214
ˈɛ	ˈɔe̯	0.2
ˈʉːə̯	-	0.176
#>	ɡ_#>	0.167
#>	f_#>	0.167
#>	d_#>	0.167
ˈʉ	ˈu	0.154
ˈʉ	ʋ_ˈo	0.154
ˈʉ	-	0.154
tː	ʣ	0.125
tʰ	d_ʁ	0.125
ˈʉːə̯	ˈuː	0.118
<#	<#_ˈɛ	0.095
<#	<#_ˈa	0.095
s	d	0.083
ɑ	-	0.071
r	ˈae̯	0.051
