Danish	Danish	probability
ˈɛː	ˈɑː	1.0
ˈɛˀ	-	1.0
ˈɔ	ˈaː	1.0
ˈɒˀ	-	1.0
ˈɑˀ	-	1.0
ˈœː	ˈeː	1.0
ˈœˀ_n	ˈeɐ̯	1.0
ˈœˀ	-	1.0
ˈø	ˈi	1.0
ˈæˀ	ˈɒː	1.0
ˈyː	ˈiɐ̯	1.0
ˈy	-	1.0
ˈuː	-	1.0
ˈoː	-	1.0
ˈiˀ	ˈai̯	1.0
ʨ	d̥_ˈo	1.0
ʦʰ	ʦ	1.0
ʁ	r	1.0
ə_n	eɐ̯	1.0
ə_#>	#>	1.0
ŋˀ	ŋ_ɡ̊	1.0
ŋ	ŋ	1.0
w_#>	#>	1.0
s_ɡ̊	ʃ	1.0
pʰ	b̥͡v̥	1.0
n_ə	n	1.0
mˀ	m_f	1.0
m_ˈɔː	m	1.0
m_ə	m_a	1.0
m	m	1.0
lˀ	j	1.0
kʰ	kʰ	1.0
j_ˈɛ	ˈe	1.0
i	i	1.0
h	h	1.0
f_ˈø	f	1.0
f	f	1.0
e	-	1.0
b̥_#>	f_#>	1.0
<#_ˈeˀ	<#_ˈoɐ̯	1.0
<#_ʦʰ	<#_d̥	1.0
<#_n	<#_n	1.0
<#_j	<#_h	1.0
b̥	b̥	0.9
ʋ	ʋ	0.824
l	l	0.8
d̥	d̥	0.781
ˈɑ	-	0.75
ɡ̊	ɡ̊	0.727
ˈœ	ˈu	0.714
ˈoˀ	ˈuɐ̯	0.7
ˈʌ	ˈu	0.667
<#	<#_ʋ	0.667
ˈuˀ	ˈau̯	0.636
ˈo	ˈo	0.625
ˈøˀ	-	0.6
ˈeˀ	ˈoɐ̯	0.6
w_ə	m	0.6
s	s	0.6
j_#>	ɡ̊_#>	0.6
nˀ	n_d̥	0.583
ˈyˀ	ˈiɐ̯	0.571
n	n	0.565
ˈe	ˈi	0.562
ð̞ˠ	d̥	0.529
ˈɔˀ	ˈɒː	0.5
ˈɔˀ	-	0.5
ˈiː	ˈai̯	0.5
ˈiː	-	0.5
w	ˈaː_b̥	0.5
w	x	0.5
ˈu	ˈu	0.455
ɐˀ	ɐ_d̥	0.444
ˈyˀ	ˈai̯	0.429
j	x	0.429
ˈɛ	ˈe	0.417
ð̞ˠ	s	0.412
ˈøˀ	ˈou̯	0.4
ˈeˀ	ˈeː	0.4
w_ə	ŋ	0.4
s	ʃ	0.4
j_#>	#>	0.4
ə	a	0.394
ɐ	a	0.379
ˈo	-	0.375
ˈuˀ	-	0.364
ˈu	ˈo	0.364
#>	a_#>	0.357
ˈʌ	-	0.333
ˈøː	ˈuɐ̯	0.333
ˈøː	ˈeː	0.333
ˈøː	-	0.333
ɐˀ	ɐ	0.333
<#	<#_ˈo	0.333
ˈæ	ˈɑ	0.312
ˈe	ˈe	0.312
n	-	0.304
ə	n	0.303
ˈoˀ	-	0.3
ˈœ	-	0.286
j	ˈe	0.286
j	-	0.286
#>	d̥_#>	0.286
ˈɛ	ˈi	0.25
ˈɑ	ˈai̯	0.25
ˈæ	ˈo	0.25
nˀ	n	0.25
ɐ	ɐ	0.241
ɐˀ	-	0.222
#>	ŋ_#>	0.214
l	j	0.2
ˈæ	ˈɒː	0.188
ˈu	-	0.182
ɡ̊	-	0.182
ʋ	-	0.176
ɐ	d̥_a	0.172
ˈɛ	x	0.167
ˈɛ	-	0.167
nˀ	-	0.167
d̥	ʦ	0.156
#>	b̥_#>	0.143
n	d̥	0.13
ˈæ	ˈɑː	0.125
ˈæ	ˈa	0.125
ˈe	-	0.125
ɐ	ˈi_ɐ	0.103
ɐ	-	0.103
b̥	f	0.1
ɡ̊	ɡ̊_a	0.091
ə	ə	0.091
ə	ŋ	0.091
d̥	x_d̥	0.062
ə	d̥_n	0.061
ə	-	0.061
ð̞ˠ	ˈiɐ̯_s	0.059
