German	Scots	probability
a	-	1.0
b	b	0.714
b	v	0.156
b	-	0.08
b	tʰ	0.051
d	θ	0.547
d	d	0.29
d	ð	0.141
eː	i	1.0
f	f	0.648
f	p	0.287
h	h	1.0
j	j	1.0
k	ɡ	0.441
k	k	0.402
k	ç	0.073
kʰ	kʰ	0.762
kʰ	ʧ	0.146
kʰ	k	0.083
l	l	0.926
l	-	0.074
m	m	0.892
m	-	0.108
n	n	0.843
n	-	0.157
p	f	0.918
p	-	0.082
p͡f	pʰ	0.84
p͡f	p	0.124
s	t	0.537
s	s	0.463
t	d	0.52
t	t	0.291
t	θ	0.124
tʰ	d	0.929
tʰ	θ	0.071
v	w	0.789
v	-	0.117
v	ʍ	0.095
x	ç	0.415
x	x	0.333
x	k	0.252
z	s	0.835
z	z	0.148
ç	k	0.515
ç	ç	0.221
ç	ʧ	0.211
ç	-	0.053
ŋ	ŋ	1.0
ɐ	r	0.533
ɐ	ə	0.325
ɐ	-	0.142
ə	-	0.363
ə	i	0.328
ə	ə	0.189
ə	r	0.109
ɡ	-	0.415
ɡ	ɡ	0.396
ɡ	j	0.135
ɡ	k	0.054
ɪ	i	0.43
ɪ	ŋ	0.215
ɪ	ɪ	0.215
ɪ	e	0.14
ʁ	r	0.935
ʃ	ʃ	0.542
ʃ	s	0.458
ʦ	tʰ	0.612
ʦ	t	0.36
ˈa	ˈɑː	0.355
ˈa	ˈa	0.178
ˈa	ˈɪ	0.171
ˈa	ˈeː	0.113
ˈa	ˈe	0.095
ˈaɪ̯	ˈe	0.403
ˈaɪ̯	ˈəi̯	0.269
ˈaɪ̯	ˈɛ	0.094
ˈaɪ̯	ˈɪ	0.08
ˈaɪ̯	ˈiː	0.056
ˈaʊ̯	ˈu	0.338
ˈaʊ̯	ˈiː	0.228
ˈaʊ̯	ˈi	0.179
ˈaʊ̯	ˈuː	0.144
ˈaʊ̯	ˈʌ	0.067
ˈaː	ˈeː	0.315
ˈaː	ˈi	0.201
ˈaː	ˈe	0.152
ˈaː	ˈɛ	0.115
ˈaː	ˈoː	0.058
ˈaː	ˈø	0.054
ˈeː	ˈɛ	0.378
ˈeː	ˈiː	0.204
ˈeː	ˈɑː	0.149
ˈeː	ˈeː	0.087
ˈeː	ˈɪ	0.074
ˈeː	ˈɛː	0.053
ˈiː	ˈiː	0.425
ˈiː	ˈi	0.336
ˈiː	ˈʌu̯	0.066
ˈiː	ˈaɪ̯	0.063
ˈoː	ˈɪ	0.223
ˈoː	ˈʌ	0.147
ˈoː	ˈø	0.135
ˈoː	ˈe	0.119
ˈoː	ˈi	0.119
ˈoː	ˈo	0.06
ˈuː	ˈø	0.55
ˈuː	ˈuː	0.168
ˈuː	ˈɪ	0.119
ˈuː	ˈi	0.108
ˈuː	ˈøː	0.056
ˈyː	ˈi	0.711
ˈyː	ˈʌu̯	0.14
ˈyː	ˈiː	0.113
ˈøː	ˈi	0.724
ˈøː	ˈiː	0.193
ˈøː	ˈe	0.083
ˈœ	ˈa	1.0
ˈɔ	ˈo	0.399
ˈɔ	ˈʌ	0.182
ˈɔ	ˈɪ	0.129
ˈɔ	ˈuː	0.095
ˈɔ	ˈʌu̯	0.083
ˈɔʏ̯	ˈəi̯	0.407
ˈɔʏ̯	ˈi	0.229
ˈɔʏ̯	ˈiː	0.173
ˈɔʏ̯	ˈuː	0.127
ˈɔʏ̯	ˈu	0.064
ˈɛ	ˈɛ	0.479
ˈɛ	ˈa	0.139
ˈɛ	ˈɪ	0.101
ˈɛ	ˈʌ	0.091
ˈɛ	ə	0.081
ˈɛ	ˈɔɪ̯	0.069
ˈɛː	ˈiː	0.661
ˈɛː	ˈi	0.193
ˈɛː	ˈeː	0.146
ˈɪ	ˈɪ	0.824
ˈɪ	ˈu	0.072
ˈʊ	ˈʌ	0.628
ˈʊ	ˈɪ	0.19
ˈʊ	ˈu	0.094
ˈʏ	ˈɪ	0.701
ˈʏ	ˈaːɪ̯	0.268
