Neapolitan	Neapolitan	probability
ˈɛ_n	ˈe_ŋ	1.0
ˈɛ_lː	ˈɛ	1.0
ˈɔ_n	ˈo_n	1.0
ˈu_j_ə_#>	ˈu_#>	1.0
ˈa_k	ˈa_ɡ	1.0
ʧ	z	1.0
ʦ_ə	s_a	1.0
ʤː	z	1.0
ʤ	z	1.0
ʃː_ə	s_e	1.0
ʃː	s	1.0
ʃ_ə	z_e	1.0
ɾ_t	r_t	1.0
ɾ_n	r_n	1.0
ɲ	-	1.0
ɡ	ɡ	1.0
ə_ɾ	a_r	1.0
ə_#>	#>	1.0
ŋ_k	ŋ_k	1.0
ŋ	ŋ	1.0
z	z	1.0
v_ə	v_e	1.0
u	o	1.0
tː	t	1.0
sː_ə	s_o	1.0
s_ə	z_a	1.0
s	s	1.0
rː	r	1.0
r	r	1.0
p_w	p	1.0
o	o	1.0
mː	m	1.0
m_ə	m_a	1.0
l_ˈu	ɰ_ˈɔ	1.0
l_ˈi	ˈe	1.0
l_ə	l	1.0
kː_j	ʧ	1.0
k_w	k	1.0
j_ə	o	1.0
f	f	1.0
e	-	1.0
dː	d	1.0
d	d	1.0
b_w	b	1.0
b	b	1.0
a	a	1.0
<#_ˈɔ	<#_ˈɔ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʤ	<#_z	1.0
<#_ɡ	<#_ɡ	1.0
<#_w	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#	1.0
<#_j	<#_z	1.0
<#	<#_z	1.0
#>	r_#>	1.0
ˈa	ˈa	0.961
ˈɔ	ˈɔ	0.913
l	ɰ	0.905
m	m	0.9
k	k	0.846
j	-	0.8
ˈɛ	ˈɛ	0.792
ˈo	ˈo	0.786
p	p	0.781
w_ˈɔ	ˈo	0.778
ʃ	s	0.773
v	v	0.75
ˈi	ˈi	0.727
t	t	0.724
ˈe	ˈe	0.722
nː	n	0.714
ɾ	r	0.697
k_j	p_j	0.667
n	ŋ	0.639
ˈa_t	ˈa	0.6
lː	-	0.6
ɾ_ə	r	0.579
ɲː	ɲ	0.556
kː	k	0.556
ʦː	z	0.5
ʦː	s	0.5
ʎː	ʤ	0.5
ʎː	-	0.5
ə_n	e_n	0.5
ə_n	e	0.5
w	w	0.5
<#_a	<#_a	0.5
<#_a	<#	0.5
ˈu	ˈu	0.472
kː	ʧ	0.444
i	e	0.438
ɾ_ə	r_o	0.421
ə	o	0.419
ˈa_t	ˈa_d	0.4
lː	o	0.4
ˈu	ˈo	0.389
i	i	0.375
ə	a	0.361
n	n	0.361
k_j	ʧ	0.333
nː	ŋ_d	0.286
ˈe	ˈɛ	0.278
ˈi	ˈe	0.273
w	l	0.25
w	-	0.25
v	b	0.25
ɲː	z	0.222
ɲː	-	0.222
w_ˈɔ	ˈɔ	0.222
ˈo	ˈɔ	0.214
ə	e	0.206
j	j	0.2
i	-	0.188
p	v	0.156
k	ɡ	0.154
t	d	0.138
t	-	0.138
ʃ	f_j	0.136
ˈɛ	ˈe	0.125
ɾ	d	0.121
m	-	0.1
l	l	0.095
ʃ	z	0.091
ɾ	ˈi	0.091
ɾ	-	0.091
ˈɔ	ˈo	0.087
ˈɛ	ˈe_r	0.083
ˈu	ˈɔ	0.083
p	-	0.062
ˈu	-	0.056
