Aragonese	Corsican	probability
d	d	1.0
f	f	1.0
p	p	1.0
ŋ	ŋ	1.0
ɲ	ɲ	1.0
ʧ	ɟ	1.0
j	u	0.11
w	v_e	0.051
w	t	0.051
ˈi	ˈi	0.931
ˈu	ˈu	0.811
θ	-	0.131
e	-	0.082
l	-	0.072
l	l	0.562
r	r	0.922
ɡ	-	0.072
ʃ	sː	0.452
ˈa	-	0.102
ˈu	ˈɔ	0.142
β	b	0.072
β	p	0.282
β	v	0.402
a	a	0.883
b	v	0.713
l	l_e	0.083
l	j	0.153
m	-	0.073
o	u	0.933
w	ˈɔ	0.063
ɾ	r_e	0.163
ɾ	r	0.553
ʎ	-	0.073
ʎ	lː	0.443
ʝ	-	0.33
ˈo	ˈo	0.43
ˈo	ˈɔ	0.513
n	-	0.064
t	d	0.074
u	ˈɔ	0.114
ð	d	0.224
β	-	0.244
e	i	0.225
i	u	0.395
i	i	0.605
j	-	0.055
l	lː	0.105
n	n_t	0.075
n	n	0.755
s	z	0.085
ɡ	ɟ	0.15
ɣ	ɡ	0.295
ˈa	e	0.05
ˈe	ˈa	0.075
ˈe	ˈɛ	0.505
e	e	0.326
k	k	0.96
s	-	0.06
t	-	0.06
u	-	0.886
ð	t	0.776
ɣ	k	0.556
ʎ	ʎ	0.266
ˈe	e	0.076
b	b	0.287
e	ˈɛ	0.097
m	m	0.927
ɾ	-	0.167
ʝ	d	0.67
ˈo	u	0.057
θ	ʧ_e	0.37
e	a	0.08
j	j	0.68
n	n_e	0.068
r	rː	0.078
s	s	0.848
t	tː	0.168
t	t	0.698
w	w	0.8
ɡ	ɡ	0.778
ʃ	ʃː	0.548
ʎ	c	0.218
ˈe	ˈe	0.288
e	u	0.19
j	ˈi	0.119
ɣ	-	0.149
ɾ	e_r	0.079
ˈa	ˈa	0.829
ˈi	i	0.069
θ	ʧ	0.499
