Logudorese	Aragonese	probability
bː	-	1.0
d	d	1.0
f	f	1.0
nː	ɲ	1.0
s	s	1.0
z	s	1.0
ɖ	-	1.0
ʦ	θ	1.0
β	β	1.0
k	-	0.091
r	r	0.11
sː	s	0.181
t	-	0.051
t	j	0.161
ˈo	ˈo	0.361
b	ʧ	0.122
j	ʧ	0.232
j	-	0.412
k	θ	0.252
m	m	0.72
r	l	0.192
rː	ɾ_n	0.602
ŋ	ŋ	0.612
ɣ	θ	0.172
ɣ	-	0.482
ˈe	ˈe	0.462
b	b	0.713
i	-	0.233
l	l	0.963
m	ŋ	0.163
o	-	0.293
u	-	0.103
ɡ	ɡ	0.43
ɣ	ɣ	0.3
a	a	0.964
b	b_e	0.054
e	ˈe	0.164
ð	ð	0.794
ˈa	ˈa	0.954
ˈe	j_ˈe	0.44
ˈo	w_ˈe	0.564
n	n	0.805
r	ɾ	0.655
ɖː	l	0.315
ɖː	ʎ	0.685
ɡ	ɣ	0.105
ɡ	ʧ	0.285
ʣ	-	0.365
ʣ	ʎ	0.635
j	β_j	0.356
ð	-	0.206
ˈi	e	0.076
ˈi	ˈi	0.576
e	a	0.087
i	e	0.617
m	m_b	0.117
o	o	0.707
u	o	0.897
ˈi	ˈe	0.347
ˈu	ˈo	0.217
ˈu	ˈu	0.737
e	o	0.088
e	w	0.188
k	k	0.638
rː	r	0.398
ŋ	n	0.388
ɡ	-	0.18
e	e	0.429
i	ˈi	0.059
n	-	0.159
p	p	0.959
sː	-	0.819
t	t	0.749
