Danish	Elfdalian	probability
ˈɛː	ˈɔ	1.0
ˈɒː	ˈɔː	1.0
ˈɒˀ	ˈɔː	1.0
ˈœː	ˈyːœ̯	1.0
ˈøˀ	ˈœː	1.0
ˈø	-	1.0
ˈæˀ	ˈɑː	1.0
ˈy	-	1.0
ˈu	ˈʉ	1.0
ˈoː	-	1.0
ˈi	l	1.0
ˈeː	-	1.0
ʦʰ	tʰ	1.0
ʋ	w	1.0
ʁ	r	1.0
ɕ	s_j	1.0
ɐˀ_n	nː	1.0
ɐ_n	nː	1.0
ŋˀ	ŋ_ɡ	1.0
ŋ	ŋ_ɡ	1.0
s_l	l̥	1.0
pʰ	pʰ	1.0
mˀ	m	1.0
m	m	1.0
l_ə	ɛ_ɽ	1.0
l	ɽ	1.0
kʰ	kʰ	1.0
jˀ	ɛ	1.0
j_ˈʌ	ˈœ	1.0
i	ɪ_n	1.0
h	ˈoː	1.0
f	f	1.0
e	ʉ	1.0
d̥_ʁ	d_r	1.0
s	s	0.99
ˈʌ	-	0.858
n	n	0.834
b̥	b	0.78
ˈœ	-	0.731
ˈoˀ	ˈʉːə̯	0.711
ə	ɑ	0.693
ɐˀ	r	0.674
ˈœˀ	-	0.667
nˀ	n_d	0.642
ˈɑˀ	ˈɑ_r	0.625
ˈiˀ	ˈɪː	0.604
ɐ	r	0.601
ˈyː	j	0.6
ˈe	ˈɪ	0.6
ˈo	ˈʉə̯	0.598
ˈyˀ	j_ˈʉːə̯	0.571
ˈiː	-	0.571
ˈuː	ˈɑːu̯	0.553
ˈæ	ˈɑ	0.551
ˈɛˀ	-	0.536
ˈøː	ˈyːœ̯	0.536
ˈuˀ	ˈɑːu̯	0.504
ˈɔ	ˈʉ	0.5
ˈɔ	-	0.5
ˈɔˀ	ˈɔː	0.497
ð̞ˠ	t	0.479
ˈøː	ˈæː	0.464
w	v	0.452
ˈuː	ˈʉː_ɣ	0.447
ð̞ˠ	ð	0.436
ˈyˀ	ˈʏː	0.429
ˈiː	ˈɑːi̯	0.429
ˈeˀ	ˈiːe̯	0.427
d̥	d	0.407
j	k	0.401
ˈyː	j_ˈʉːə̯	0.4
d̥	t	0.393
ˈɑˀ	-	0.375
nˀ	nː	0.358
lˀ	-	0.352
ˈiˀ	ˈɑːi̯	0.334
j	ˈiːe̯	0.334
ˈœˀ	ˈœː	0.333
ɐˀ	r_d	0.326
ˈɛ	ˈæ	0.321
ˈɑ	ŋ	0.31
ˈoˀ	-	0.289
ˈɛ	ˈɪ	0.286
ˈɛ	-	0.282
ˈɑ	ˈɪː	0.276
ˈɔˀ	-	0.275
ˈœ	ˈʏ	0.269
ˈe	ˈɛ	0.267
j	j	0.265
lˀ	lː	0.255
ˈuˀ	ˈʉː	0.252
ˈeˀ	-	0.248
ɡ̊	ʨ	0.246
ˈuˀ	ˈʉːə̯	0.245
ɡ̊	k	0.24
ˈɛˀ	ˈɑːi̯	0.232
ˈɛˀ	ˈæː	0.232
ˈɔˀ	ˈɔ̃ː	0.228
ˈɑ	ˈɛ	0.225
ɡ̊	ɡ	0.216
ɐ	ɛ	0.216
ˈo	ˈo	0.201
ˈo	-	0.201
d̥	tː	0.2
lˀ	d	0.197
lˀ	l	0.196
ˈæ	ˈɑː	0.195
ˈeˀ	ˈæː	0.189
ˈɑ	ˈɑ	0.188
w	ˈʉː	0.167
w	ˈʉːə̯_ɣ	0.156
ˈæ	-	0.151
ˈʌ	ˈo	0.142
ˈeˀ	ˈɛ	0.136
w	ɣ	0.135
ˈe	-	0.133
n	nː	0.128
ˈɛ	ˈɛ	0.111
ə	ɔ	0.109
b̥	p	0.106
ˈæ	ˈɔː	0.103
ɡ̊	ʥ	0.1
ə	ʉ	0.098
ɡ̊	kː	0.092
w	k	0.09
ð̞ˠ	tː	0.085
ɡ̊	ɡː	0.07
ɐ	r_ɑ	0.065
ˈiˀ	ˈɪ̃ː	0.062
ɐ	ˈʉːə̯_r	0.061
ə	-	0.059
b̥	ˈɑː_p	0.057
b̥	pː	0.057
