Standard German	Swabian	probability
ˈɛː	ˈɛː	1.0
ˈøː	ˈeː	1.0
ˈa_n	ˈaː	1.0
ʦ	ʦ	1.0
ʃ	ʃ	1.0
ɡ̊	ɡ	1.0
ɡ	ɡ	1.0
ə_n	a	1.0
ŋ	ŋ	1.0
z̥	s	1.0
z	s	1.0
x	x	1.0
v	ʋ	1.0
tʰ	d	1.0
s_t	ʃ_d	1.0
s	s	1.0
p͡f	b̥͡f	1.0
p	b	1.0
n_ˈa	n_ˈa	1.0
n_ə_#>	n_#>	1.0
n_#>	#>	1.0
m	m	1.0
l	l	1.0
kʰ	kʰ	1.0
k	ɡ	1.0
j	j	1.0
h	h	1.0
f_ˈyː	f	1.0
f	f	1.0
d̥	d	1.0
d	d	1.0
b̥	b	1.0
b	b	1.0
ʁ	ʁ	0.935
ə	-	0.935
ˈa	ˈa	0.926
t	d	0.914
ˈɛ	ˈɛ	0.895
ˈaʊ̯	ˈao̯	0.895
ˈoː	ˈoː	0.846
ˈuː	ˈuə̯	0.75
ˈʏ	ˈu	0.6
ˈyː	ˈiə̯	0.6
ˈɔ	ˈo	0.588
ˈʊ	ˈo	0.583
ˈɔʏ̯	ˈae̯	0.556
ɐ	ʌ	0.542
ç	ç	0.533
ˈɪ	ˈi	0.5
ɪ	ɪ	0.5
ɪ	-	0.5
ˈaɪ̯	ˈɔe̯	0.483
n	n	0.479
n	a	0.466
ˈɔʏ̯	ˈəi̯	0.444
ˈaː	ˈaː	0.444
ˈʊ	ˈu	0.417
ˈiː	ˈiː	0.417
ɐ	ʕ	0.417
ˈɔ	ˈɔ	0.412
ˈʏ	-	0.4
ˈyː	-	0.4
ˈaː	ˈɔː	0.389
ˈaɪ̯	ˈəi̯	0.345
ˈiː	ˈiə̯	0.333
ˈeː	ˈɛː	0.333
ˈeː	ˈeː	0.333
ˈeː	-	0.333
ç	ɡ	0.333
ˈuː	ˈuː	0.25
ˈiː	ˈi	0.25
ˈɪ	ˈe	0.208
ˈaɪ̯	ˈae̯	0.172
ˈɪ	ˈɪ	0.167
ˈaː	-	0.167
ˈoː	-	0.154
ç	-	0.133
ˈɪ	-	0.125
ˈɛ	-	0.105
ˈaʊ̯	-	0.105
t	t	0.086
ˈa	ˈɛ	0.074
ʁ	-	0.065
ə	e	0.065
