Proto-Germanic	Palatine German	probability
ˈɔː_t	ˈiː_s	1.0
ˈɔː_n	ˈĩː	1.0
ˈɑː	ˈoː	1.0
ˈɑi̯_w	ˈeː	1.0
ˈɑ_t	ˈɑ_s	1.0
ˈɑ_s	ˈɑː_s	1.0
ˈu_ɣ	ˈɪ_ɡ̊	1.0
ˈu_r	ˈɛ	1.0
ˈĩː	ˈaɪ̯	1.0
ˈiː_ð	ˈaɪ̯_d̥	1.0
ˈiː	ˈaɪ̯	1.0
ˈiu̯	ˈaɪ̯	1.0
ˈi_j	ˈaɪ̯	1.0
ˈeː	ˈiː	1.0
ˈe_w	ˈɑ̃ɪ̯	1.0
ɸ	f	1.0
ɣ_ɑ	ʃ	1.0
ɡʷ	-	1.0
ɛː	ɐ	1.0
ɔːu̯	-	1.0
ɔː_θ	ɑ	1.0
ɑː_n	ə	1.0
ɑi̯	ˈɑ_n	1.0
ɑ_n	ə	1.0
ɑ_l	l	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
z	-	1.0
x_t	ʃ_d̥	1.0
x_s	ɡ̊_s	1.0
wː	ˈaɪ̯	1.0
u	-	1.0
tː	-	1.0
t_ɑ	s	1.0
s_t	ʃ_d̥	1.0
s_l	ʃ_l	1.0
s_k	ʃ	1.0
r_ɑ	ɐ	1.0
r_u	ɐ	1.0
r_t	ɐ_ʣ̥	1.0
r_n	ɐ_n	1.0
pː	-	1.0
nː	n	1.0
n_θ	n	1.0
n_u	ˈõː	1.0
n_d	n	1.0
mː	m	1.0
lː	l	1.0
l_d	l_d̥	1.0
l	l	1.0
kʷ	-	1.0
k_s	ʃ	1.0
jː	ˈɑːɪ̯	1.0
iː	-	1.0
e_x	eː	1.0
e	ɐ	1.0
d_ˈɑu̯	d̥_ˈoː	1.0
d	d̥	1.0
b	b̥	1.0
j	-	0.943
ˈɛː	ˈoː	0.928
m	m	0.92
ˈeu̯	ˈiː	0.909
i	-	0.906
n	n	0.886
ˈuː	ˈau̯	0.814
ˈi	ˈɪ	0.813
ɔː	-	0.809
p	f	0.767
ɔːː	-	0.75
w	β	0.722
ˈɑu̯	ˈɑː	0.681
θ	d̥	0.677
ɑ	-	0.665
x	h	0.663
ˈɑi̯	ˈɛː	0.628
xʷ	β	0.6
ˈe	ˈɛ	0.581
ˈɔː	ˈuː	0.578
r	r	0.563
ð	d̥	0.56
ˈɑ	ˈɑ	0.537
β	β	0.504
β	b̥	0.496
s	ʃ	0.466
ˈu	ˈu	0.443
ð	r	0.44
r	ɐ	0.437
t	s	0.431
s	s	0.418
xʷ	-	0.4
ɣ	-	0.393
k	ʃ	0.38
ˈɑi̯	ˈeː	0.372
ˈu	ˈɔ	0.364
θ	r	0.323
ˈɑu̯	ˈoː	0.319
k	ɡ̊	0.317
k	x	0.303
ɣ	ɣ̊	0.301
t	ʣ̥	0.299
t	d̥	0.27
ˈɑ	ˈɑː	0.262
ɔːː	ə	0.25
x	x	0.242
p	b̥	0.233
ˈɔː	ˈu	0.23
w	-	0.22
ˈe	ˈɛː	0.216
ˈe	ˈɪ	0.203
ˈɑ	ˈɛ	0.201
ɣ	j	0.197
ˈɔː	-	0.191
ɔː	ɐ	0.191
ɑ	ɪ	0.168
ɑ	ə	0.168
ˈuː	ˈuː	0.125
ˈi	-	0.117
s	-	0.115
ɣ	ʃ	0.109
ˈu	ˈɪ	0.101
x	-	0.095
i	ɐ	0.094
ˈu	ˈoː	0.092
ˈeu̯	ˈi	0.091
n	ə	0.088
m	n	0.08
ˈɛː	ˈo	0.072
ˈi	ˈaɪ̯	0.07
ˈuː	ˈau̯̯	0.061
w	β_ˈɔ	0.057
j	j	0.057
