Friulian	Western Lombard	probability
b	b	1.0
c	k	1.0
k	k	1.0
p	p	1.0
s	s	1.0
ŋ	ɲ	1.0
ʤ	ʤ	1.0
ˈi	ˈi	1.0
j	e	0.321
l	-	0.181
l	l	0.761
u	e	0.191
ˈeː	ˈɛ	0.771
ˈiː	ˈi	0.661
ˈɔ	ˈø	0.451
a	-	0.122
d	d	0.832
i	i	0.142
v	-	0.062
ˈu	ʤ_ˈy	0.152
ˈɛ	ˈe	0.202
n	-	0.313
r	r_n	0.063
t	t	0.753
w	-	0.763
z	z	0.173
z	-	0.573
ɲ	n	0.203
ʧ	ʧ	0.393
ˈaː	ˈa	0.733
ˈu	ˈy	0.763
ˈɔ	ˈu	0.323
ˈɛ	ˈɛ	0.153
m	m	0.974
u	-	0.424
z	s	0.254
ɡ	ʤ	0.054
ˈe	ˈeː	0.254
ˈe	ˈe	0.544
ˈoː	ˈu	0.534
a	a	0.75
i	u	0.055
o	o	0.265
o	u	0.735
t	ʧ	0.205
u	u	0.385
ʧ	-	0.05
ˈe	ˈe_j	0.085
ˈo	-	0.295
ˈu	ˈyː	0.085
ˈɛ	-	0.645
i	e_r	0.106
ɡ	k	0.16
ɡ	ɡ	0.786
ʧ	ʦ	0.516
ˈa	ˈa	0.916
ˈo	ˈu	0.646
ˈoː	ˈyː	0.466
ˈuː	ˈyː	0.106
e	a	0.837
n	n	0.687
w	w	0.237
ɲ	ɲ	0.797
ˈa	ˈɔ	0.057
ˈaː	ˈaː	0.267
ˈe	ˈɔ	0.117
ˈuː	ˈøː	0.577
d	-	0.168
i	-	0.398
j	j	0.508
l	j	0.058
v	ʋ	0.938
ˈuː	ˈø	0.318
a	ã	0.129
e	-	0.079
f	f	0.979
i	e	0.299
j	ˈe_j	0.129
r	r	0.889
ˈeː	ˈe	0.229
ˈiː	ˈe	0.339
ˈo	e	0.059
ˈɔ	ˈo	0.19
