Swabian	Insular North Frisian	probability
ˈɛː	-	1.0
ˈɔə̯	ˈoː	1.0
ˈɔ	ˈuː	1.0
ˈuː	-	1.0
ˈeə̯	-	1.0
ˈaː_ɡ	ˈaɪ̯	1.0
ˈaː_s	s	1.0
ˈaː	-	1.0
ˈae̯_ʦ	aɪ̯	1.0
ʕ_n	ɐ_n	1.0
ʌ	ɐ	1.0
ʃ_d	s_t	1.0
ɪ	ɪ	1.0
ŋ	ŋ	1.0
ç_d	ç_t	1.0
ç	k	1.0
n_d	nʲ	1.0
m	m	1.0
l_ˈiə̯	l	1.0
l_d	lʲ	1.0
kʰ	kʰ	1.0
j	j	1.0
i	ɪ	1.0
h	h	1.0
eə̯	n	1.0
e	-	1.0
d_ˈi	tʲ	1.0
b̥͡f	pʰ	1.0
l	l	0.976
ʋ	v	0.903
ʁ	r	0.82
n	n	0.801
f	f	0.695
b	b	0.692
x	x	0.667
ˈiː	-	0.659
ˈɔe̯	ˈeː	0.614
ˈiə̯	-	0.6
ˈeː	-	0.596
ˈoː	-	0.577
ʕ	ʁ̥	0.576
ˈɪ	ˈə	0.557
ˈəi̯	ˈə	0.543
ˈao̯	ˈʏ	0.53
s	s	0.53
ʦ	t	0.528
ʃ	s_k	0.528
a	n	0.524
ˈu	-	0.496
a	ə	0.476
ʦ	tʰ	0.472
ˈɪ	ˈɛ	0.443
ˈoː	ˈua̯	0.423
ˈɔː	-	0.41
ˈeː	ˈiː	0.404
ˈiə̯	ˈiː	0.4
ˈi	ˈɛ	0.389
ʃ	s	0.388
ˈɔe̯	ˈiː_n	0.386
ˈɔː	ˈoː	0.385
s	t	0.385
ˈae̯	-	0.367
ˈɛ	-	0.365
ɡ	ç	0.358
ˈo	ˈʊ	0.357
ˈe	-	0.346
ˈiː	ˈiː	0.341
ˈuə̯	ˈʊ	0.333
x	k	0.333
ˈe	ˈʊ	0.327
ˈe	ˈə	0.327
ˈae̯	ˈɛ	0.322
ˈae̯	ˈiː	0.312
d	ɾ	0.308
f	p	0.305
ˈa	ˈɔː	0.296
ˈao̯	ˈoː	0.289
ʕ	ɐ	0.285
d	t	0.283
ˈi	ˈə	0.276
ˈɛ	ˈɛ	0.253
ˈu	ˈɛ	0.252
ˈu	ˈœ	0.252
d	-	0.247
ˈa	ˈa	0.236
ˈo	ˈœ	0.235
ˈuə̯	ˈɔ	0.222
ˈuə̯	ˈœ	0.222
ˈuə̯	-	0.222
ɡ	k	0.221
ˈɔː	ˈiː	0.205
ˈi	-	0.203
ˈao̯	-	0.181
ʁ	-	0.18
b	v	0.177
ˈɛ	ˈeː	0.168
d	ð	0.162
ˈəi̯	-	0.156
ˈəi̯	ˈiː	0.152
ˈəi̯	ˈyː	0.149
ʕ	r	0.138
ˈɛ	ˈa	0.131
ˈi	ˈeː	0.131
ˈo	ˈʏ	0.128
ˈo	ˈuː	0.128
n	ˈœ_n	0.127
ɡ	-	0.117
ˈa	ˈʏ	0.112
ˈa	ˈʊ	0.107
ˈa	ˈœ	0.107
ʋ	-	0.097
ˈo	ˈɔ	0.091
ˈa	ˈua̯	0.09
ɡ	ɪ_ç	0.09
b	-	0.086
ˈɛ	ˈɛː	0.084
ʃ	ʃ	0.084
ɡ	ˈaɪ̯	0.082
ɡ	ŋ	0.074
n	-	0.072
ˈo	-	0.061
ɡ	ɣ̥	0.057
ˈa	ˈeː	0.052
s	d	0.051
