Standard German	Standard German	probability
ˈɛː	ˈɜɪ̯	1.0
ˈøː	ˈɜɪ̯	1.0
ˈa_ɐ	ˈaː	1.0
ʦ	ʦ	1.0
ʃ	ʃ	1.0
ʁ_ˈɔʏ̯	ʀ	1.0
ɪ	ə	1.0
ɐ_n_#>	ʀ_#>	1.0
ŋ	ŋ	1.0
ç	ɕ	1.0
z̥	z̥	1.0
z_ə	z̥	1.0
z	z	1.0
s_t	ʃ_t	1.0
s	s	1.0
p	p	1.0
n_#>	#>	1.0
m	m	1.0
l_t	l	1.0
l	l	1.0
kʰ	kʰ	1.0
k	k	1.0
j	j	1.0
h	h	1.0
f	f	1.0
eː	e	1.0
b̥	v̥	1.0
b_ɐ	v_ɐ	1.0
a	-	1.0
<#_n	<#_n	1.0
#>	ɡ̊_#>	1.0
tʰ	d	0.938
n	n	0.924
d	d	0.9
ɐ	ɐ	0.884
d̥	d̥	0.882
ʁ	ʀ	0.871
b	b	0.808
ˈoː	ˈəʊ̯	0.8
ə	-	0.8
v	v	0.724
ˈɔʏ̯	ˈɑɪ̯	0.714
t	t	0.633
ˈɔ	ˈo	0.611
ɡ̊	-	0.6
x	χ	0.6
n_d	n	0.6
ˈiː	ˈɜɪ̯	0.588
ɡ	ɡ	0.583
ˈʏ	ˈe	0.571
ˈaɪ̯	ˈeː	0.5
ˈa	ˈaː	0.5
p͡f	pʰ	0.5
p͡f	p	0.5
m_ə	m_ə	0.5
m_ə	m	0.5
ˈʏ	ˈə	0.429
ˈyː	ˈɜɪ̯	0.429
ˈeː	-	0.429
ˈaː	ˈoː	0.421
ˈɪ	ˈə	0.4
ˈɪ	ˈɑ	0.4
ˈaɪ̯	ˈæːɪ̯	0.4
ɡ̊	ɕ	0.4
x	ɕ	0.4
n_d	n_ə	0.4
ˈaʊ̯	ˈaː	0.389
ˈuː	ˈu	0.385
ˈa	ˈɑ	0.375
ˈʊ	ˈo	0.357
ˈaʊ̯	ˈæːʊ̯	0.333
t	d̥	0.3
ˈʊ	ˈuː	0.286
ˈɔʏ̯	-	0.286
ˈyː	ˈi	0.286
ˈyː	-	0.286
ˈeː	ˈɜɪ̯	0.286
ˈaʊ̯	ˈɑʊ̯	0.278
v	w	0.276
ˈaː	ˈaː	0.263
ˈiː	ˈiː	0.235
ˈuː	ˈʊ	0.231
ˈuː	ˈəʊ̯	0.231
ˈɛ	ˈɛː	0.222
ˈɛ	ˈɛ	0.222
ˈɔ	-	0.222
ˈʊ	ˈɔ	0.214
ˈaː	-	0.211
ɡ	ə	0.208
ˈoː	ˈu	0.2
ə	ə	0.2
ˈiː	ˈɑɪ̯	0.176
ˈɛ	ˈə	0.167
ˈɛ	ˈiə̯	0.167
ˈɔ	ˈaː	0.167
ɡ	-	0.167
ˈuː	-	0.154
ˈʊ	-	0.143
ˈeː	ˈiː	0.143
ˈeː	ˈiə̯	0.143
ˈɪ	ˈe	0.12
d̥	-	0.118
b	-	0.115
ˈɛ	ˈæ	0.111
ˈɛ	ˈiː	0.111
ˈaː	ˈuə̯	0.105
ˈaɪ̯	-	0.1
d	-	0.1
ˈɪ	ˈiː	0.08
b	v_ə	0.077
ɐ	ˈiː_ɐ	0.07
t	d_ə	0.067
ʁ	ə_ʀ	0.065
ʁ	-	0.065
ˈa	ˈæ	0.062
ˈa	ˈuə̯	0.062
tʰ	tʰ	0.062
