Ligurian	Piedmontese	probability
b	b	1.0
f	f	1.0
m	m	1.0
o	w	1.0
y	y	1.0
ɔː	u	1.0
ˈɔ	ˈɔ	1.0
ˈɔː	ˈɔ	1.0
j	r	0.101
u	u	0.071
u	r	0.141
ˈaː	l_ˈe	0.051
ˈe	ˈɛ	0.551
ˈiː	j	0.261
ˈøː	ˈɔ	0.11
p	p	0.922
w	u	0.152
z	ʤ	0.42
ɲ	ɲ	0.742
ˈa	j_ˈa	0.12
ˈa	ˈa	0.842
ˈeː	ˈe	0.392
ˈiː	ˈi	0.442
ˈyː	ˈi	0.132
ˈø	a	0.22
i	-	0.423
z	s	0.053
ˈaː	ˈe	0.273
ˈeː	-	0.13
ˈi	ˈi	0.923
ˈuː	ˈu	0.903
ˈy	j_ˈy	0.13
ˈy	ˈy	0.673
e	a	0.074
e	ə	0.094
r	-	0.074
sː	s	0.34
w	w	0.174
w	-	0.304
ɥ	u	0.34
ʃ	s	0.784
ʒ	s	0.564
ʤ	ʤ	0.224
ˈeː	r_ˈe	0.054
ˈeː	ˈɛ	0.254
ˈu	ˈɔ	0.094
ˈɛ	ˈa	0.134
ˈɛ	ˈɛ	0.464
a	-	0.055
a	a	0.945
j	u	0.085
t	t	0.805
v	f	0.05
v	v	0.95
w	ˈø	0.055
ʒ	z	0.25
ˈe	ˈi	0.085
ˈeː	ˈy	0.085
ˈu	ˈi	0.075
ˈø	j	0.065
d	dː	0.086
e	-	0.06
e	e	0.626
j	-	0.246
r	r	0.926
sː	b	0.66
t	-	0.086
w	ˈu	0.266
z	-	0.176
ŋ	ŋ	0.706
ɡ	-	0.406
ɥ	w	0.66
ʃ	f	0.216
ʧ	p	0.286
ʧ	ʧ	0.526
ˈe	ˈe	0.196
ˈiː	e	0.266
ˈɛ	e	0.146
ˈɛː	ˈe	0.076
d	d	0.877
i	e	0.07
n	m	0.057
n	n	0.847
ŋ	-	0.067
ɡ	ɡ	0.427
ʒ	-	0.057
ʤ	b	0.237
ʤ	-	0.47
ˈaː	ˈa	0.607
ˈe	ˈə	0.057
ˈi	ˈe	0.077
ˈu	ˈu	0.797
ˈuː	ˈy	0.077
ˈy	ˈu	0.197
ˈø	ˈɔ	0.077
ˈɛ	r	0.257
ˈɛː	ˈɛ	0.447
ˈɛː	ˈa	0.467
i	i	0.438
n	-	0.058
p	-	0.078
s	s	0.958
u	-	0.708
ŋ	n	0.198
ɡ	k	0.168
ɲ	ŋ	0.258
ʧ	s	0.188
ˈyː	ˈy	0.868
ˈø	ˈø	0.638
e	ˈe	0.089
i	ˈu	0.069
j	j	0.489
k	k	0.989
l	l	0.979
t	j_t	0.109
z	z	0.329
ʒ	v	0.129
ʤ	d	0.069
ˈøː	ˈø	0.89
