English	English	probability
ˈɪ_ə	r	1.0
ˈɜː	j	1.0
ˈɛ	-	1.0
ˈɑː_f	ˈɪə̯_l	1.0
ˈɐ_ð	ˈuə̯	1.0
ˈiː_#>	ˈi_#>	1.0
ˈeɪ̯_#>	ˈɛi̯_#>	1.0
ˈe_d_#>	ˈɪə̯_#>	1.0
ˈaʊ̯_#>	ˈoː_#>	1.0
ʤ	χ	1.0
ʃ	s_k	1.0
ɜː	r_ˈɛ	1.0
ŋ	ŋ	1.0
ð_ə	r	1.0
ð	d	1.0
s_ˈɪ	s	1.0
s_#>	s_#>	1.0
pʰ	p	1.0
p	p	1.0
n	n	1.0
l_əʊ̯	l	1.0
l	l	1.0
h	h	1.0
f	f	1.0
b	b	1.0
<#_θ	<#_t	1.0
<#_ɹ	<#_r	1.0
<#_tʰ	<#_t	1.0
<#_kʰ	<#_k	1.0
<#_j	<#_j	1.0
s	s	0.943
m	m	0.923
t	t	0.911
ɡ	ɡ	0.846
ɹ	r	0.789
#>	ə_#>	0.78
n_d	n	0.75
k	k	0.75
w	ʋ	0.677
ˈuː	-	0.667
ˈaʊ̯	ˈuː	0.636
ʧ	k_ə	0.6
ɫ	l	0.6
ˈɪ	ˈɪ	0.577
d	d	0.55
ˈʊ	ˈɔ	0.5
ˈʊ	ˈuə̯	0.5
ˈɑː	ˈɛː	0.5
ɪ	ə_χ	0.5
ɪ	-	0.5
z	z	0.5
z	s	0.5
θ	d̥	0.429
ˈɒ	ˈɔ	0.429
ˈəʊ̯	-	0.421
ʧ	-	0.4
ˈɔː	ˈoə̯	0.385
v	v_ə	0.375
v	-	0.375
ˈæ	ˈa	0.364
ˈaʊ̯	-	0.364
ə	ə_r	0.357
ˈuː	ˈuə̯	0.333
ə	r	0.321
ˈaɪ̯	ˈiː	0.31
ˈɐ	ˈɔ	0.3
d	d̥	0.3
θ	ʦ_j	0.286
θ	d	0.286
ˈɒ	ˈa	0.286
ˈɒ	-	0.286
ˈiː	ˈiə̯	0.281
ˈæ	ˈɔː	0.273
ˈeɪ̯	ˈaː	0.273
ˈeɪ̯	ˈa	0.273
ˈeɪ̯	-	0.273
ˈəʊ̯	ˈiə̯	0.263
w	v	0.258
ˈɑː	ˈɛ_r	0.25
ˈɑː	ˈaː	0.25
ˈe	-	0.25
v	v	0.25
n_d	n_ə	0.25
ɹ	-	0.211
ˈɐ	ˈu	0.2
ɫ	-	0.2
ˈiː	ˈɪə̯	0.188
ˈæ	ˈɪ	0.182
ˈæ	ˈaː	0.182
ˈeɪ̯	ˈɛi̯	0.182
ə	ə	0.179
ˈaɪ̯	ˈi	0.172
ˈe	ˈɪə̯	0.167
ˈe	ˈaː	0.167
ˈɔː	ˈɛ	0.154
ˈɔː	ˈoə̯_r	0.154
ˈɔː	ˈa	0.154
ˈɔː	-	0.154
ɡ	ə	0.154
ˈɐ	ˈoə̯	0.15
ˈɐ	-	0.15
ə	ˈuə̯_r	0.143
ˈaɪ̯	ˈuː	0.138
ˈiː	j	0.125
ˈe	ˈɛ	0.125
k	ˈiː_k	0.125
k	-	0.125
ˈɪ	ˈɔ	0.115
ˈɪ	ˈiə̯	0.115
ˈɪ	ˈi	0.115
ˈəʊ̯	ˈɪə̯_n	0.105
ˈəʊ̯	ˈoə̯	0.105
ˈəʊ̯	ˈaː_j	0.105
ˈaɪ̯	j_ˈɔ	0.103
ˈɐ	ˈyː	0.1
ˈɐ	ˈy	0.1
ɫ	ə_l	0.1
ɫ	l_ə	0.1
d	-	0.1
#>	n_#>	0.1
ˈiː	ˈɛ_j	0.094
ˈiː	ˈi	0.094
t	χ_t	0.089
ˈe	ˈɪ	0.083
ˈe	ˈiə̯	0.083
ˈe	ˈa	0.083
#>	χ_#>	0.08
ˈɪ	ˈeː	0.077
m	r_m	0.077
ˈaɪ̯	χ	0.069
ˈaɪ̯	ˈɪ_χ	0.069
ˈaɪ̯	ˈɪ	0.069
ˈaɪ̯	ˈa_χ	0.069
w	-	0.065
ˈiː	ˈiː	0.062
ˈiː	ˈeː	0.062
ˈiː	l	0.062
s	ɕ	0.057
