German	Faroese	probability
<#_b	<#_b̥	1.0
<#_d	<#_tʰ	1.0
<#_f	<#_f	1.0
<#_h	<#_h	1.0
<#_j	<#	1.0
<#_kʰ	<#_kʰ	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_tʰ	<#_d̥	1.0
<#_z	<#_s	1.0
<#_ɡ	<#_ɡ̊	1.0
<#_ʁ	<#_ɹ	1.0
<#_ʦ	<#_tʰ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ˈaɪ̯	<#_ˈai̯	1.0
<#_ˈɛ	<#_ˈɛ	1.0
b_n	v_a	1.0
b_ɐ	v_ʊ	1.0
b̥	v	1.0
d	d̥	1.0
d_ɐ	w	1.0
d̥	-	1.0
d̥_#>	ɪ_#>	1.0
f_#>	#>	1.0
h	j	1.0
kʰ	<#_ʧʰ	1.0
l_d̥	t_l̥	1.0
l_ˈiː	l	1.0
m	m	1.0
m_ə	m_a	1.0
n_d̥	n_d̥	1.0
n_ə	nː	1.0
s_#>	s_#>	1.0
s_n	t_a	1.0
s_t	s_t	1.0
s_ə	t_ʊ_ɹ	1.0
x	k	1.0
x_t	ʰtː	1.0
z	<#_ʃ	1.0
z_ə	s_#>	1.0
ç	k	1.0
ç_#>	ʊ_ɹ	1.0
ç_t	ʰtː	1.0
ŋ	ŋ_ɡ̊	1.0
ŋ_k	ʰkː	1.0
ɐ_#>	ɹ_#>	1.0
ɐ_t	ɹ_#>	1.0
ɐ_ʦ	ɹ_ʈ	1.0
ə_#>	a_#>	1.0
ɡ_l	ɡ̊_l	1.0
ɪ	ŋ_ɡ̊	1.0
ʁ_ə	ɹ	1.0
ʃ	s_k	1.0
ʦ	t	1.0
ˈa_ɐ	ˈa_ɹ	1.0
ˈiː_ɐ	ˈɛːa̯_ɹ	1.0
ˈoː_t	ˈɛːi̯_j	1.0
ˈuː_t	ˈɔːu̯_w	1.0
ˈɔ_ɐ	ˈɔ_t	1.0
ˈɔʏ̯	ˈʊ̯iː_ɹ	1.0
ˈɛ_n	ˈɛ_nː	1.0
ˈʊ	ˈʊ	1.0
ˈʊ_n	ˈʊ_n	1.0
ˈʊ_ɐ	ˈɔ_ɹ	1.0
#>	ʊ_ɹ_#>	0.871
l	l̥	0.111
n	-	0.091
n	nː	0.091
t	t	0.211
ˈa	ˈɛ	0.071
ˈa	-	0.071
ˈɪ	ˈiː	0.211
s	t_#>	0.182
v	-	0.222
ə	n_#>	0.2
ˈaʊ̯	ˈʉːu̯	0.412
ˈeː	ˈɔ̯aː	0.222
ˈeː	ˈøː	0.222
ˈeː	ˈʊ_ʤ̊ː	0.222
<#_v	<#_kʰ	0.143
<#_ʃ	<#_ʃ	0.263
f	ʰp	0.333
n_#>	#>	0.333
t	-	0.263
t	j	0.263
ɡ	ˈʏ_ɡ̊_v̥	0.333
ɡ	j	0.333
ɡ	ʤ̊	0.333
ˈaː	ˈa	0.133
ˈeː	ˈeː	0.333
ˈoː	ˈɔ	0.333
ˈuː	ˈøː	0.333
ˈɛ	ˈɛ	0.333
ˈɛ	ˈeː	0.333
ˈɛ	ˈɔ	0.333
l	l	0.704
s	t_ʊ	0.364
ˈaː	ˈɔ̯aː	0.4
ˈyː	ˈiː	0.4
ˈʏ	ˈɪ	0.714
k	k	0.5
k	ɡ̊ː	0.5
l	t_l̥	0.185
s	ʰt	0.455
t	ɪ	0.105
ɐ	ɹ_a	0.25
ʁ	-	0.125
ʁ	ɹ	0.875
ˈa	ˈɛːa̯	0.25
ˈa	ˈɔ	0.25
ˈaɪ̯	ˈɛ	0.095
ˈaʊ̯	ˈɛːi̯	0.235
ˈiː	ˈʊ̯iː	0.5
ˈiː	ˈʉːu̯	0.5
ˈɔ	ˈœ	0.25
ˈɔ	ˈoː	0.25
ˈɔ	ˈʊ	0.5
ˈɪ	ˈɛ	0.105
ˈɪ	-	0.105
ˈaɪ̯	ˈʊ̯iː	0.476
ˈyː	ˈøː	0.6
ˈʏ	ˈʊ	0.286
<#_ʃ	<#_s	0.737
f	p	0.667
n_#>	a_#>	0.667
ɐ	-	0.167
ɐ	ɹ_ɪ	0.167
ɐ	ɹ	0.417
ˈa	ˈa	0.357
ˈaː	ˈɛːa̯	0.467
ˈoː	ˈɔ̯aː	0.667
ˈuː	ˈɔːu̯	0.667
<#_v	<#	0.238
n	n	0.818
t	ʰt_ʊ	0.158
v	v	0.778
ə	-	0.8
ˈaɪ̯	ˈai̯	0.238
ˈaʊ̯	-	0.118
ˈaʊ̯	ˈɪ_ɡ̊_v̥	0.118
ˈaʊ̯	ˈʊ	0.118
#>	ɹ_#>	0.129
<#_v	<#_v	0.619
ˈaɪ̯	ˈaːi̯	0.19
ˈɪ	ˈɪ	0.579
