Scots	Northern Low Saxon	probability
b	b	0.913
b	-	0.087
d	d	0.937
e	ɪ	1.0
f	f	1.0
h	h	1.0
i	aɪ̯	0.393
i	ɪ	0.338
i	i	0.171
i	-	0.099
j	ʒ	0.337
j	ˈaɪ̯	0.22
j	ɡ	0.193
j	-	0.144
j	ˈɛː	0.105
k	ɡ	0.753
k	k	0.187
k	kʰ	0.06
kʰ	kʰ	0.946
kʰ	-	0.054
l	l	0.951
m	m	0.975
n	n	0.916
p	b	0.895
p	p	0.105
pʰ	pʰ	1.0
r	ɐ	0.522
r	r	0.355
r	-	0.123
s	z	0.443
s	s	0.381
s	ʃ	0.176
t	d	0.713
t	t	0.287
tʰ	tʰ	0.941
tʰ	b	0.059
v	m	0.83
v	f	0.17
w	v	0.931
w	-	0.069
x	x	0.897
x	ç	0.103
z	n	0.604
z	s	0.229
z	z	0.167
ç	ç	0.584
ç	x	0.416
ð	d	0.483
ð	l	0.322
ð	n	0.195
ŋ	ŋ	0.932
ŋ	ɪ	0.068
ə	ɐ	0.692
ə	-	0.253
ɛ	ɐ	1.0
ɡ	ɡ	0.706
ɡ	-	0.161
ɡ	ç	0.132
ɪ	ɪ	1.0
ʃ	ʃ	1.0
ʍ	v	1.0
ʤ	ɡ	1.0
ʧ	kʰ	0.891
ʧ	ɡ	0.109
ˈa	ˈa	0.77
ˈa	ˈɛ	0.058
ˈaɪ̯	ˈɔʏ̯	0.426
ˈaɪ̯	ˈiː	0.349
ˈaɪ̯	ŋ	0.225
ˈaː	ˈɪ	1.0
ˈaːɪ̯	ˈiː	1.0
ˈe	ˈaɪ̯	0.333
ˈe	ˈoː	0.295
ˈe	ˈɛɪ̯	0.089
ˈe	ˈaʊ̯	0.088
ˈe	ˈa	0.079
ˈe	ˈɔʏ̯	0.058
ˈe	ˈɪ	0.058
ˈeː	ˈoː	0.529
ˈeː	ˈaː	0.207
ˈeː	ˈɛ	0.096
ˈeː	ˈaʊ̯	0.073
ˈi	ˈɔʏ̯	0.361
ˈi	ˈoː	0.125
ˈi	ˈaʊ̯	0.124
ˈi	ˈeː	0.078
ˈi	ˈaɪ̯	0.074
ˈi	ˈʏ	0.064
ˈiː	ˈaɪ̯	0.318
ˈiː	ˈiː	0.204
ˈiː	ˈaʊ̯	0.118
ˈiː	ˈoː	0.103
ˈiː	ˈɔʏ̯	0.062
ˈiː	ˈyː	0.06
ˈiː	ˈeɪ̯	0.054
ˈo	ˈaʊ̯	0.57
ˈo	ˈɔ	0.223
ˈo	ˈøː	0.206
ˈoː	ˈɔ	0.44
ˈoː	ˈaʊ̯	0.28
ˈoː	ˈøː	0.28
ˈu	ˈuː	0.722
ˈu	ˈʊ	0.156
ˈu	ˈø	0.072
ˈuː	ˈuː	0.268
ˈuː	ˈiː	0.181
ˈuː	ˈaʊ̯	0.157
ˈuː	ˈøː	0.157
ˈuː	ˈʊ	0.128
ˈuː	ə	0.108
ˈø	ˈaʊ̯	0.512
ˈø	ˈoː	0.253
ˈø	ˈaɪ̯	0.114
ˈø	ˈuː	0.062
ˈø	ˈeː	0.06
ˈøː	ˈaʊ̯	1.0
ˈɑː	ˈa	0.563
ˈɑː	ˈaʊ̯	0.121
ˈɑː	ˈaː	0.116
ˈɑː	ˈaɪ̯	0.068
ˈɑː	ˈeː	0.067
ˈɑː	ˈɔ	0.067
ˈəi̯	ˈiː	0.619
ˈəi̯	ˈeː	0.129
ˈəi̯	ˈyː	0.09
ˈəi̯	ˈɛ	0.075
ˈəi̯	ˈɪ	0.052
ˈɛ	ˈa	0.267
ˈɛ	ˈɛ	0.184
ˈɛ	ˈeː	0.175
ˈɛ	ˈaɪ̯	0.137
ˈɛ	ˈɪ	0.081
ˈɛː	ˈeɪ̯	1.0
ˈɪ	ˈɪ	0.433
ˈɪ	ˈʏ	0.152
ˈɪ	ˈaʊ̯	0.085
ˈɪ	-	0.057
ˈʌ	ˈʊ	0.638
ˈʌ	ˈoː	0.09
ˈʌ	ˈʏ	0.084
ˈʌ	ˈɔ	0.067
ˈʌ	ˈaː	0.06
ˈʌ	ˈeː	0.06
ˈʌu̯	ˈʊ	0.645
ˈʌu̯	ˈaɪ̯	0.19
ˈʌu̯	ˈøː	0.165
θ	d	0.838
θ	t	0.087
θ	-	0.075
