Mecklenburgisch-Vorpommersch	Mecklenburgisch-Vorpommersch	probability
ˈœ_s	ʂ	1.0
ˈœ	-	1.0
ˈøː	ˈɵ_ŋ	1.0
ˈaɪ̯	-	1.0
ɾ_æ	r	1.0
ɪ	-	1.0
ɣ̊	-	1.0
ɣ	ʊ	1.0
ɡ̊	-	1.0
ŋ_k	kː	1.0
z̥_#>	s_#>	1.0
z_ˈeː	ɧ	1.0
w	v	1.0
v̥_#>	v_#>	1.0
v̥	v	1.0
v_ˈʊ	ˈɵ	1.0
tʰ	tʰ	1.0
t_n	t_a	1.0
s	s	1.0
r	r	1.0
pʰ	pʰ	1.0
n_n	nː_a	1.0
k_#>	#>	1.0
j	-	1.0
f	f	1.0
d̥_#>	#>	1.0
d̥	d	1.0
b	b	1.0
ae̯	ɔ	1.0
<#_ˈae̯	<#_ˈɛ	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
h	h	0.9
z	s	0.882
<#_d	<#_d	0.857
v	v	0.85
l	l	0.826
kʰ	kʰ	0.75
#>	r_#>	0.722
ˈɔʏ̯	ˈøː	0.714
ˈɔ	-	0.714
ˈiː	ˈiː	0.714
k	k	0.714
d	tʰ	0.692
ˈœː	-	0.667
ɡ	ɡ	0.667
x	-	0.667
p	p	0.667
ˈʊ	ˈɵ	0.625
ˈɒː	ˈoː	0.625
ˈa	ˈa	0.625
m	m	0.615
ˈoː	ˈøː	0.6
ˈuː	ˈʉː	0.588
ŋ	ŋː	0.583
ç_#>	ɡ_#>	0.571
ˈɪ	ˈɪ	0.565
ˈɛ	ˈɛ	0.538
t	t	0.529
ˈyː	ˈʏ	0.5
ˈyː	ˈyː	0.5
ç	ɡː	0.5
ç	-	0.5
ˈʏ	ˈʏ	0.455
ˈaʊ̯	ˈuː	0.455
n	n	0.448
ˈaː	-	0.444
ç_#>	#>	0.429
ʃ	s	0.417
æ	ɛ	0.406
ˈoː	ˈoː	0.4
ˈae̯	ˈeː	0.381
ˈʊ	ˈʊ	0.375
ˈɛː	ˈɛː	0.375
ˈɛː	-	0.375
æ	r	0.344
ˈœː	ˈøː	0.333
ˈaː	ˈa_r	0.333
x	ɡ	0.333
p	pː	0.333
ˈaʊ̯	ˈøː	0.318
ˈɛ	-	0.308
ˈɪ	-	0.304
ʃ	ɧ	0.292
ʃ	s_k	0.292
ˈɔʏ̯	ˈœ	0.286
ˈɔ	ˈœ	0.286
k	kː	0.286
#>	n_#>	0.278
ˈʏ	ˈɛ	0.273
ˈʏ	-	0.273
n	a	0.259
ˈɛː	ˈɛ	0.25
ˈɒː	ˈɑː	0.25
kʰ	ɕ	0.25
ˈae̯	ˈʉː	0.238
ˈuː	-	0.235
t	tː	0.235
ˈaː	r	0.222
ˈa	ˈɑː	0.208
ˈae̯	-	0.19
ɡ	ɡ_ɛ	0.167
ɡ	j	0.167
ŋ	ɡ_a	0.167
ŋ	ŋ	0.167
ˈɛ	j	0.154
m	mː_a	0.154
d	tʰ_ˈɵ	0.154
d	d	0.154
v	-	0.15
ˈiː	ˈyː	0.143
ˈiː	-	0.143
<#_d	<#	0.143
ˈaʊ̯	-	0.136
ˈɪ	ˈɛ	0.13
ˈɒː	ˈa	0.125
n	-	0.121
ˈuː	ˈɔ	0.118
z	ɧ	0.118
m	v_a	0.115
m	mː	0.115
h	j	0.1
ˈae̯	ˈɛ	0.095
ˈae̯	j_ˈʉː	0.095
æ	ɳ	0.094
æ	r_a	0.094
ˈaʊ̯	ˈoː	0.091
t	-	0.088
l	lː	0.087
n	nː	0.086
ˈa	ˈɛ	0.083
ˈa	-	0.083
ŋ	jː	0.083
æ	a	0.062
ˈuː	ɳː	0.059
t	ʈː	0.059
t	d	0.059
n	n_d	0.052
