Min Bei	Min Bei	probability
⁵⁵	²²	1.0
⁵⁴	⁵⁵	1.0
⁴²	²	1.0
ɥ_ŋ	ŋ	1.0
œ_ɥ	w_ɐ	1.0
y_j	yː	1.0
w_a	w_ɔː	1.0
u_j_ŋ	n	1.0
tʰ	tʰ	1.0
s	s	1.0
pʰ	-	1.0
o	ɔː	1.0
n	j	1.0
m	m	1.0
l	l	1.0
kʰ	h	1.0
j_ŋ	n	1.0
j_u	ɐ_w	1.0
j	-	1.0
i_ŋ	iː_n	1.0
a_ŋ	aː_m	1.0
a_j	ɐ_j	1.0
<#_ŋ	<#_j	1.0
<#_t	<#	1.0
<#_n	<#_n	1.0
ʦ	ʦ	0.778
³³	²¹	0.733
t	t	0.714
k	k	0.714
ʦʰ	ʦʰ	0.667
j_a	iː	0.667
w	w	0.643
e	ɐ	0.625
œ	-	0.6
x	f	0.6
ŋ	ŋ	0.595
²⁴	⁵	0.533
²¹	³⁵	0.514
p	p	0.5
a	aː	0.5
<#	<#_j	0.5
<#	<#_h	0.5
i	iː	0.462
ɛ	ɔː_j	0.4
œ	j_iː	0.4
y	ʊ_k̚	0.4
y	ɵ_ɥ	0.4
x	h	0.4
i	e_j	0.385
e	ɐ_w	0.375
ʦʰ	ʧʰ	0.333
j_a	ɪ	0.333
ŋ	n	0.324
ɔ	ʊ	0.316
ɔ	ɔː	0.316
²¹	²¹	0.314
p	pʰ	0.3
t	ʦ	0.286
²⁴	³	0.267
u	ʊ_k̚	0.25
u	ɐ	0.25
u	uː	0.25
u	o_w	0.25
ʦ	ʧʰ	0.222
a	o	0.222
w	-	0.214
ɛ	ɐ_k̚	0.2
ɛ	j	0.2
ɛ	-	0.2
³³	³³	0.2
²⁴	k̚_³	0.2
y	yː	0.2
p	f	0.2
²¹	¹³	0.171
a	aː_k̚	0.167
ɔ	œː	0.158
i	ɐ_t̚	0.154
w	ɔː	0.143
k	kʰ	0.143
k	-	0.143
a	ɛː	0.111
ɔ	ɐ	0.105
ɔ	-	0.105
ŋ	m	0.081
³³	-	0.067
