Nynorsk Norwegian	East Low German	probability
b	b	0.984
b	-	0.034
d	d	0.69
d	t	0.201
d	-	0.056
d	ɾ	0.056
e	-	0.886
e	æ	0.064
e	ˈuː	0.053
e_ɾ	æ	1.0
f	f	1.0
h	h	1.0
j	-	0.431
j	ɡ	0.182
j	j	0.182
j	ˈɛ	0.12
j	ˈiː	0.06
k	k	0.818
k	-	0.14
kʰ	kʰ	0.516
kʰ	-	0.351
kʰ	f	0.12
l	l	0.969
l	-	0.036
l_e	l	0.49
lː	l	1.0
m	m	0.947
m	-	0.053
mː	m	0.49
n	n	0.774
n	-	0.203
n	t	0.032
nː	n	0.567
nː	n_d	0.234
nː	l	0.094
nː	r	0.073
p	p	1.0
s	s	0.353
s	z	0.318
s	ʃ	0.295
s	-	0.035
s_k	ʃ	1.0
sː	s	0.49
t	t	0.892
t	-	0.102
tʰ	d	0.587
tʰ	tʰ	0.392
v	v	1.0
ç	kʰ	0.334
ç	d	0.188
ç	t	0.1
ç	ç	0.092
ç	k	0.092
çː	t	1.0
ŋ	n	0.426
ŋ	ɪ	0.102
ŋː	ŋ	0.627
ŋː	ŋ_k	0.364
ŋː_e	ŋ	0.49
ɑ	-	0.467
ɑ	n	0.438
ɑ	æ	0.041
ɑ	ɪ	0.039
ɑ	ŋ	0.036
ə	-	0.24
ə	m	0.058
ɛ	æ	0.323
ɛ	-	0.158
ɡ	ɡ	0.337
ɡ	x	0.191
ɡ	ç	0.129
ɡ	-	0.101
ɡ	j	0.101
ɡː	ç	0.275
ɡː	k	0.239
ɡː	-	0.127
ɪ	-	0.49
ɲ	ŋ	0.49
ɾ	r	0.393
ɾ	æ	0.333
ɾ	-	0.11
ɾ	ɾ	0.106
ɾ_e	æ	0.49
ʃ	ʃ	0.634
ʃ	z	0.299
ʉ	-	1.0
ʋ	v	0.437
ʋ	f	0.294
ʋ	b_m	0.093
ʋ	m	0.093
ʋ	w	0.07
ʰkː	ŋ_k	0.85
ʰkː	k	0.076
ʰtː	x	0.538
ʰtː	ç	0.272
ʰtː	x_t	0.179
ˈeː	ˈɛː	0.259
ˈeː	ˈiː	0.234
ˈeː	ˈae̯	0.203
ˈeː	ˈɪ	0.177
ˈeː	ˈɛ	0.087
ˈiː	ˈiː	0.674
ˈiː	ˈɪ	0.174
ˈiː	ˈiː_t	0.073
ˈiː	ˈae̯	0.071
ˈoː	ˈɒː	0.411
ˈoː	ˈoː	0.159
ˈoː	ˈaʊ̯	0.138
ˈoː	ˈœː	0.091
ˈoː	ˈœ	0.091
ˈuː	ˈaʊ̯	0.676
ˈuː	ˈuː	0.161
ˈuː	ɾ	0.068
ˈuː	-	0.053
ˈuː	ˈae̯	0.047
ˈyː	ˈiː	0.361
ˈyː	ˈae̯	0.273
ˈyː	ˈyː	0.207
ˈyː	ˈaɪ̯	0.122
ˈæ	ˈaː	0.49
ˈæɪ̯	ˈae̯	0.598
ˈæɪ̯	ˈɪ	0.292
ˈæɪ̯	-	0.082
ˈæʉ̯	ˈaʊ̯	0.857
ˈæʉ̯	ˈoː	0.121
ˈæːɪ̯	ˈae̯	0.49
ˈøː	ˈɔʏ̯	0.433
ˈøː	ˈeː	0.2
ˈøː	ˈae̯	0.122
ˈøː	ɾ	0.082
ˈøː	ˈɛ	0.082
ˈœ	ˈoː	0.371
ˈœ	ˈɛ	0.182
ˈœʏ̯	ˈɔʏ̯	0.341
ˈœʏ̯	ˈaʊ̯	0.208
ˈœʏ̯	ˈyː	0.192
ˈœʏ̯	ˈuː	0.071
ˈɑ	ˈa	0.653
ˈɑ	ˈɒː	0.155
ˈɑ	ˈɛː	0.066
ˈɑ	ˈaʊ̯	0.066
ˈɑ	ˈɔ	0.055
ˈɑ_ɾ	ˈaː	1.0
ˈɑː	ˈa	0.49
ˈɑː	ˈaː	0.149
ˈɑː	ˈɒː	0.146
ˈɑː	ˈɛː	0.091
ˈɑː	ˈɛ	0.054
ˈɔ	ˈa	0.244
ˈɔ	ˈœː	0.122
ˈɔ	ˈɔ	0.122
ˈɔ	ˈœ	0.122
ˈɔ	ˈoː	0.122
ˈɛ	ˈɛ	0.314
ˈɛ	ˈa	0.153
ˈɛ	ˈiː	0.153
ˈɛ	ˈɪ	0.133
ˈɛ	ˈœ	0.077
ˈɛː	ˈɛː	1.0
ˈɪ	ˈɪ	0.912
ˈɪ	-	0.083
ˈʉ	ˈʊ	0.268
ˈʉ	v_ˈʊ	0.183
ˈʉ	ˈuː	0.121
ˈʉ	ˈœː	0.121
ˈʉ	ˈyː	0.09
ˈʉː	ˈuː	0.479
ˈʉː	ˈae̯	0.23
ˈʉː	ˈɔ	0.09
ˈʉː	ˈɛ	0.069
ˈʉː	ˈœː	0.065
ˈʊ	ˈuː	0.409
ˈʊ	ˈʊ	0.321
ˈʊ	ˈa	0.148
ˈʊ	ˈøː	0.053
ˈʊ	ˈɪ	0.053
ˈʏ	ˈʏ	0.414
ˈʏ	ˈɔ	0.235
ˈʏ	ˈyː	0.118
ˈʏ	ˈɪ	0.085
ˈʏ	w	0.063
